"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","24551056664.4","24427965000","8.36","12689852","","","/mutual-fund/holding-history/8177/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","24032136568","23585873000","8.07","16528292","","","/mutual-fund/holding-history/8177/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","15710929564","15156452000","5.19","10787510","","","/mutual-fund/holding-history/8177/1127/"
"Infosys Ltd","INFY","500209","Technology","15952520803.7","15051498000","5.15","10033663","","","/mutual-fund/holding-history/8177/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","13258861610.5","12288916000","4.21","3678215","-100000","-2.65","/mutual-fund/holding-history/8177/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","10770688490","11070534000","3.79","5937535","-422854","-6.65","/mutual-fund/holding-history/8177/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","11032663204","10815442000","3.7","9126955","835571","10.08","/mutual-fund/holding-history/8177/140/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","9644253939.8","10101260000","3.46","4574639","390632","9.34","/mutual-fund/holding-history/8177/758/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","8468145597.6","7909652000","2.71","2700646","-202719","-6.98","/mutual-fund/holding-history/8177/807/"
"NTPC Ltd","NTPC","532555","Utilities","7160078074.9","7399026000","2.53","20868779","","","/mutual-fund/holding-history/8177/959/"
"ITC Ltd","ITC","500875","Consumer Defensive","7176477440.8","7013413000","2.4","16471144","","","/mutual-fund/holding-history/8177/647/"
"State Bank of India","SBIN","500112","Financial Services","6907016948","6876933000","2.35","8719880","","","/mutual-fund/holding-history/8177/1193/"
