"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","25469801949.2","25398739000","8.21","12689852","","","/mutual-fund/holding-history/8177/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","24356091091.2","23896605000","7.73","16528292","","","/mutual-fund/holding-history/8177/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","15240594128","16187738000","5.23","10787510","","","/mutual-fund/holding-history/8177/1127/"
"Infosys Ltd","INFY","500209","Technology","15761881206.7","16071921000","5.2","10033663","","","/mutual-fund/holding-history/8177/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","12743543689","13498313000","4.36","3678215","","","/mutual-fund/holding-history/8177/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","11321691738","11932070000","3.86","5937535","","","/mutual-fund/holding-history/8177/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","10021396590","10945044000","3.54","9126955","","","/mutual-fund/holding-history/8177/140/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","9882135167.8","9897231000","3.2","4574639","","","/mutual-fund/holding-history/8177/758/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","8796544151.2","8596696000","2.78","2700646","","","/mutual-fund/holding-history/8177/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","7231491072","7239314000","2.34","17383392","","","/mutual-fund/holding-history/8177/647/"
"NTPC Ltd","NTPC","532555","Utilities","6874528322.15","6754524000","2.18","20168779","","","/mutual-fund/holding-history/8177/959/"
"State Bank of India","SBIN","500112","Financial Services","6422310840","6464470000","2.09","7880136","-389744","-4.71","/mutual-fund/holding-history/8177/1193/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","5790516232","5782579000","1.87","3450844","","","/mutual-fund/holding-history/8177/1316/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","5644335025","5549231000","1.79","5925500","4580400","340.52","/mutual-fund/holding-history/8177/150/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","6156351927.4","5424284000","1.75","20534863","604000","3.03","/mutual-fund/holding-history/8177/589490/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","5003205570","5084241000","1.64","2765730","","","/mutual-fund/holding-history/8177/60957/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","4270506615.9","4856258000","1.57","2809359","","","/mutual-fund/holding-history/8177/531/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","4826421612","4790876000","1.55","386361","","","/mutual-fund/holding-history/8177/842/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","4708960224","4731523000","1.53","791688","","","/mutual-fund/holding-history/8177/1784/"
"Cipla Ltd","CIPLA","500087","Healthcare","4329174967.6","4451861000","1.44","2956279","","","/mutual-fund/holding-history/8177/268/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","4012644548","3896957000","1.26","322249","","","/mutual-fund/holding-history/8177/1443/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","3568585480","3792419000","1.23","1027700","","","/mutual-fund/holding-history/8177/1403/"
"Tech Mahindra Ltd","TECHM","532755","Technology","3300343150.4","3598552000","1.16","2133107","","","/mutual-fund/holding-history/8177/1374/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","3723767248.8","3531944000","1.14","2997237","","","/mutual-fund/holding-history/8177/476/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","3474242348.45","3488340000","1.13","5034769","","","/mutual-fund/holding-history/8177/549/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3194858631.85","3377449000","1.09","9509923","","","/mutual-fund/holding-history/8177/2020/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","3209090785.5","3207098000","1.04","442847","","","/mutual-fund/holding-history/8177/93/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","2849303510.4","2963247000","0.96","1820176","-110000","-5.7","/mutual-fund/holding-history/8177/262/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","3053735945.4","2941248000","0.95","1245711","-114500","-8.42","/mutual-fund/holding-history/8177/67/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","2848048459.65","2777757000","0.9","8367999","","","/mutual-fund/holding-history/8177/215/"
"DLF Ltd","DLF","532868","Real Estate","2710734721.5","2686048000","0.87","3206073","","","/mutual-fund/holding-history/8177/337/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","2621110645.8","2676109000","0.87","2412213","","","/mutual-fund/holding-history/8177/4826/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","2472670658.4","2637883000","0.85","3239448","","","/mutual-fund/holding-history/8177/65394/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","2587903628.4","2608712000","0.84","1268829","742106","140.89","/mutual-fund/holding-history/8177/147/"
"Akzo Nobel India Ltd","AKZOINDIA","500710","Basic Materials","2747533888.3","2452537000","0.79","718103","1623","0.23","/mutual-fund/holding-history/8177/52/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","2332147545","2354921000","0.76","281151","","","/mutual-fund/holding-history/8177/144/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2106603267.6","2308223000","0.75","666731","","","/mutual-fund/holding-history/8177/1372/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","2398168084.25","2259414000","0.73","4656185","","","/mutual-fund/holding-history/8177/303/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","2215725515.2","2163694000","0.7","1543952","","","/mutual-fund/holding-history/8177/1521/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","2020845082.5","2025350000","0.65","321765","","","/mutual-fund/holding-history/8177/169/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","1840581565","1956483000","0.63","1369990","","","/mutual-fund/holding-history/8177/851/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","1649855394.25","1821761000","0.59","2577295","","","/mutual-fund/holding-history/8177/1288/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","1745214037","1788779000","0.58","305722","","","/mutual-fund/holding-history/8177/220/"
"Bharti Airtel Ltd (Partly Paid Rs.1.25)","AIRTELPP","890157","Communication Services","1656355446","1754608000","0.57","1147140","","","/mutual-fund/holding-history/8177/715100/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1535351204","1715954000","0.55","301256","1100","0.37","/mutual-fund/holding-history/8177/2638456/"
"Bandhan Bank Ltd","BANDHANBNK","541153","Financial Services","1576186072.12","1651973000","0.53","8711098","","","/mutual-fund/holding-history/8177/79883/"
"Sanofi India Ltd","SANOFI","500674","Healthcare","1484578680.5","1600642000","0.52","251219","","","/mutual-fund/holding-history/8177/1182/"
"Vedanta Ltd","VEDL","500295","Basic Materials","1552371973.2","1587684000","0.51","3445122","","","/mutual-fund/holding-history/8177/1289/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","1705951769.9","1578609000","0.51","687967","","","/mutual-fund/holding-history/8177/560/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","1592488850.75","1560145000","0.5","2729435","","","/mutual-fund/holding-history/8177/374/"
"REC Ltd","RECLTD","532955","Financial Services","1453225014.9","1486849000","0.48","3694953","","","/mutual-fund/holding-history/8177/1119/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","892060798.2","1420380000","0.46","9173805","","","/mutual-fund/holding-history/8177/878/"
"Biocon Ltd","BIOCON","532523","Healthcare","1492915811.2","1371462000","0.44","3855671","3855671","New","/mutual-fund/holding-history/8177/197/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","1405241263.6","1313411000","0.42","716302","","","/mutual-fund/holding-history/8177/338662/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","1275786603","1303447000","0.42","1894545","-1097000","-36.67","/mutual-fund/holding-history/8177/1362/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","1367764410.6","1296086000","0.42","381269","","","/mutual-fund/holding-history/8177/297/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","1209629035.32","1230341000","0.4","18168054","18168054","New","/mutual-fund/holding-history/8177/1337/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1103486250","1153856000","0.37","2737500","","","/mutual-fund/holding-history/8177/175/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","969637602.6","1012164000","0.33","346869","-158200","-31.32","/mutual-fund/holding-history/8177/1430/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","1133448825.75","993211000","0.32","2594595","","","/mutual-fund/holding-history/8177/888524/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","894889433.55","921714000","0.3","3332301","","","/mutual-fund/holding-history/8177/61684/"
"Aditya BSL Nifty Next 50 ETF","ABSLNN50ET","542230","","913118110.75","920818000","0.3","12833705","","","/mutual-fund/holding-history/8177/382140/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","811576592.7","879790000","0.28","201219","","","/mutual-fund/holding-history/8177/53208/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","860852664","876962000","0.28","65484","65484","New","/mutual-fund/holding-history/8177/1508/"
"Sobha Ltd","SOBHA","532784","Real Estate","993159760.8","870262000","0.28","593711","","","/mutual-fund/holding-history/8177/1261/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","882296000","863011000","0.28","290000","290000","New","/mutual-fund/holding-history/8177/3145560/"
"ACC Ltd","ACC","500410","Basic Materials","873835906.5","855234000","0.28","446085","","","/mutual-fund/holding-history/8177/22/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","886040783.1","850463000","0.27","2124034","","","/mutual-fund/holding-history/8177/2755533/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","853755000","826455000","0.27","21000","","","/mutual-fund/holding-history/8177/569/"
"Siemens Ltd","SIEMENS","500550","Industrials","791193210.4","818819000","0.26","251828","","","/mutual-fund/holding-history/8177/1237/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","817827644.11","810526000","0.26","3318971","-909294","-21.51","/mutual-fund/holding-history/8177/974/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","725693647.5","742584000","0.24","1697529","133661","8.55","/mutual-fund/holding-history/8177/2734936/"
"Zee Entertainment Enterprises Ltd","ZEEL","505537","Communication Services","609449505.8","666258000","0.22","4555610","","","/mutual-fund/holding-history/8177/1537/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","715746347.7","661579000","0.21","399167","","","/mutual-fund/holding-history/8177/1071/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","693596802.15","645423000","0.21","1117713","","","/mutual-fund/holding-history/8177/71/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","620525176.6","585314000","0.19","4368665","4368665","New","/mutual-fund/holding-history/8177/2839786/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","485250000","457550000","0.15","1000000","1000000","New","/mutual-fund/holding-history/8177/4813/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","410613947.2","424687000","0.14","486971","","","/mutual-fund/holding-history/8177/625/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","173233806.3","180111000","0.06","88281","","","/mutual-fund/holding-history/8177/61147/"
