"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","12076932148.4","25610659000","8.47","12689852","","","https://trendlyne.com/mutual-fund/holding-history/8177/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","23247042698","24485012000","8.1","16528292","","","https://trendlyne.com/mutual-fund/holding-history/8177/584/"
"Infosys Ltd","INFY","500209","Technology","15078588756.4","15140797000","5.01","10033663","","","https://trendlyne.com/mutual-fund/holding-history/8177/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","14700676336.4","14810407000","4.9","10653436","-134074","-1.24","https://trendlyne.com/mutual-fund/holding-history/8177/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","13020217402.5","13103091000","4.33","3603215","-75000","-2.04","https://trendlyne.com/mutual-fund/holding-history/8177/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","11254597592.5","11366223000","3.76","5937535","","","https://trendlyne.com/mutual-fund/holding-history/8177/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","9665445345","9751239000","3.23","9126955","","","https://trendlyne.com/mutual-fund/holding-history/8177/140/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","8972239470.7","9051381000","2.99","4574639","","","https://trendlyne.com/mutual-fund/holding-history/8177/758/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","8899978893","8650439000","2.86","2700646","","","https://trendlyne.com/mutual-fund/holding-history/8177/807/"
"State Bank of India","SBIN","500112","Financial Services","8420068288.8","8304861000","2.75","10426038","2545902","32.31","https://trendlyne.com/mutual-fund/holding-history/8177/1193/"
"ITC Ltd","ITC","500875","Consumer Defensive","7076778883.2","7161088000","2.37","17383392","","","https://trendlyne.com/mutual-fund/holding-history/8177/647/"
"NTPC Ltd","NTPC","532555","Utilities","6795870084.05","6741414000","2.23","20168779","","","https://trendlyne.com/mutual-fund/holding-history/8177/959/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","6623520060.65","6320631000","2.09","20534863","","","https://trendlyne.com/mutual-fund/holding-history/8177/589490/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","5394359340.8","5889555000","1.95","3450844","","","https://trendlyne.com/mutual-fund/holding-history/8177/1316/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","5006801019","5090879000","1.68","2765730","","","https://trendlyne.com/mutual-fund/holding-history/8177/60957/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","5017383450","4957191000","1.64","5625500","-300000","-5.06","https://trendlyne.com/mutual-fund/holding-history/8177/150/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","5719688244","4871239000","1.61","386361","","","https://trendlyne.com/mutual-fund/holding-history/8177/842/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","4488079272","4679272000","1.55","791688","","","https://trendlyne.com/mutual-fund/holding-history/8177/1784/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","4141276101.9","4123858000","1.36","2809359","","","https://trendlyne.com/mutual-fund/holding-history/8177/531/"
