"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1851485170","1848253000","9.58","923434","29147","3.26","/mutual-fund/holding-history/9713/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1585016212","1557228000","8.08","1077070","40680","3.93","/mutual-fund/holding-history/9713/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1422161213.2","1509475000","7.83","1005914","-5096","-0.5","/mutual-fund/holding-history/9713/1127/"
"Infosys Ltd","INFY","500209","Technology","768563775","781642000","4.05","487977","125103","34.48","/mutual-fund/holding-history/9713/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","684226386","747290000","3.88","623157","-91608","-12.82","/mutual-fund/holding-history/9713/140/"
"NTPC Ltd","NTPC","532555","Utilities","627194688","616337000","3.2","1840360","47358","2.64","/mutual-fund/holding-history/9713/959/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","589287217.75","519300000","2.69","1965929","-85047","-4.15","/mutual-fund/holding-history/9713/589490/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","526268320","513870000","2.66","161432","-6950","-4.13","/mutual-fund/holding-history/9713/807/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","484249093.5","510436000","2.65","253999","-7153","-2.74","/mutual-fund/holding-history/9713/187/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","454729413.6","497448000","2.58","143688","-66055","-31.49","/mutual-fund/holding-history/9713/1372/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","493079602.6","490970000","2.55","292994","863","0.3","/mutual-fund/holding-history/9713/1316/"
"State Bank of India","SBIN","500112","Financial Services","468082411.65","471358000","2.44","574581","56190","10.84","/mutual-fund/holding-history/9713/1193/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","457451518","461492000","2.39","224461","-1137","-0.5","/mutual-fund/holding-history/9713/147/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","459631509.6","432992000","2.25","946328","-105438","-10.02","/mutual-fund/holding-history/9713/4813/"
"Larsen & Toubro Ltd","LT","500510","Industrials","402118068","425517000","2.21","115951","-587","-0.5","/mutual-fund/holding-history/9713/800/"
"One97 Communications Ltd","PAYTM","543396","Technology","476282377.7","417895000","2.17","452267","3524","0.79","/mutual-fund/holding-history/9713/712312/"
"ITC Ltd","ITC","500875","Consumer Defensive","388281006","388748000","2.02","933480","-121206","-11.49","/mutual-fund/holding-history/9713/647/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","338274084","325468000","1.69","137846","311","0.23","/mutual-fund/holding-history/9713/67/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","303669989","304664000","1.58","50977","-856","-1.65","/mutual-fund/holding-history/9713/1784/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","293610379.6","298680000","1.55","162476","-823","-0.5","/mutual-fund/holding-history/9713/60957/"
"Coforge Ltd","COFORGE","532541","Technology","272456244.1","282010000","1.46","146537","21457","17.15","/mutual-fund/holding-history/9713/942/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","269540606","281671000","1.46","99023","-501","-0.5","/mutual-fund/holding-history/9713/490/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","278636158","259765000","1.35","340631","180626","112.89","/mutual-fund/holding-history/9713/450809/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","247606947","254253000","1.32","37338","-1877","-4.79","/mutual-fund/holding-history/9713/336/"
"Tech Mahindra Ltd","TECHM","532755","Technology","231653012.5","252535000","1.31","149695","14580","10.79","/mutual-fund/holding-history/9713/1374/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","248840760","247059000","1.28","105441","28143","36.41","/mutual-fund/holding-history/9713/478/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","264118375.8","246569000","1.28","426996","-2163","-0.5","/mutual-fund/holding-history/9713/71/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","217272610","219527000","1.14","26209","-132","-0.5","/mutual-fund/holding-history/9713/144/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","224577009.6","207918000","1.08","125448","3790","3.12","/mutual-fund/holding-history/9713/1071/"
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","225880182.5","207546000","1.08","30659","2759","9.89","/mutual-fund/holding-history/9713/73518/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","188088320","198036000","1.03","146944","-17168","-10.46","/mutual-fund/holding-history/9713/1253626/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","180835687","196050000","1.02","44839","-227","-0.5","/mutual-fund/holding-history/9713/53208/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","196731498","194936000","1.01","191020","-19777","-9.38","/mutual-fund/holding-history/9713/699/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","185504409.2","184949000","0.96","271126","12481","4.83","/mutual-fund/holding-history/9713/293/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","183169990.3","181622000","0.94","36773","1637","4.66","/mutual-fund/holding-history/9713/1878/"
"Vedanta Ltd","VEDL","500295","Basic Materials","175761510.4","179680000","0.93","389888","38980","11.11","/mutual-fund/holding-history/9713/1289/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","169194688","176084000","0.91","108160","-80197","-42.58","/mutual-fund/holding-history/9713/262/"
"Lodha Developers Ltd","LODHA","543287","Real Estate","181846209.9","174328000","0.9","125941","-10812","-7.91","/mutual-fund/holding-history/9713/460813/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","138689145","161027000","0.84","25899","-7747","-23.03","/mutual-fund/holding-history/9713/1412/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","141454984.5","150453000","0.78","40771","14070","52.69","/mutual-fund/holding-history/9713/1403/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","164716200","139023000","0.72","24957","-4891","-16.39","/mutual-fund/holding-history/9713/445359/"
"INOX Green Energy Services Ltd","INOXGREEN","543667","Utilities","151234382","138778000","0.72","894878","-24291","-2.64","/mutual-fund/holding-history/9713/1127763/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","102486100","99996000","0.52","33602","33602","New","/mutual-fund/holding-history/9713/3145560/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","101748370.5","99912000","0.52","125755","-637","-0.5","/mutual-fund/holding-history/9713/424/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","110435220","99234000","0.51","37563","3164","9.2","/mutual-fund/holding-history/9713/877860/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","92211048","96730000","0.5","43578","-6311","-12.65","/mutual-fund/holding-history/9713/2710663/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","99562102.2","96650000","0.5","28358","28358","New","/mutual-fund/holding-history/9713/1409/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","91459302.4","96560000","0.5","58624","-15885","-21.32","/mutual-fund/holding-history/9713/845/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","91934645","91006000","0.47","38873","-196","-0.5","/mutual-fund/holding-history/9713/117/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","84101346","85405000","0.44","177429","-35584","-16.71","/mutual-fund/holding-history/9713/547977/"
"Zinka Logistics Solutions Ltd","BLACKBUCK","544288","Technology","82148635.65","82423000","0.43","189043","189043","New","/mutual-fund/holding-history/9713/2779148/"
"Bharat Electronics Ltd","BEL","500049","Industrials","78782084.95","82307000","0.43","195271","-989","-0.5","/mutual-fund/holding-history/9713/175/"
"Poonawalla Fincorp Ltd","POONAWALLA","524000","Financial Services","77947148.1","80113000","0.42","171898","-26496","-13.36","/mutual-fund/holding-history/9713/813/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","77493646.1","78727000","0.41","194171","-48215","-19.89","/mutual-fund/holding-history/9713/1364/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","81094988","76644000","0.4","119963","-3437","-2.79","/mutual-fund/holding-history/9713/1771/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","81270714","75535000","0.39","14549","-1176","-7.48","/mutual-fund/holding-history/9713/94155/"
