"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","881100378.9","1868583000","9.75","925866","2432","0.26","https://trendlyne.com/mutual-fund/holding-history/9713/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1502774121.4","1584378000","8.26","1069514","-7556","-0.7","https://trendlyne.com/mutual-fund/holding-history/9713/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1385747126.4","1398422000","7.29","1005914","","","https://trendlyne.com/mutual-fund/holding-history/9713/1127/"
"Infosys Ltd","INFY","500209","Technology","746963105","748948000","3.91","496321","8344","1.71","https://trendlyne.com/mutual-fund/holding-history/9713/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","664175635.2","670451000","3.5","627528","4371","0.7","https://trendlyne.com/mutual-fund/holding-history/9713/140/"
"NTPC Ltd","NTPC","532555","Utilities","619373158","615140000","3.21","1840360","","","https://trendlyne.com/mutual-fund/holding-history/9713/959/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","634145976","603183000","3.15","1959660","-6269","-0.32","https://trendlyne.com/mutual-fund/holding-history/9713/589490/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","531563289.6","517083000","2.7","161432","","","https://trendlyne.com/mutual-fund/holding-history/9713/807/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","500563101.6","505421000","2.64","264024","10025","3.95","https://trendlyne.com/mutual-fund/holding-history/9713/187/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","458066819.6","500053000","2.61","292994","","","https://trendlyne.com/mutual-fund/holding-history/9713/1316/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","472501570.4","494551000","2.58","946328","","","https://trendlyne.com/mutual-fund/holding-history/9713/4813/"
"State Bank of India","SBIN","500112","Financial Services","464721112.8","457682000","2.39","574581","","","https://trendlyne.com/mutual-fund/holding-history/9713/1193/"
"One97 Communications Ltd","PAYTM","543396","Technology","513931209","449860000","2.35","412962","-39305","-8.69","https://trendlyne.com/mutual-fund/holding-history/9713/712312/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","458340436","441939000","2.3","145528","1840","1.28","https://trendlyne.com/mutual-fund/holding-history/9713/1372/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","438372333","437250000","2.28","224461","","","https://trendlyne.com/mutual-fund/holding-history/9713/147/"
"Larsen & Toubro Ltd","LT","500510","Industrials","418119306","421656000","2.2","115951","","","https://trendlyne.com/mutual-fund/holding-history/9713/800/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","376126378.6","370087000","1.93","135722","-2124","-1.54","https://trendlyne.com/mutual-fund/holding-history/9713/67/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","326569559","332219000","1.73","180485","18009","11.08","https://trendlyne.com/mutual-fund/holding-history/9713/60957/"
"ITC Ltd","ITC","500875","Consumer Defensive","323955873.6","328542000","1.71","797528","-135952","-14.56","https://trendlyne.com/mutual-fund/holding-history/9713/647/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","278701228","290625000","1.52","49171","-1806","-3.54","https://trendlyne.com/mutual-fund/holding-history/9713/1784/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","277848635.7","271957000","1.42","99023","","","https://trendlyne.com/mutual-fund/holding-history/9713/490/"
"Coforge Ltd","COFORGE","532541","Technology","255537221","252361000","1.32","144355","-2182","-1.49","https://trendlyne.com/mutual-fund/holding-history/9713/942/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","239520735.5","249213000","1.3","420470","-6526","-1.53","https://trendlyne.com/mutual-fund/holding-history/9713/71/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","232705424.2","248078000","1.29","316951","-23680","-6.95","https://trendlyne.com/mutual-fund/holding-history/9713/450809/"
"Tech Mahindra Ltd","TECHM","532755","Technology","240575256.9","232475000","1.21","158827","9132","6.1","https://trendlyne.com/mutual-fund/holding-history/9713/1374/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","258785293.5","228396000","1.19","28521","2312","8.82","https://trendlyne.com/mutual-fund/holding-history/9713/144/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","211196316","228053000","1.19","34577","-2761","-7.39","https://trendlyne.com/mutual-fund/holding-history/9713/336/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","213085335","225378000","1.18","107175","1734","1.64","https://trendlyne.com/mutual-fund/holding-history/9713/478/"
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","211185961","220215000","1.15","27653","-3006","-9.8","https://trendlyne.com/mutual-fund/holding-history/9713/73518/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","240781784.8","219549000","1.14","51448","6609","14.74","https://trendlyne.com/mutual-fund/holding-history/9713/53208/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","196990994.4","204041000","1.06","125448","","","https://trendlyne.com/mutual-fund/holding-history/9713/1071/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","200188960","200246000","1.04","191020","","","https://trendlyne.com/mutual-fund/holding-history/9713/699/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","213629337","190832000","1","288396","17270","6.37","https://trendlyne.com/mutual-fund/holding-history/9713/293/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","178522643.1","181064000","0.94","167203","20259","13.79","https://trendlyne.com/mutual-fund/holding-history/9713/1253626/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","203273172","179073000","0.93","83220","39642","90.97","https://trendlyne.com/mutual-fund/holding-history/9713/2710663/"
"Vedanta Ltd","VEDL","500295","Basic Materials","175300763","171730000","0.9","403454","13566","3.48","https://trendlyne.com/mutual-fund/holding-history/9713/1289/"
"Lodha Developers Ltd","LODHA","543287","Real Estate","156559623","160282000","0.84","130141","4200","3.33","https://trendlyne.com/mutual-fund/holding-history/9713/460813/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","152960638.5","159588000","0.83","42649","14291","50.39","https://trendlyne.com/mutual-fund/holding-history/9713/1409/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","156258752","156097000","0.81","108160","","","https://trendlyne.com/mutual-fund/holding-history/9713/262/"
"Alkem Laboratories Ltd","ALKEM","539523","Healthcare","161686018","155270000","0.81","30862","-5911","-16.07","https://trendlyne.com/mutual-fund/holding-history/9713/1878/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","160470200","155228000","0.81","22990","-1967","-7.88","https://trendlyne.com/mutual-fund/holding-history/9713/445359/"
"INOX Green Energy Services Ltd","INOXGREEN","543667","Utilities","136021456","147718000","0.77","894878","","","https://trendlyne.com/mutual-fund/holding-history/9713/1127763/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","150235625.4","138197000","0.72","41286","515","1.26","https://trendlyne.com/mutual-fund/holding-history/9713/1403/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","141434439","129961000","0.68","25899","","","https://trendlyne.com/mutual-fund/holding-history/9713/1412/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","95340968.8","113377000","0.59","41074","3511","9.35","https://trendlyne.com/mutual-fund/holding-history/9713/877860/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","117606076","107829000","0.56","125755","","","https://trendlyne.com/mutual-fund/holding-history/9713/424/"
"Siemens Energy India Ltd","ENRIN","544390","Utilities","106767960","97108000","0.51","29991","-3611","-10.75","https://trendlyne.com/mutual-fund/holding-history/9713/3145560/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","99437134","93144000","0.49","38873","","","https://trendlyne.com/mutual-fund/holding-history/9713/117/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","87198750","90459000","0.47","345000","345000","New","https://trendlyne.com/mutual-fund/holding-history/9713/755501/"
"Zinka Logistics Solutions Ltd","BLACKBUCK","544288","Technology","118511056.7","88103000","0.46","189043","","","https://trendlyne.com/mutual-fund/holding-history/9713/2779148/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","95628625.2","87782000","0.46","58467","-157","-0.27","https://trendlyne.com/mutual-fund/holding-history/9713/845/"
"Syngene International Ltd","SYNGENE","539268","Healthcare","76362447.65","85654000","0.45","119963","","","https://trendlyne.com/mutual-fund/holding-history/9713/1771/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","80936087","82202000","0.43","14549","","","https://trendlyne.com/mutual-fund/holding-history/9713/94155/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","75289805.25","77232000","0.4","194171","","","https://trendlyne.com/mutual-fund/holding-history/9713/1364/"
"Bharat Electronics Ltd","BEL","500049","Industrials","73451186.65","74808000","0.39","195271","","","https://trendlyne.com/mutual-fund/holding-history/9713/175/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","53284106.9","52867000","0.28","117599","-59830","-33.72","https://trendlyne.com/mutual-fund/holding-history/9713/547977/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","50887190","52700000","0.27","5737","1055","22.53","https://trendlyne.com/mutual-fund/holding-history/9713/124/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","51564905","51592000","0.27","68845","","","https://trendlyne.com/mutual-fund/holding-history/9713/816269/"
"Poonawalla Fincorp Ltd","POONAWALLA","524000","Financial Services","36277610.35","35504000","0.19","84083","-87815","-51.09","https://trendlyne.com/mutual-fund/holding-history/9713/813/"
"Knowledge Marine & Engineering Works Ltd Ordinary Shares","","543273","Industrials","19308952","17343000","0.09","10426","-5500","-34.53","https://trendlyne.com/mutual-fund/holding-history/9713/445358/"
