"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","168844296","169673000","8.42","87240","","","/mutual-fund/holding-history/541121/533/"
"State Bank of India","SBIN","500112","Financial Services","96991697.5","99415000","4.94","122387","","","/mutual-fund/holding-history/541121/1193/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","94460780","95712000","4.75","66200","","","/mutual-fund/holding-history/541121/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","79079000","78150000","3.88","55000","","","/mutual-fund/holding-history/541121/1127/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","68910600","70761000","3.51","636000","","","/mutual-fund/holding-history/541121/2789016/"
"Coforge Ltd","COFORGE","532541","Technology","14432925.5","67455000","3.35","7889","","","/mutual-fund/holding-history/541121/942/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","70319600","66492000","3.3","104000","","","/mutual-fund/holding-history/541121/1288/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","65828100","64663000","3.21","13000","","","/mutual-fund/holding-history/541121/80502/"
"NTPC Ltd","NTPC","532555","Utilities","61400800","61438000","3.05","184000","","","/mutual-fund/holding-history/541121/959/"
"Vedanta Ltd","VEDL","500295","Basic Materials","62626500","58799000","2.92","135000","","","/mutual-fund/holding-history/541121/1289/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","60606000","56304000","2.8","45000","","","/mutual-fund/holding-history/541121/346/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","50105250","52332000","2.6","325000","55000","20.37","/mutual-fund/holding-history/541121/1366/"
"Tech Mahindra Ltd","TECHM","532755","Technology","47429200","44069000","2.19","28000","1813","6.92","/mutual-fund/holding-history/541121/1374/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","43934000","43208000","2.15","110000","","","/mutual-fund/holding-history/541121/1364/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","39833700","39986000","1.99","138000","7500","5.75","/mutual-fund/holding-history/541121/1057/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","37685275","37915000","1.88","68500","","","/mutual-fund/holding-history/541121/71/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","39775154.6","37884000","1.88","20509","","","/mutual-fund/holding-history/541121/2710663/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","39438300","37769000","1.88","33000","","","/mutual-fund/holding-history/541121/100478/"
"Bharat Electronics Ltd","BEL","500049","Industrials","39173450","37306000","1.85","97000","5500","6.01","/mutual-fund/holding-history/541121/175/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","36256150","36984000","1.84","71000","10500","17.36","/mutual-fund/holding-history/541121/1373/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","35015000","35820000","1.78","25000","25000","New","/mutual-fund/holding-history/541121/27/"
"Infosys Ltd","INFY","500209","Technology","35723600","34379000","1.71","22000","","","/mutual-fund/holding-history/541121/630/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","34129200","33779000","1.68","34000","-12000","-26.09","/mutual-fund/holding-history/541121/699/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","30255280","31284000","1.55","8800","","","/mutual-fund/holding-history/541121/1403/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","30767440","30478000","1.51","8800","","","/mutual-fund/holding-history/541121/1372/"
"Larsen & Toubro Ltd","LT","500510","Industrials","28485295","28850000","1.43","7850","-1000","-11.3","/mutual-fund/holding-history/541121/800/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","29753700","28121000","1.4","118000","","","/mutual-fund/holding-history/541121/589490/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","27450750","27183000","1.35","5100","","","/mutual-fund/holding-history/541121/1784/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","24349125","26013000","1.29","4350","","","/mutual-fund/holding-history/541121/1124672/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","27739250","25329000","1.26","27500","27500","New","/mutual-fund/holding-history/541121/188792/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","26085195.4","25280000","1.26","7963","","","/mutual-fund/holding-history/541121/1409/"
"Polycab India Ltd","POLYCAB","542652","Industrials","24428000","23964000","1.19","4000","","","/mutual-fund/holding-history/541121/139599/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","23551180","23740000","1.18","13100","","","/mutual-fund/holding-history/541121/60957/"
"ITC Ltd","ITC","500875","Consumer Defensive","23001000","22993000","1.14","55000","","","/mutual-fund/holding-history/541121/647/"
"CarTrade Tech Ltd","CARTRADE","543333","Consumer Cyclical","24192000","22363000","1.11","14400","-5600","-28","/mutual-fund/holding-history/541121/621767/"
"REC Ltd","RECLTD","532955","Financial Services","21480250","21523000","1.07","53500","-75000","-58.37","/mutual-fund/holding-history/541121/1119/"
"Sky Gold and Diamonds Ltd","","541967","Consumer Cyclical","19007500","19680000","0.98","50000","50000","New","/mutual-fund/holding-history/541121/109637/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","19083750","19487000","0.97","75000","-17000","-18.48","/mutual-fund/holding-history/541121/189/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","18046500","18716000","0.93","75000","","","/mutual-fund/holding-history/541121/162/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","18032710","17950000","0.89","10700","","","/mutual-fund/holding-history/541121/1316/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","17458000","17237000","0.86","4000","","","/mutual-fund/holding-history/541121/540/"
"Siemens Ltd","SIEMENS","500550","Industrials","16684650","16655000","0.83","5100","-900","-15","/mutual-fund/holding-history/541121/1237/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","15267200","16218000","0.81","8000","","","/mutual-fund/holding-history/541121/318/"
"BSE Ltd","BSE","","Financial Services","16184400","16044000","0.8","6000","750","14.29","/mutual-fund/holding-history/541121/52884/"
"Siemens Engy Ind","","","","","14869000","0.74","6000","","",""
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","14336800","14266000","0.71","16000","-2220","-12.18","/mutual-fund/holding-history/541121/1434/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","14304500","14007000","0.7","3500","-2500","-41.67","/mutual-fund/holding-history/541121/53208/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","13494600","13982000","0.69","4500","","","/mutual-fund/holding-history/541121/1037/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","13959750","13922000","0.69","7500","2000","36.36","/mutual-fund/holding-history/541121/187/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","12902274","12980000","0.64","29960","","","/mutual-fund/holding-history/541121/1690561/"
"Quality Power Electrical Equipments Ltd","QPOWER","544367","Industrials","12039350","11084000","0.55","23000","23000","New","/mutual-fund/holding-history/541121/2978666/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","10658375","10330000","0.51","17500","17500","New","/mutual-fund/holding-history/541121/157/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","10223100","10158000","0.5","1800","","","/mutual-fund/holding-history/541121/1412/"
"DLF Ltd","DLF","532868","Real Estate","10308000","9574000","0.48","12000","","","/mutual-fund/holding-history/541121/337/"
