"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","174916200","174611000","8.35","87240","","","/mutual-fund/holding-history/541121/533/"
"State Bank of India","SBIN","500112","Financial Services","99702569.55","100400000","4.8","122387","","","/mutual-fund/holding-history/541121/1193/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","97419920","95712000","4.58","66200","","","/mutual-fund/holding-history/541121/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","77759000","82533000","3.95","55000","","","/mutual-fund/holding-history/541121/1127/"
"Coforge Ltd","COFORGE","532541","Technology","73340088.5","75912000","3.63","39445","","","/mutual-fund/holding-history/541121/942/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","66653600","73512000","3.52","104000","","","/mutual-fund/holding-history/541121/1288/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","68853360","66583000","3.18","636000","","","/mutual-fund/holding-history/541121/2789016/"
"Vedanta Ltd","VEDL","500295","Basic Materials","60858000","62215000","2.98","135000","","","/mutual-fund/holding-history/541121/1289/"
"NTPC Ltd","NTPC","532555","Utilities","62707200","61622000","2.95","184000","","","/mutual-fund/holding-history/541121/959/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","57093600","58438000","2.79","12000","-1000","-7.69","/mutual-fund/holding-history/541121/80502/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","55800000","57749000","2.76","45000","","","/mutual-fund/holding-history/541121/346/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","52965250","51922000","2.48","325000","","","/mutual-fund/holding-history/541121/1366/"
"Tech Mahindra Ltd","TECHM","532755","Technology","43330000","47236000","2.26","28000","","","/mutual-fund/holding-history/541121/1374/"
