"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","7709560272.4","16349955000","9.97","8101256","50000","0.62","https://trendlyne.com/mutual-fund/holding-history/10926/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","13503854060","14237143000","8.68","9610600","","","https://trendlyne.com/mutual-fund/holding-history/10926/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","8804930400","8885463000","5.42","6391500","525000","8.95","https://trendlyne.com/mutual-fund/holding-history/10926/1127/"
"Infosys Ltd","INFY","500209","Technology","6936758710","6955195000","4.24","4609142","110000","2.44","https://trendlyne.com/mutual-fund/holding-history/10926/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","6228630604.4","6289080000","3.83","3285316","","","https://trendlyne.com/mutual-fund/holding-history/10926/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","6159019152","6211113000","3.79","1707992","50000","3.02","https://trendlyne.com/mutual-fund/holding-history/10926/800/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","5503964592","5354030000","3.26","1671515","","","https://trendlyne.com/mutual-fund/holding-history/10926/807/"
"State Bank of India","SBIN","500112","Financial Services","4984468596","4908974000","2.99","6162795","711995","13.06","https://trendlyne.com/mutual-fund/holding-history/10926/1193/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","4688964000","4460022000","2.72","14490000","-600000","-3.98","https://trendlyne.com/mutual-fund/holding-history/10926/589490/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","4549485648","4362506000","2.66","356152","","","https://trendlyne.com/mutual-fund/holding-history/10926/1443/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","4378640346","4326110000","2.64","4909340","","","https://trendlyne.com/mutual-fund/holding-history/10926/150/"
"ITC Ltd","ITC","500875","Consumer Defensive","3737040000","3789940000","2.31","9200000","","","https://trendlyne.com/mutual-fund/holding-history/10926/647/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3634757280","3669099000","2.24","3434200","-115000","-3.24","https://trendlyne.com/mutual-fund/holding-history/10926/140/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","3161837250","3183073000","1.94","1608750","50000","3.21","https://trendlyne.com/mutual-fund/holding-history/10926/758/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2828972300","3088274000","1.88","1809500","215000","13.48","https://trendlyne.com/mutual-fund/holding-history/10926/1316/"
"NTPC Ltd","NTPC","532555","Utilities","2995295000","2974825000","1.81","8900000","","","https://trendlyne.com/mutual-fund/holding-history/10926/959/"
"Bharat Electronics Ltd","BEL","500049","Industrials","2783510000","2834940000","1.73","7400000","-425000","-5.43","https://trendlyne.com/mutual-fund/holding-history/10926/175/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2840792309","2739139000","1.67","901982","-110000","-10.87","https://trendlyne.com/mutual-fund/holding-history/10926/1372/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2500251156","2607222000","1.59","441117","1289","0.29","https://trendlyne.com/mutual-fund/holding-history/10926/1784/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2250910501.4","2414874000","1.47","1938101","","","https://trendlyne.com/mutual-fund/holding-history/10926/276825/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2335700654.4","2346670000","1.43","914097","6238","0.69","https://trendlyne.com/mutual-fund/holding-history/10926/1436676/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","2357804904","2317213000","1.41","2159162","-116500","-5.12","https://trendlyne.com/mutual-fund/holding-history/10926/1359/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","2188742519.4","2226605000","1.36","1209651","","","https://trendlyne.com/mutual-fund/holding-history/10926/60957/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","2295502044","2221865000","1.35","2999480","687523","29.74","https://trendlyne.com/mutual-fund/holding-history/10926/606/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","2358189145","2169218000","1.32","648050","","","https://trendlyne.com/mutual-fund/holding-history/10926/1403/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","2028008307.9","2122646000","1.29","4061703","335000","8.99","https://trendlyne.com/mutual-fund/holding-history/10926/4813/"
"Tech Mahindra Ltd","TECHM","532755","Technology","2014551000","1946721000","1.19","1330000","","","https://trendlyne.com/mutual-fund/holding-history/10926/1374/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","1866582738.7","1864645000","1.14","1292021","-100000","-7.18","https://trendlyne.com/mutual-fund/holding-history/10926/262/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","2203380950","1861571000","1.13","147650","","","https://trendlyne.com/mutual-fund/holding-history/10926/842/"
"PI Industries Ltd","PIIND","523642","Basic Materials","1605296824.8","1814930000","1.11","426952","13456","3.25","https://trendlyne.com/mutual-fund/holding-history/10926/1038/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","1667055000","1668549000","1.02","1245000","","","https://trendlyne.com/mutual-fund/holding-history/10926/851/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","1537169820","1659857000","1.01","251665","","","https://trendlyne.com/mutual-fund/holding-history/10926/336/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","1849914253.5","1632679000","1","203881","-10000","-4.68","https://trendlyne.com/mutual-fund/holding-history/10926/144/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","1587843812.3","1573774000","0.96","868481","80000","10.15","https://trendlyne.com/mutual-fund/holding-history/10926/710819/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","1673152200","1570203000","0.96","622800","","","https://trendlyne.com/mutual-fund/holding-history/10926/560/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1702177317","1564096000","0.95","311697","","","https://trendlyne.com/mutual-fund/holding-history/10926/1412/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","1569792774.8","1563933000","0.95","1065422","-51578","-4.62","https://trendlyne.com/mutual-fund/holding-history/10926/531/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","1492837500","1531338000","0.93","3850000","","","https://trendlyne.com/mutual-fund/holding-history/10926/1364/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","1689971494.75","1509624000","0.92","2281433","227273","11.06","https://trendlyne.com/mutual-fund/holding-history/10926/293/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","1255863186","1310279000","0.8","350164","106964","43.98","https://trendlyne.com/mutual-fund/holding-history/10926/1409/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","1552963445","1230320000","0.75","1181410","","","https://trendlyne.com/mutual-fund/holding-history/10926/864/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","1020613695","1090673000","0.66","31701","-123","-0.39","https://trendlyne.com/mutual-fund/holding-history/10926/18/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","1055418750","1056724000","0.64","10875000","","","https://trendlyne.com/mutual-fund/holding-history/10926/878/"
