"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1014688802.4","996899000","7.54","689514","","","/mutual-fund/holding-history/10206/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","948070265","946415000","7.16","472853","","","/mutual-fund/holding-history/10206/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","792540935","841199000","6.36","560575","45588","8.85","/mutual-fund/holding-history/10206/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","438507792","464024000","3.51","126444","","","/mutual-fund/holding-history/10206/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","399107628","435892000","3.3","363486","","","/mutual-fund/holding-history/10206/140/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","375727300.5","396046000","3","197077","","","/mutual-fund/holding-history/10206/187/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","382754340","375733000","2.84","401210","320968","400","/mutual-fund/holding-history/10206/150/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","325003385.3","347060000","2.63","426206","169225","65.85","/mutual-fund/holding-history/10206/65394/"
"Nifty 31-Jul-2025","","","","","340029000","2.57","13275","13275","New",""
"ITC Ltd","ITC","500875","Consumer Defensive","332146473.75","332546000","2.52","798525","","","/mutual-fund/holding-history/10206/647/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","279594915.6","305861000","2.31","88348","","","/mutual-fund/holding-history/10206/1372/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","259892983","295463000","2.23","170926","77683","83.31","/mutual-fund/holding-history/10206/531/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","288910174.6","287674000","2.18","171674","","","/mutual-fund/holding-history/10206/1316/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","265797488.6","266204000","2.01","123043","-43541","-26.14","/mutual-fund/holding-history/10206/758/"
"Infosys Ltd","INFY","500209","Technology","260437275","264869000","2","165357","","","/mutual-fund/holding-history/10206/630/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","259424262.5","259227000","1.96","35795","","","/mutual-fund/holding-history/10206/93/"
"Bharat Electronics Ltd","BEL","500049","Industrials","236058998.45","246620000","1.87","585101","","","/mutual-fund/holding-history/10206/175/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","212414146.2","225723000","1.71","158058","26335","19.99","/mutual-fund/holding-history/10206/851/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","218632440","216814000","1.64","17485","","","/mutual-fund/holding-history/10206/842/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","221646205","214687000","1.62","17753","","","/mutual-fund/holding-history/10206/1443/"
"State Bank of India","SBIN","500112","Financial Services","208200100.5","209657000","1.59","255570","-79828","-23.8","/mutual-fund/holding-history/10206/1193/"
"NTPC Ltd","NTPC","532555","Utilities","210794001.6","207145000","1.57","618527","","","/mutual-fund/holding-history/10206/959/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","180619540","184950000","1.4","31610","11636","58.26","/mutual-fund/holding-history/10206/220/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","188600780","184158000","1.39","57853","-25711","-30.77","/mutual-fund/holding-history/10206/807/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","165227623.2","171956000","1.3","105624","35625","50.89","/mutual-fund/holding-history/10206/262/"
"Lupin Ltd","LUPIN","500257","Healthcare","155606115","158302000","1.2","81683","","","/mutual-fund/holding-history/10206/804/"
"Muthoot Finance Ltd","MUTHOOTFIN","533398","Financial Services","160240012.2","157085000","1.19","59867","","","/mutual-fund/holding-history/10206/897/"
"Indian Bank","INDIANB","532814","Financial Services","142116432.9","145532000","1.1","226174","64719","40.08","/mutual-fund/holding-history/10206/609/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","126783366.2","143018000","1.08","174946","83406","91.11","/mutual-fund/holding-history/10206/54902/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","138807819.5","141376000","1.07","205489","","","/mutual-fund/holding-history/10206/1362/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","141907067.1","137756000","1.04","40419","","","/mutual-fund/holding-history/10206/1409/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","129086932.95","125790000","0.95","378943","","","/mutual-fund/holding-history/10206/215/"
"BSE Ltd","BSE","","Financial Services","111424437","121089000","0.92","43713","9375","27.3","/mutual-fund/holding-history/10206/52884/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","116157354","119275000","0.9","17516","","","/mutual-fund/holding-history/10206/336/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","107438723","111886000","0.85","36631","-24404","-39.98","/mutual-fund/holding-history/10206/1037/"
"Marico Ltd","MARICO","531642","Consumer Defensive","110327658","111151000","0.84","153874","","","/mutual-fund/holding-history/10206/840/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","109385319.2","103797000","0.79","25646","","","/mutual-fund/holding-history/10206/406/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","94573850","102530000","0.78","23450","7883","50.64","/mutual-fund/holding-history/10206/53208/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","102128892.25","102469000","0.78","147895","","","/mutual-fund/holding-history/10206/549/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","95643415","99781000","0.75","34195","34195","New","/mutual-fund/holding-history/10206/1430/"
"Unimech Aerospace And Manufacturing Ltd","UNIMECH","544322","Industrials","93704118.3","99666000","0.75","76437","","","/mutual-fund/holding-history/10206/2868825/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","93849485.4","96384000","0.73","123332","123332","New","/mutual-fund/holding-history/10206/167028/"
