"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","968836121.4","1021446000","7.91","689514","","","https://trendlyne.com/mutual-fund/holding-history/10206/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","449990557.45","954312000","7.39","472853","","","https://trendlyne.com/mutual-fund/holding-history/10206/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","840336000","848022000","6.56","610000","49425","8.82","https://trendlyne.com/mutual-fund/holding-history/10206/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","455957064","459814000","3.56","126444","","","https://trendlyne.com/mutual-fund/holding-history/10206/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","384713582.4","388348000","3.01","363486","","","https://trendlyne.com/mutual-fund/holding-history/10206/140/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","373638284.3","377265000","2.92","197077","","","https://trendlyne.com/mutual-fund/holding-history/10206/187/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","357839199","353546000","2.74","401210","","","https://trendlyne.com/mutual-fund/holding-history/10206/150/"
"ITC Ltd","ITC","500875","Consumer Defensive","324360855","328952000","2.55","798525","","","https://trendlyne.com/mutual-fund/holding-history/10206/647/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","335679845.6","321999000","2.49","426206","","","https://trendlyne.com/mutual-fund/holding-history/10206/65394/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","268395131.6","292996000","2.27","171674","","","https://trendlyne.com/mutual-fund/holding-history/10206/1316/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","275102472.5","268391000","2.08","35795","","","https://trendlyne.com/mutual-fund/holding-history/10206/93/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","278252026","268295000","2.08","88348","","","https://trendlyne.com/mutual-fund/holding-history/10206/1372/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","251842368.4","250902000","1.94","170926","","","https://trendlyne.com/mutual-fund/holding-history/10206/531/"
"Infosys Ltd","INFY","500209","Technology","248862285","249524000","1.93","165357","","","https://trendlyne.com/mutual-fund/holding-history/10206/630/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","241828712.2","243453000","1.88","123043","","","https://trendlyne.com/mutual-fund/holding-history/10206/758/"
"Bharat Electronics Ltd","BEL","500049","Industrials","220085741.15","224152000","1.74","585101","","","https://trendlyne.com/mutual-fund/holding-history/10206/175/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","260928655","220451000","1.71","17485","","","https://trendlyne.com/mutual-fund/holding-history/10206/842/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","223910400","217811000","1.69","68000","10147","17.54","https://trendlyne.com/mutual-fund/holding-history/10206/807/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","226776822","217456000","1.68","17753","","","https://trendlyne.com/mutual-fund/holding-history/10206/1443/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","211639662","211829000","1.64","158058","","","https://trendlyne.com/mutual-fund/holding-history/10206/851/"
"NTPC Ltd","NTPC","532555","Utilities","208165261.85","206743000","1.6","618527","","","https://trendlyne.com/mutual-fund/holding-history/10206/959/"
"State Bank of India","SBIN","500112","Financial Services","206705016","203574000","1.58","255570","","","https://trendlyne.com/mutual-fund/holding-history/10206/1193/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","185313625","182421000","1.41","31610","","","https://trendlyne.com/mutual-fund/holding-history/10206/220/"
