"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","67067462801.4","66731207000","9.81","34665562","","","/mutual-fund/holding-history/9508/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","62179854898","61025208000","8.97","42764687","","","/mutual-fund/holding-history/9508/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","45732097448.4","44118097000","6.48","31400781","","","/mutual-fund/holding-history/9508/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","42807968110.6","39676373000","5.83","11875598","203124","1.74","/mutual-fund/holding-history/9508/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","29615717730","30440191000","4.47","16326195","","","/mutual-fund/holding-history/9508/187/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","30649344255","28908735000","4.25","2358549","4247","0.18","/mutual-fund/holding-history/9508/842/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","29378926630.4","28800486000","4.23","24304208","","","/mutual-fund/holding-history/9508/140/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","28534892115","27902115000","4.1","2396883","-56000","-2.28","/mutual-fund/holding-history/9508/1443/"
"Infosys Ltd","INFY","500209","Technology","24054613046.1","22695971000","3.34","15129639","-779083","-4.9","/mutual-fund/holding-history/9508/630/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","18768425784","19822115000","2.91","10818160","579065","5.66","/mutual-fund/holding-history/9508/1316/"
"NTPC Ltd","NTPC","532555","Utilities","13199430635.9","13639925000","2","38471089","","","/mutual-fund/holding-history/9508/959/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","13713327924.7","12078888000","1.78","3155899","","","/mutual-fund/holding-history/9508/540/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","12682438812.5","11968802000","1.76","2279989","-193913","-7.84","/mutual-fund/holding-history/9508/1784/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","10369647799.2","10348592000","1.52","16844782","","","/mutual-fund/holding-history/9508/4714/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","10895225421.6","10176660000","1.5","3474686","46533","1.36","/mutual-fund/holding-history/9508/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","9540112470.6","9323341000","1.37","21896058","-4800000","-17.98","/mutual-fund/holding-history/9508/647/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","8997156919.6","8958599000","1.32","5073394","","","/mutual-fund/holding-history/9508/60957/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","9035192142.41","8932150000","1.31","36539783","1080369","3.05","/mutual-fund/holding-history/9508/974/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","7981605388.1","7908760000","1.16","10634342","","","/mutual-fund/holding-history/9508/65394/"
"Coal India Ltd","COALINDIA","533278","Energy","8203521356.8","7808342000","1.15","20265616","-2555624","-11.2","/mutual-fund/holding-history/9508/275/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","7227823224","7449240000","1.09","3070965","762754","33.05","/mutual-fund/holding-history/9508/117/"
"DLF Ltd","DLF","532868","Real Estate","7776322717.7","7324451000","1.08","10862303","","","/mutual-fund/holding-history/9508/337/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","7141136682.8","6811321000","1","2352463","199186","9.25","/mutual-fund/holding-history/9508/297/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","7307190504","6747425000","0.99","1542480","","","/mutual-fund/holding-history/9508/94155/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","7188150183.6","6337711000","0.93","9837348","","","/mutual-fund/holding-history/9508/1362/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","6129701545.2","6277737000","0.92","20418726","-2340000","-10.28","/mutual-fund/holding-history/9508/1057/"
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","500459","Consumer Defensive","6294719763","6248219000","0.92","438687","24712","5.97","/mutual-fund/holding-history/9508/1032/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","6399807315","6198876000","0.91","19993150","","","/mutual-fund/holding-history/9508/215/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","5405157268.5","5104274000","0.75","3256315","","","/mutual-fund/holding-history/9508/531/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","4797776516.4","5053739000","0.74","2339694","-134947","-5.45","/mutual-fund/holding-history/9508/1437/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","4779195090.7","4852420000","0.71","3102769","-300000","-8.82","/mutual-fund/holding-history/9508/851/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","4838751565.2","4850532000","0.71","1154916","","","/mutual-fund/holding-history/9508/53208/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","4620423912.3","4546462000","0.67","5118449","540295","11.8","/mutual-fund/holding-history/9508/229/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","4616611990","4338432000","0.64","146026","-49362","-25.26","/mutual-fund/holding-history/9508/1226/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","4499004762.9","4327920000","0.64","3655647","100000","2.81","/mutual-fund/holding-history/9508/346/"
"Tech Mahindra Ltd","TECHM","532755","Technology","4472402088","4157094000","0.61","2765864","","","/mutual-fund/holding-history/9508/1374/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","4445326194.8","3890668000","0.57","866924","","","/mutual-fund/holding-history/9508/80502/"
"Lupin Ltd","LUPIN","500257","Healthcare","3755447023.6","3804832000","0.56","1815629","461032","34.03","/mutual-fund/holding-history/9508/804/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","3508111399.52","3700752000","0.54","14807156","","","/mutual-fund/holding-history/9508/162/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","3764817611.1","3651069000","0.54","1057147","","","/mutual-fund/holding-history/9508/1372/"
"Union Bank of India","UNIONBANK","532477","Financial Services","3697550555.04","3496301000","0.51","27796952","","","/mutual-fund/holding-history/9508/1447/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","3337263930","3414778000","0.5","2778275","443776","19.01","/mutual-fund/holding-history/9508/132/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","3091323830.8","2844764000","0.42","1665943","464467","38.66","/mutual-fund/holding-history/9508/2710663/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","2925257151.1","2778894000","0.41","4448722","-3633","-0.08","/mutual-fund/holding-history/9508/549/"
"Wipro Ltd","WIPRO","507685","Technology","2747853373.23","2609440000","0.38","10805133","","","/mutual-fund/holding-history/9508/1526/"
"Siemens Ltd","SIEMENS","500550","Industrials","2745112170.5","2594867000","0.38","894319","61549","7.39","/mutual-fund/holding-history/9508/1237/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","2627771881.05","2336390000","0.34","16678971","7066331","73.51","/mutual-fund/holding-history/9508/1366/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","2457380250","2326291000","0.34","289700","","","/mutual-fund/holding-history/9508/144/"
"Siemens Engy Ind","","","","","2215441000","0.33","893990","893990","New",""
"NHPC Ltd","NHPC","533098","Utilities","2232679245.11","2135119000","0.31","24887741","-8899219","-26.34","/mutual-fund/holding-history/9508/938/"
"Vedanta Ltd","VEDL","500295","Basic Materials","1998333336.8","1898688000","0.28","4529314","","","/mutual-fund/holding-history/9508/1289/"
"ABB India Ltd","ABB","500002","Industrials","1966182240","1865677000","0.27","337832","337832","New","/mutual-fund/holding-history/9508/17/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","1651746219.2","1590561000","0.23","1218821","","","/mutual-fund/holding-history/9508/845/"
