"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Mar, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1279740204.9","1209294000","9.1","661467","-37746","-5.4","/mutual-fund/holding-history/10368/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1086284854","1007354000","7.58","747101","-10590","-1.4","/mutual-fund/holding-history/10368/584/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","607361666","580375000","4.37","334819","","","/mutual-fund/holding-history/10368/187/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","618811252.4","541779000","4.08","424891","","","/mutual-fund/holding-history/10368/1127/"
"Infosys Ltd","INFY","500209","Technology","524555707","518205000","3.9","329930","-19282","-5.52","/mutual-fund/holding-history/10368/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","554746122.4","505733000","3.81","458923","","","/mutual-fund/holding-history/10368/140/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","461712665.6","475510000","3.58","219008","35399","19.28","/mutual-fund/holding-history/10368/758/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","412597503","402633000","3.03","45009","19566","76.9","/mutual-fund/holding-history/10368/150/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","410220841.5","398174000","3","74457","","","/mutual-fund/holding-history/10368/360/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","446888480","383337000","2.88","382610","-103467","-21.29","/mutual-fund/holding-history/10368/1359/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","424520507.36","378096000","2.85","2887109","251077","9.52","/mutual-fund/holding-history/10368/878/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","351076515.3","355498000","2.68","98581","","","/mutual-fund/holding-history/10368/1372/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","414514327.5","349452000","2.63","114075","","","/mutual-fund/holding-history/10368/1403/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","362053715","324897000","2.44","65810","","","/mutual-fund/holding-history/10368/220/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","348787072.3","317312000","2.39","226441","","","/mutual-fund/holding-history/10368/851/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","327470263.42","314648000","2.37","3127402","102716","3.4","/mutual-fund/holding-history/10368/2789016/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","353886875.1","307863000","2.32","1105551","","","/mutual-fund/holding-history/10368/215/"
"SRF Ltd","SRF","503806","Industrials","268459375.1","270693000","2.04","92099","","","/mutual-fund/holding-history/10368/1283/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","309627957.6","263237000","1.98","98746","-10871","-9.92","/mutual-fund/holding-history/10368/807/"
