"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1276366723.2","1286487000","8.64","661467","","","/mutual-fund/holding-history/10368/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1063274143.2","1080159000","7.26","747101","","","/mutual-fund/holding-history/10368/584/"
"Infosys Ltd","INFY","500209","Technology","732359661.2","697883000","4.69","446588","","","/mutual-fund/holding-history/10368/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","608103999.2","603728000","4.06","424891","","","/mutual-fund/holding-history/10368/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","594285339.2","594734000","4","320404","","","/mutual-fund/holding-history/10368/187/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","59771634","594511000","3.99","64758","14044","27.69","/mutual-fund/holding-history/10368/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","467976294.4","454376000","3.05","219008","","","/mutual-fund/holding-history/10368/758/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","452124128.8","443603000","2.98","372088","-55999","-13.08","/mutual-fund/holding-history/10368/140/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","388505227.5","405537000","2.73","114075","","","/mutual-fund/holding-history/10368/1403/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","397674837","397116000","2.67","74457","","","/mutual-fund/holding-history/10368/360/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","372057228.4","377781000","2.54","2467223","","","/mutual-fund/holding-history/10368/878/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","345816352.8","352007000","2.37","1105551","","","/mutual-fund/holding-history/10368/215/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","335320042.44","347955000","2.34","3127402","","","/mutual-fund/holding-history/10368/2789016/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","334902530.4","326600000","2.19","102876","","","/mutual-fund/holding-history/10368/1409/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","318128405","314815000","2.12","57130","","","/mutual-fund/holding-history/10368/220/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","300133728","309853000","2.08","280080","-96993","-25.72","/mutual-fund/holding-history/10368/1359/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","307512737","296394000","1.99","1243732","23076","1.89","/mutual-fund/holding-history/10368/589490/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","281704497.6","290357000","1.95","191012","-35429","-15.65","/mutual-fund/holding-history/10368/851/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","286416704","289658000","1.95","43808","","","/mutual-fund/holding-history/10368/336/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","260864582.4","268547000","1.8","167737","","","/mutual-fund/holding-history/10368/262/"
"SRF Ltd","SRF","503806","Industrials","285175343.6","263495000","1.77","92099","","","/mutual-fund/holding-history/10368/1283/"
"ABB India Ltd","ABB","500002","Industrials","265717138.5","262921000","1.77","44033","8069","22.44","/mutual-fund/holding-history/10368/17/"
"Tech Mahindra Ltd","TECHM","532755","Technology","285095116.8","261091000","1.75","165888","","","/mutual-fund/holding-history/10368/1374/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","234946521.6","232571000","1.56","78128","-20618","-20.88","/mutual-fund/holding-history/10368/807/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","216390463.4","215663000","1.45","169174","-3242","-1.88","/mutual-fund/holding-history/10368/407835/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","215828874.1","212642000","1.43","61397","-18194","-22.86","/mutual-fund/holding-history/10368/1372/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","202045665.6","211425000","1.42","93609","30953","49.4","/mutual-fund/holding-history/10368/1053/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","218008371.2","206982000","1.39","112052","3444","3.17","/mutual-fund/holding-history/10368/2710663/"
"Bharat Electronics Ltd","BEL","500049","Industrials","213307957.25","204202000","1.37","530947","","","/mutual-fund/holding-history/10368/175/"
"PTC Industries Ltd","PTCIL","539006","Industrials","194335065","199606000","1.34","13047","-1135","-8","/mutual-fund/holding-history/10368/4156/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","167644615.2","190000000","1.28","349296","","","/mutual-fund/holding-history/10368/547977/"
"Coforge Ltd","COFORGE","532541","Technology","39960936","185648000","1.25","21712","-9029","-29.37","/mutual-fund/holding-history/10368/942/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","175597354.8","173353000","1.16","273644","","","/mutual-fund/holding-history/10368/549/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","175337662.5","172185000","1.16","25025","","","/mutual-fund/holding-history/10368/93/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","153653484","158497000","1.07","10788","-1404","-11.52","/mutual-fund/holding-history/10368/60393/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","153299973.75","152979000","1.03","427317","77013","21.98","/mutual-fund/holding-history/10368/888524/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","169177025.3","152824000","1.03","86753","41924","93.52","/mutual-fund/holding-history/10368/710819/"
"Ather Energy Ltd","ATHERENERG","544397","Consumer Cyclical","151027836.75","147287000","0.99","470565","158961","51.01","/mutual-fund/holding-history/10368/3080909/"
