"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","364232451.2","363216208","6.73","181472","-26000","-12.53","/mutual-fund/holding-history/6131/533/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","253604400","267276800","4.95","133000","","","/mutual-fund/holding-history/6131/187/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","260955403.2","256032385","4.74","177087","","","/mutual-fund/holding-history/6131/584/"
"Larsen & Toubro Ltd","LT","500510","Industrials","209608300","222022900","4.11","60500","","","/mutual-fund/holding-history/6131/800/"
"Infosys Ltd","INFY","500209","Technology","209712008.2","213837096","3.96","133498","","","/mutual-fund/holding-history/6131/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","190728000","202581000","3.75","135000","35000","35","/mutual-fund/holding-history/6131/1127/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","166896000","182278400","3.38","152000","42000","38.18","/mutual-fund/holding-history/6131/140/"
"State Bank of India","SBIN","500112","Financial Services","160878555","161934629","3","197397","-26000","-11.64","/mutual-fund/holding-history/6131/1193/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","139778000","140447750","2.6","23500","8000","51.61","/mutual-fund/holding-history/6131/1784/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","123959920","132242320","2.45","162400","","","/mutual-fund/holding-history/6131/65394/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","99705300","115645500","2.14","18600","","","/mutual-fund/holding-history/6131/1412/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","107835000","108888000","2.02","13000","","","/mutual-fund/holding-history/6131/144/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","115133718","108725417","2.01","89878","","","/mutual-fund/holding-history/6131/100478/"
"Tech Mahindra Ltd","TECHM","532755","Technology","96700000","105437500","1.95","62500","-12500","-16.67","/mutual-fund/holding-history/6131/1374/"
