"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","206503101","437892890","8.56","216972","35500","19.56","https://trendlyne.com/mutual-fund/holding-history/6131/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","273608780.7","288261182","5.64","194587","17500","9.88","https://trendlyne.com/mutual-fund/holding-history/6131/584/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","252221200","254601900","4.98","133000","","","https://trendlyne.com/mutual-fund/holding-history/6131/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","218405000","220008250","4.3","60500","","","https://trendlyne.com/mutual-fund/holding-history/6131/800/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","186165000","187677000","3.67","135000","","","https://trendlyne.com/mutual-fund/holding-history/6131/1127/"
"Infosys Ltd","INFY","500209","Technology","160935691.8","161459982","3.16","106998","-26500","-19.85","https://trendlyne.com/mutual-fund/holding-history/6131/630/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","133397750","138896750","2.72","23500","","","https://trendlyne.com/mutual-fund/holding-history/6131/1784/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","127251189.7","128392833","2.51","120173","-31827","-20.94","https://trendlyne.com/mutual-fund/holding-history/6131/140/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","124879108","123367119","2.41","139999","27499","24.44","https://trendlyne.com/mutual-fund/holding-history/6131/150/"
"State Bank of India","SBIN","500112","Financial Services","114192217.2","112629780","2.2","141397","-56000","-28.37","https://trendlyne.com/mutual-fund/holding-history/6131/1193/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","104089700","108515100","2.12","29000","","","https://trendlyne.com/mutual-fund/holding-history/6131/1409/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","104606100","101858580","1.99","31800","","","https://trendlyne.com/mutual-fund/holding-history/6131/807/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","107161700","94494400","1.85","11800","-1200","-9.23","https://trendlyne.com/mutual-fund/holding-history/6131/144/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","101518800","93334800","1.83","18600","","","https://trendlyne.com/mutual-fund/holding-history/6131/1412/"
"GAIL (India) Ltd","GAIL","532155","Utilities","94584000","93282000","1.82","525000","","","https://trendlyne.com/mutual-fund/holding-history/6131/431/"
"Tech Mahindra Ltd","TECHM","532755","Technology","94743750","91481250","1.79","62500","","","https://trendlyne.com/mutual-fund/holding-history/6131/1374/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","107215752","90991936","1.78","7217","-1000","-12.17","https://trendlyne.com/mutual-fund/holding-history/6131/842/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","91800743","89631092","1.75","11954","254","2.17","https://trendlyne.com/mutual-fund/holding-history/6131/93/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","94162299","89349068","1.75","221298","","","https://trendlyne.com/mutual-fund/holding-history/6131/2755533/"
"One97 Communications Ltd","PAYTM","543396","Technology","100658700","88237350","1.73","81000","","","https://trendlyne.com/mutual-fund/holding-history/6131/712312/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","81654600","87057300","1.7","138000","","","https://trendlyne.com/mutual-fund/holding-history/6131/1288/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","86533902.4","86566198","1.69","64592","","","https://trendlyne.com/mutual-fund/holding-history/6131/851/"
"LTIMindtree Ltd","LTIM","540005","Technology","86336250","84249000","1.65","16500","","","https://trendlyne.com/mutual-fund/holding-history/6131/4596/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","80783200","82729275","1.62","60250","21250","54.49","https://trendlyne.com/mutual-fund/holding-history/6131/27/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","86298800","82520900","1.61","4900","","","https://trendlyne.com/mutual-fund/holding-history/6131/60393/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","85679600","82068300","1.6","6700","","","https://trendlyne.com/mutual-fund/holding-history/6131/1443/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","89498295.6","80363057","1.57","64378","-25500","-28.37","https://trendlyne.com/mutual-fund/holding-history/6131/100478/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","78580000","79144000","1.55","40000","","","https://trendlyne.com/mutual-fund/holding-history/6131/758/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","83672250","77332125","1.51","21750","-4250","-16.35","https://trendlyne.com/mutual-fund/holding-history/6131/297/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","76207500","77257500","1.51","150000","","","https://trendlyne.com/mutual-fund/holding-history/6131/697/"
"Coforge Ltd","COFORGE","532541","Technology","78073600","76920800","1.5","44000","","","https://trendlyne.com/mutual-fund/holding-history/6131/942/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","79442250","74793975","1.46","109500","-30500","-21.79","https://trendlyne.com/mutual-fund/holding-history/6131/549/"
"Bharat Electronics Ltd","BEL","500049","Industrials","73339500","74704500","1.46","195000","-35000","-15.22","https://trendlyne.com/mutual-fund/holding-history/6131/175/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","71162500","74087500","1.45","125000","-25000","-16.67","https://trendlyne.com/mutual-fund/holding-history/6131/71/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","58419300","72978800","1.43","74000","","","https://trendlyne.com/mutual-fund/holding-history/6131/4826/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","71967000","72636300","1.42","69000","8500","14.05","https://trendlyne.com/mutual-fund/holding-history/6131/166089/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","72254000","71862700","1.41","455000","","","https://trendlyne.com/mutual-fund/holding-history/6131/1366/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","84627500","70045000","1.37","25000","","","https://trendlyne.com/mutual-fund/holding-history/6131/1430/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","63731864","68863616","1.35","10441","1941","22.84","https://trendlyne.com/mutual-fund/holding-history/6131/336/"
"Marico Ltd","MARICO","531642","Consumer Defensive","66366554.3","63171490","1.24","88999","13999","18.67","https://trendlyne.com/mutual-fund/holding-history/6131/840/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","64355028.3","61704707","1.21","81674","-80726","-49.71","https://trendlyne.com/mutual-fund/holding-history/6131/65394/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","55344400","60258000","1.18","166000","","","https://trendlyne.com/mutual-fund/holding-history/6131/629/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","54873000","56927500","1.11","35000","","","https://trendlyne.com/mutual-fund/holding-history/6131/1071/"
"NTPC Ltd","NTPC","532555","Utilities","55172555.2","54754830","1.07","163814","-36186","-18.09","https://trendlyne.com/mutual-fund/holding-history/6131/959/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","55073250","51684600","1.01","20500","20500","New","https://trendlyne.com/mutual-fund/holding-history/6131/560/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","49127250","51041500","1","155000","","","https://trendlyne.com/mutual-fund/holding-history/6131/215/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","50736000","50812000","0.99","40000","","","https://trendlyne.com/mutual-fund/holding-history/6131/346/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","51720286.5","50031736","0.98","67542","67542","New","https://trendlyne.com/mutual-fund/holding-history/6131/606/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","42923493.6","43698728","0.85","31386","-18669","-37.3","https://trendlyne.com/mutual-fund/holding-history/6131/913/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","36654633.6","36593779","0.72","25356","-7644","-23.16","https://trendlyne.com/mutual-fund/holding-history/6131/262/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","27145740","24750920","0.48","5800","5800","New","https://trendlyne.com/mutual-fund/holding-history/6131/53208/"
