"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","7592053730","7451073000","7.58","5221495","","","/mutual-fund/holding-history/11302/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","7185959475","7149931000","7.27","3714250","-79750","-2.1","/mutual-fund/holding-history/11302/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","6738034600","6500233000","6.61","4626500","","","/mutual-fund/holding-history/11302/1127/"
"Infosys Ltd","INFY","500209","Technology","4269199480","4028069000","4.1","2685200","40000","1.51","/mutual-fund/holding-history/11302/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","3468005200","3564551000","3.63","1911800","41800","2.24","/mutual-fund/holding-history/11302/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3834045432.8","3553568000","3.61","1063624","","","/mutual-fund/holding-history/11302/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3266026500","3201722000","3.26","2701875","","","/mutual-fund/holding-history/11302/140/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","3269411730","3053787000","3.11","1042675","35000","3.47","/mutual-fund/holding-history/11302/807/"
"State Bank of India","SBIN","500112","Financial Services","3045793217.3","3032527000","3.08","3845213","375000","10.81","/mutual-fund/holding-history/11302/1193/"
"ITC Ltd","ITC","500875","Consumer Defensive","2923242010","2856820000","2.91","6709300","380800","6.02","/mutual-fund/holding-history/11302/647/"
"NTPC Ltd","NTPC","532555","Utilities","2563471650","2649020000","2.69","7471500","","","/mutual-fund/holding-history/11302/959/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2232816300","2358170000","2.4","1287000","3500","0.27","/mutual-fund/holding-history/11302/1316/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","2226235000","2176867000","2.21","187000","","","/mutual-fund/holding-history/11302/1443/"
