"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","7650317215.5","7751649000","7.65","5361495","140000","2.68","/mutual-fund/holding-history/11302/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","7188559450","7223845000","7.13","3714250","","","/mutual-fund/holding-history/11302/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","6651981700","6573794000","6.48","4626500","","","/mutual-fund/holding-history/11302/1127/"
"Infosys Ltd","INFY","500209","Technology","4522607760","4352432000","4.29","2785200","100000","3.72","/mutual-fund/holding-history/11302/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3859572408.8","3908925000","3.86","1063624","","","/mutual-fund/holding-history/11302/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","3558433340","3548683000","3.5","1911800","","","/mutual-fund/holding-history/11302/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3283858875","3221175000","3.18","2701875","","","/mutual-fund/holding-history/11302/140/"
"State Bank of India","SBIN","500112","Financial Services","3047331302.5","3123467000","3.08","3845213","","","/mutual-fund/holding-history/11302/1193/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","3152632130","3103835000","3.06","1042675","","","/mutual-fund/holding-history/11302/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","2805829260","2804823000","2.77","6709300","","","/mutual-fund/holding-history/11302/647/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2611372350","2599441000","2.56","1549500","262500","20.4","/mutual-fund/holding-history/11302/1316/"
"NTPC Ltd","NTPC","532555","Utilities","2493239550","2494734000","2.46","7471500","","","/mutual-fund/holding-history/11302/959/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2153000000","2132000000","2.1","400000","","","/mutual-fund/holding-history/11302/1784/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","2149565000","2096270000","2.07","187000","","","/mutual-fund/holding-history/11302/1443/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","2068703000","2033867000","2.01","165100","-10000","-5.71","/mutual-fund/holding-history/11302/842/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2002012846.7","1983174000","1.96","572609","","","/mutual-fund/holding-history/11302/1372/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","1956035000","1851960000","1.83","115000","","","/mutual-fund/holding-history/11302/1263/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","186427500","1824624000","1.8","198750","","","/mutual-fund/holding-history/11302/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","1743285000","1690881000","1.67","815000","","","/mutual-fund/holding-history/11302/758/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","1547088240","1563202000","1.54","682800","-70200","-9.32","/mutual-fund/holding-history/11302/284/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1483631715.33","1549552000","1.53","9623349","","","/mutual-fund/holding-history/11302/1366/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","1510726070","1546018000","1.52","1017050","","","/mutual-fund/holding-history/11302/851/"
"Tech Mahindra Ltd","TECHM","532755","Technology","1583583068.6","1471398000","1.45","934874","","","/mutual-fund/holding-history/11302/1374/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","1340889616.8","1352931000","1.33","576132","-230000","-28.53","/mutual-fund/holding-history/11302/560/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","1398092258.75","1322000000","1.3","2067725","","","/mutual-fund/holding-history/11302/1288/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1313060000","1321360000","1.3","4150000","","","/mutual-fund/holding-history/11302/215/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","1391406061.2","1315035000","1.3","5518168","","","/mutual-fund/holding-history/11302/589490/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","1305775550","1240297000","1.22","757850","158900","26.53","/mutual-fund/holding-history/11302/531/"
