"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","8257711175","8234671000","7.83","4114250","400000","10.77","/mutual-fund/holding-history/11302/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","7900699032","7751649000","7.37","5361495","","","/mutual-fund/holding-history/11302/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","6624619200","7036313000","6.69","4689000","62500","1.35","/mutual-fund/holding-history/11302/1127/"
"Infosys Ltd","INFY","500209","Technology","4375270680","4461333000","4.24","2785200","","","/mutual-fund/holding-history/11302/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","3735993240","3937409000","3.74","1959300","47500","2.48","/mutual-fund/holding-history/11302/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3685031710.4","3903287000","3.71","1063624","","","/mutual-fund/holding-history/11302/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","2966658750","3240089000","3.08","2701875","","","/mutual-fund/holding-history/11302/140/"
"State Bank of India","SBIN","500112","Financial Services","3133848595","3154420000","3","3845213","","","/mutual-fund/holding-history/11302/1193/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","3225198010","3151925000","3","990175","-52500","-5.04","/mutual-fund/holding-history/11302/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","2791068800","2794088000","2.66","6709300","","","/mutual-fund/holding-history/11302/647/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2600061000","2596497000","2.47","1549500","","","/mutual-fund/holding-history/11302/1316/"
"NTPC Ltd","NTPC","532555","Utilities","2546660775","2502205000","2.38","7471500","","","/mutual-fund/holding-history/11302/959/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2386337600","2397772000","2.28","401200","1200","0.3","/mutual-fund/holding-history/11302/1784/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","2328524000","2261391000","2.15","187000","","","/mutual-fund/holding-history/11302/1443/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","2162221821.5","2125789000","2.02","2269930","1872430","471.05","/mutual-fund/holding-history/11302/150/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","2062429200","2047240000","1.95","165100","","","/mutual-fund/holding-history/11302/842/"
