"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","319788000","678115000","9.57","336000","12000","3.7","https://trendlyne.com/mutual-fund/holding-history/138541/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","614915652","647846000","9.14","437320","20000","4.79","https://trendlyne.com/mutual-fund/holding-history/138541/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","475755000","479619000","6.77","345000","-19500","-5.35","https://trendlyne.com/mutual-fund/holding-history/138541/1127/"
"Infosys Ltd","INFY","500209","Technology","397082400","398376000","5.62","264000","10000","3.94","https://trendlyne.com/mutual-fund/holding-history/138541/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","302164220","304382000","4.29","83702","","","https://trendlyne.com/mutual-fund/holding-history/138541/800/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","281203200","280512000","3.96","144000","17000","13.39","https://trendlyne.com/mutual-fund/holding-history/138541/147/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","257910400","260345000","3.67","136000","-16000","-10.53","https://trendlyne.com/mutual-fund/holding-history/138541/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","253077100","255348000","3.6","239000","","","https://trendlyne.com/mutual-fund/holding-history/138541/140/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","263277000","247078000","3.49","98000","15000","18.07","https://trendlyne.com/mutual-fund/holding-history/138541/560/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","252068119.6","242886000","3.43","79981","","","https://trendlyne.com/mutual-fund/holding-history/138541/1372/"
"State Bank of India","SBIN","500112","Financial Services","243087600","239762000","3.38","301000","25000","9.06","https://trendlyne.com/mutual-fund/holding-history/138541/1193/"
"ITC Ltd","ITC","500875","Consumer Defensive","172571250","175079000","2.47","425000","","","https://trendlyne.com/mutual-fund/holding-history/138541/647/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","177976480","174122000","2.46","63400","","","https://trendlyne.com/mutual-fund/holding-history/138541/490/"
"Havells India Ltd","HAVELLS","517354","Industrials","176363200","166867000","2.35","111200","","","https://trendlyne.com/mutual-fund/holding-history/138541/525/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","141416300","150773000","2.13","239000","22000","10.14","https://trendlyne.com/mutual-fund/holding-history/138541/1288/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","141088850","142881000","2.02","491000","80000","19.46","https://trendlyne.com/mutual-fund/holding-history/138541/1057/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","134274150","132156000","1.86","22900","","","https://trendlyne.com/mutual-fund/holding-history/138541/220/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","123654600","113808000","1.61","34000","-1000","-2.86","https://trendlyne.com/mutual-fund/holding-history/138541/1403/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","110508876.3","111825000","1.58","181549","-15000","-7.63","https://trendlyne.com/mutual-fund/holding-history/138541/4714/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","117007500","106685000","1.5","25000","","","https://trendlyne.com/mutual-fund/holding-history/138541/53208/"
"Cipla Ltd","CIPLA","500087","Healthcare","101472000","99494000","1.4","64000","","","https://trendlyne.com/mutual-fund/holding-history/138541/268/"
"Tech Mahindra Ltd","TECHM","532755","Technology","98533500","95141000","1.34","65000","","","https://trendlyne.com/mutual-fund/holding-history/138541/1374/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","99515264.4","91406000","1.29","31851","3000","10.4","https://trendlyne.com/mutual-fund/holding-history/138541/1037/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","109399661.8","90549000","1.28","32318","","","https://trendlyne.com/mutual-fund/holding-history/138541/1430/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","87340000","86867000","1.23","550000","90000","19.57","https://trendlyne.com/mutual-fund/holding-history/138541/1366/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","76309344.8","77688000","1.1","55798","","","https://trendlyne.com/mutual-fund/holding-history/138541/913/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","71813280","76826000","1.08","2233","-467","-17.3","https://trendlyne.com/mutual-fund/holding-history/138541/18/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","80845000","76713000","1.08","190000","","","https://trendlyne.com/mutual-fund/holding-history/138541/2755533/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","71536530","75536000","1.07","94550","","","https://trendlyne.com/mutual-fund/holding-history/138541/625/"
"Devyani International Ltd","DEVYANI","543330","Consumer Cyclical","77965177.68","71977000","1.02","441304","31304","7.64","https://trendlyne.com/mutual-fund/holding-history/138541/616664/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","61040000","65955000","0.93","10000","","","https://trendlyne.com/mutual-fund/holding-history/138541/336/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","65790000","64062000","0.9","20000","","","https://trendlyne.com/mutual-fund/holding-history/138541/807/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","57934500","63447000","0.89","1300","-200","-13.33","https://trendlyne.com/mutual-fund/holding-history/138541/994/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","52564390","54731000","0.77","9260","-1740","-15.82","https://trendlyne.com/mutual-fund/holding-history/138541/1784/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","63585000","54685000","0.77","10000","","","https://trendlyne.com/mutual-fund/holding-history/138541/360/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","49112500","49465000","0.7","25000","","","https://trendlyne.com/mutual-fund/holding-history/138541/758/"
"Siemens Ltd","SIEMENS","500550","Industrials","50872000","48534000","0.68","16000","4000","33.33","https://trendlyne.com/mutual-fund/holding-history/138541/1237/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","37679400","47448000","0.67","180000","-135000","-42.86","https://trendlyne.com/mutual-fund/holding-history/138541/721/"
"PI Industries Ltd","PIIND","523642","Basic Materials","37599000","42509000","0.6","10000","","","https://trendlyne.com/mutual-fund/holding-history/138541/1038/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","39577700","40641000","0.57","62000","10000","19.23","https://trendlyne.com/mutual-fund/holding-history/138541/701/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","42012000","39954000","0.56","6000","-2250","-27.27","https://trendlyne.com/mutual-fund/holding-history/138541/683/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","36746258.8","38717000","0.55","20092","","","https://trendlyne.com/mutual-fund/holding-history/138541/61147/"
