"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Mar, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","41099219040","38836818000","10.28","21243200","-200365","-0.93","/mutual-fund/holding-history/9386/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","31644498316","29345158000","7.77","21763754","","","/mutual-fund/holding-history/9386/584/"
"Infosys Ltd","INFY","500209","Technology","20045443301","19802739000","5.24","12607990","240347","1.94","/mutual-fund/holding-history/9386/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","20742803215.2","18160635000","4.81","14242518","","","/mutual-fund/holding-history/9386/1127/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","17220366556.8","15698911000","4.16","14245836","-523149","-3.54","/mutual-fund/holding-history/9386/140/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","16155797822","15437960000","4.09","8906173","","","/mutual-fund/holding-history/9386/187/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","14474309112.9","14656594000","3.88","4064333","335301","8.99","/mutual-fund/holding-history/9386/1372/"
"Larsen & Toubro Ltd","LT","500510","Industrials","13902347421.6","13468851000","3.57","3856728","","","/mutual-fund/holding-history/9386/800/"
"ITC Ltd","ITC","500875","Consumer Defensive","10564661892","9935438000","2.63","24247560","","","/mutual-fund/holding-history/9386/647/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","9530120208.2","9814912000","2.6","4520501","-779025","-14.7","/mutual-fund/holding-history/9386/758/"
"State Bank of India","SBIN","500112","Financial Services","9820009847.7","9564623000","2.53","12397437","-273908","-2.16","/mutual-fund/holding-history/9386/1193/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","8178521702.4","6712271000","1.78","33278490","4640173","16.2","/mutual-fund/holding-history/9386/589490/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","6390739152","6105509000","1.62","11341152","","","/mutual-fund/holding-history/9386/71/"
