"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","35870048034.9","35690206000","9","18540367","","","/mutual-fund/holding-history/8906/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","30636942542.8","29555688000","7.45","21036077","2300000","12.28","/mutual-fund/holding-history/8906/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","24718000000","24259000000","6.11","17000000","","","/mutual-fund/holding-history/8906/584/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","19932021662.4","19539581000","4.92","16489098","","","/mutual-fund/holding-history/8906/140/"
"Larsen & Toubro Ltd","LT","500510","Industrials","15862586886.3","14702167000","3.71","4400529","200000","4.76","/mutual-fund/holding-history/8906/800/"
"State Bank of India","SBIN","500112","Financial Services","14020680112.4","13959613000","3.52","17700644","","","/mutual-fund/holding-history/8906/1193/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","14261202737","13432787000","3.39","1555711","","","/mutual-fund/holding-history/8906/150/"
"Infosys Ltd","INFY","500209","Technology","10812105410.6","10201421000","2.57","6800494","200000","3.03","/mutual-fund/holding-history/8906/630/"
"NTPC Ltd","NTPC","532555","Utilities","9826320869.6","10154247000","2.56","28639816","","","/mutual-fund/holding-history/8906/959/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","9130500000","8649000000","2.18","22500000","","","/mutual-fund/holding-history/8906/1364/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","8903250000","8634250000","2.18","2500000","","","/mutual-fund/holding-history/8906/1372/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","8661899559.6","8518953000","2.15","3637314","200000","5.82","/mutual-fund/holding-history/8906/560/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","9734265756","8189983000","2.06","5229540","","","/mutual-fund/holding-history/8906/67/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","8669328829.2","8097567000","2.04","2764807","493470","21.73","/mutual-fund/holding-history/8906/807/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","7620566885","7187787000","1.81","586423","","","/mutual-fund/holding-history/8906/842/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","6105612259","6079446000","1.53","3442885","","","/mutual-fund/holding-history/8906/60957/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","6395238481.92","6050703000","1.52","26022292","","","/mutual-fund/holding-history/8906/589490/"
