"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","37225348862.6","37108545000","8.47","18540367","","","/mutual-fund/holding-history/8906/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","29728184016.4","31566737000","7.2","21036077","","","/mutual-fund/holding-history/8906/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","24301200000","23855700000","5.44","16500000","-500000","-2.94","/mutual-fund/holding-history/8906/584/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","18103380694.2","19773726000","4.51","16489098","","","/mutual-fund/holding-history/8906/140/"
"Larsen & Toubro Ltd","LT","500510","Industrials","15247832985","16149061000","3.68","4400529","","","/mutual-fund/holding-history/8906/800/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","14844594362","14569234000","3.32","15557110","12445688","400","/mutual-fund/holding-history/8906/150/"
"State Bank of India","SBIN","500112","Financial Services","14430450021","14520723000","3.31","17700644","","","/mutual-fund/holding-history/8906/1193/"
"ITC Ltd","ITC","500875","Consumer Defensive","12803027945.4","12823042000","2.93","30791313","","","/mutual-fund/holding-history/8906/647/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","12783869340.7","12300417000","2.81","5209613","-19927","-0.38","/mutual-fund/holding-history/8906/67/"
"Infosys Ltd","INFY","500209","Technology","10703977556","10893031000","2.49","6800494","","","/mutual-fund/holding-history/8906/630/"
"NTPC Ltd","NTPC","532555","Utilities","10869667067.35","10689330000","2.44","31917977","3278161","11.45","/mutual-fund/holding-history/8906/959/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","9164000000","10039800000","2.29","2900000","200000","7.41","/mutual-fund/holding-history/8906/1372/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","9887056411.2","9145707000","2.09","3985752","348438","9.58","/mutual-fund/holding-history/8906/560/"
