"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","49721790000","49472500000","9.7","25700000","-1955000","-7.07","/mutual-fund/holding-history/8349/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","42166000000","41383000000","8.11","29000000","","","/mutual-fund/holding-history/8349/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","42235600000","40745000000","7.99","29000000","7000000","31.82","/mutual-fund/holding-history/8349/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","26674780000","24723400000","4.85","7400000","","","/mutual-fund/holding-history/8349/800/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","22209910190.2","23262358000","4.56","10535011","1335011","14.51","/mutual-fund/holding-history/8349/758/"
"Infosys Ltd","INFY","500209","Technology","21781630000","20551370000","4.03","13700000","","","/mutual-fund/holding-history/8349/630/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","16969260000","17146360000","3.36","3080000","","","/mutual-fund/holding-history/8349/360/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","16909371889.5","16716965000","3.28","3073593","","","/mutual-fund/holding-history/8349/220/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","17153772945","16627919000","3.26","2731710","","","/mutual-fund/holding-history/8349/336/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","16621000000","16293750000","3.19","13750000","2750000","25","/mutual-fund/holding-history/8349/140/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","16247829390.3","15756923000","3.09","4562331","","","/mutual-fund/holding-history/8349/1372/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","14874800000","15288900000","3","8200000","-223288","-2.65","/mutual-fund/holding-history/8349/187/"
"State Bank of India","SBIN","500112","Financial Services","15133862600","15067947000","2.95","19106000","1806000","10.44","/mutual-fund/holding-history/8349/1193/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","15162110000","14459955000","2.83","317000","","","/mutual-fund/holding-history/8349/994/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","14573700000","13429800000","2.63","9000000","-284982","-3.07","/mutual-fund/holding-history/8349/262/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","11322201363.3","11218868000","2.2","15085206","5977612","65.63","/mutual-fund/holding-history/8349/65394/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","10930626000","10750239000","2.11","4590000","","","/mutual-fund/holding-history/8349/560/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","9548777600","8654554000","1.7","64940000","","","/mutual-fund/holding-history/8349/878/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","8154030000","8611810000","1.69","4700000","","","/mutual-fund/holding-history/8349/1316/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","8694125000","8170250000","1.6","275000","","","/mutual-fund/holding-history/8349/1226/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","7221710398.5","6920233000","1.36","2807055","","","/mutual-fund/holding-history/8349/1436676/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","7234105367.75","6872153000","1.35","11001605","","","/mutual-fund/holding-history/8349/549/"
"ITC Ltd","ITC","500875","Consumer Defensive","6753350000","6599900000","1.29","15500000","-24500000","-61.25","/mutual-fund/holding-history/8349/647/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","6158859000","6173853000","1.21","1470000","","","/mutual-fund/holding-history/8349/53208/"
"DLF Ltd","DLF","532868","Real Estate","6443100000","6068700000","1.19","9000000","","","/mutual-fund/holding-history/8349/337/"
"Vedanta Ltd","VEDL","500295","Basic Materials","6016363796.8","5716364000","1.12","13636364","","","/mutual-fund/holding-history/8349/1289/"
"Thermax Ltd","THERMAX","500411","Industrials","5925735884.4","5691757000","1.12","1729334","","","/mutual-fund/holding-history/8349/1387/"
"GAIL (India) Ltd","GAIL","532155","Utilities","4886096458","4959802000","0.97","26229850","14894233","131.39","/mutual-fund/holding-history/8349/431/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","5428500000","4811500000","0.94","10000000","","","/mutual-fund/holding-history/8349/547977/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","5371638411","4566412000","0.9","1314870","","","/mutual-fund/holding-history/8349/406/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","4516266294","4507096000","0.88","7336365","-218163","-2.89","/mutual-fund/holding-history/8349/4714/"
"PI Industries Ltd","PIIND","523642","Basic Materials","4261645850","4115246000","0.81","1130500","","","/mutual-fund/holding-history/8349/1038/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","3821671264","3877252000","0.76","2066215","","","/mutual-fund/holding-history/8349/61147/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","3761240992.6","3580875000","0.7","1235381","","","/mutual-fund/holding-history/8349/67548/"
"Tech Mahindra Ltd","TECHM","532755","Technology","3452941800","3209506000","0.63","2135400","","","/mutual-fund/holding-history/8349/1374/"
"SKF India Ltd","SKFINDIA","500472","Industrials","3620903877.2","3075489000","0.6","791489","","","/mutual-fund/holding-history/8349/1251/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","2557047150.84","2457021000","0.48","44064228","","","/mutual-fund/holding-history/8349/856676/"
"Brainbees Solutions Ltd","FIRSTCRY","544226","Consumer Cyclical","2217157597.2","2096351000","0.41","6179369","","","/mutual-fund/holding-history/8349/2487439/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","2269742882.4","2071002000","0.41","2312289","","","/mutual-fund/holding-history/8349/677/"
