"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2488827630","2501044000","9.58","1285950","","","/mutual-fund/holding-history/14412/533/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","1495161000","1450215000","5.55","699000","","","/mutual-fund/holding-history/14412/758/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1294020000","1278810000","4.9","900000","","","/mutual-fund/holding-history/14412/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1234696570","1251051000","4.79","865300","","","/mutual-fund/holding-history/14412/584/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","1118168000","1096824000","4.2","920000","","","/mutual-fund/holding-history/14412/140/"
"Larsen & Toubro Ltd","LT","500510","Industrials","982593900.8","995158000","3.81","270784","","","/mutual-fund/holding-history/14412/800/"
"Infosys Ltd","INFY","500209","Technology","906080400","871987000","3.34","558000","","","/mutual-fund/holding-history/14412/630/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","882891200","869226000","3.33","292000","","","/mutual-fund/holding-history/14412/807/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","84420000","826245000","3.16","90000","10000","12.5","/mutual-fund/holding-history/14412/150/"
"State Bank of India","SBIN","500112","Financial Services","650642500","666898000","2.55","821000","","","/mutual-fund/holding-history/14412/1193/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","615134500","612324000","2.35","365000","","","/mutual-fund/holding-history/14412/1316/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","604922500","603265000","2.31","325000","","","/mutual-fund/holding-history/14412/187/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","577912500","582638000","2.23","750000","","","/mutual-fund/holding-history/14412/65394/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","570213000","575334000","2.2","245000","","","/mutual-fund/holding-history/14412/560/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","516469500","539417000","2.07","3350000","","","/mutual-fund/holding-history/14412/1366/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","536130000","535920000","2.05","3500000","","","/mutual-fund/holding-history/14412/878/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","532014000","526555000","2.02","530000","100000","23.26","/mutual-fund/holding-history/14412/699/"
"NTPC Ltd","NTPC","532555","Utilities","502218500","502520000","1.92","1505000","","","/mutual-fund/holding-history/14412/959/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","501200000","492760000","1.89","40000","40000","New","/mutual-fund/holding-history/14412/842/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","468125000","462840000","1.77","70000","","","/mutual-fund/holding-history/14412/336/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","438890414.75","441563000","1.69","797765","200000","33.46","/mutual-fund/holding-history/14412/71/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","426104569.9","422095000","1.62","121873","","","/mutual-fund/holding-history/14412/1372/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","417448830","414508000","1.59","14006","2017","16.82","/mutual-fund/holding-history/14412/1226/"
"Adani Energy Solutions Ltd","ADANIENSOL","539254","Utilities","396657680.1","397345000","1.52","458193","","","/mutual-fund/holding-history/14412/1759/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","412215591.2","392619000","1.5","212548","","","/mutual-fund/holding-history/14412/2710663/"
"SBI Cards and Payment Services Ltd Ordinary Shares","SBICARD","543066","Financial Services","428317220.1","391099000","1.5","424623","424623","New","/mutual-fund/holding-history/14412/188792/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","384866570.45","386333000","1.48","1333333","","","/mutual-fund/holding-history/14412/1057/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","356496000","364824000","1.4","240000","240000","New","/mutual-fund/holding-history/14412/851/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","343147000","351036000","1.34","245000","","","/mutual-fund/holding-history/14412/27/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","348570792.5","344162000","1.32","79865","","","/mutual-fund/holding-history/14412/540/"
"Tech Mahindra Ltd","TECHM","532755","Technology","338780000","314780000","1.21","200000","","","/mutual-fund/holding-history/14412/1374/"
"Westlife Foodworld Ltd","WESTLIFE","505533","Consumer Cyclical","316830131","303129000","1.16","452938","110875","32.41","/mutual-fund/holding-history/14412/2228/"
"Granules India Ltd","GRANULES","532482","Healthcare","274911578.4","282855000","1.08","533136","","","/mutual-fund/holding-history/14412/488/"
"Havells India Ltd","HAVELLS","517354","Industrials","287453960.4","282623000","1.08","185084","","","/mutual-fund/holding-history/14412/525/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","254450000","259830000","1","1000000","","","/mutual-fund/holding-history/14412/189/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","249520062.5","249152000","0.95","613750","","","/mutual-fund/holding-history/14412/1026/"
"DLF Ltd","DLF","532868","Real Estate","257700000","239355000","0.92","300000","","","/mutual-fund/holding-history/14412/337/"
"IDFC First Bank Ltd","IDFCFIRSTB","539437","Financial Services","243920460.5","233840000","0.9","3440345","","","/mutual-fund/holding-history/14412/1786/"
"Berger Paints India Ltd","BERGEPAINT","509480","Basic Materials","227649753.6","227130000","0.87","399666","","","/mutual-fund/holding-history/14412/178/"
"Cyient Ltd","CYIENT","532175","Industrials","210832000","215488000","0.83","160000","","","/mutual-fund/holding-history/14412/301/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","215300000","213200000","0.82","40000","","","/mutual-fund/holding-history/14412/1784/"
"Siemens Ltd","SIEMENS","500550","Industrials","188150508","187811000","0.72","57512","","","/mutual-fund/holding-history/14412/1237/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","186156224.1","182872000","0.7","476042","","","/mutual-fund/holding-history/14412/629/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","171450000","173385000","0.66","4500","","","/mutual-fund/holding-history/14412/569/"
"Siemens Engy Ind","","","","","110188000","0.42","52081","52081","New",""
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","11422792.7","10751000","0.04","4223","","","/mutual-fund/holding-history/14412/490/"
