"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","12553271929.5","12490334000","9.91","6488485","-65000","-0.99","/mutual-fund/holding-history/6550/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","10785385236","10585106000","8.4","7417734","","","/mutual-fund/holding-history/6550/584/"
"Infosys Ltd","INFY","500209","Technology","6922200424.1","6531224000","5.18","4353859","157358","3.75","/mutual-fund/holding-history/6550/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","6031119886","5818267000","4.61","4141115","349679","9.22","/mutual-fund/holding-history/6550/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","5356745628","5505872000","4.37","2953002","-219134","-6.91","/mutual-fund/holding-history/6550/187/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","5096381653.8","5337881000","4.23","2417409","223692","10.2","/mutual-fund/holding-history/6550/758/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","5172773094","4872293000","3.86","564282","152683","37.1","/mutual-fund/holding-history/6550/150/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","4555326739.6","4566417000","3.62","1087268","","","/mutual-fund/holding-history/6550/53208/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4349635919.2","4263996000","3.38","3598309","","","/mutual-fund/holding-history/6550/140/"
"ITC Ltd","ITC","500875","Consumer Defensive","3870060808.6","3782125000","3","8882398","692123","8.45","/mutual-fund/holding-history/6550/647/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3840977270.9","3559993000","2.82","1065547","","","/mutual-fund/holding-history/6550/800/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","3516356035","3316658000","2.63","270593","","","/mutual-fund/holding-history/6550/842/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","2692049472.95","2667480000","2.12","3586769","-390000","-9.81","/mutual-fund/holding-history/6550/65394/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2400456217.2","2535222000","2.01","1383628","","","/mutual-fund/holding-history/6550/1316/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","2301430094","2232361000","1.77","1771012","-158105","-8.2","/mutual-fund/holding-history/6550/476/"
"LTIMindtree Ltd","LTIM","540005","Technology","2237634214.2","2033145000","1.61","443289","","","/mutual-fund/holding-history/6550/4596/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2064122357.4","2001758000","1.59","579598","137182","31.01","/mutual-fund/holding-history/6550/1372/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","1810272313.4","1945312000","1.54","2320267","-803685","-25.73","/mutual-fund/holding-history/6550/625/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","1837456720","1833996000","1.45","1573165","","","/mutual-fund/holding-history/6550/1359/"
"NTPC Ltd","NTPC","532555","Utilities","1638639767.3","1693325000","1.34","4775983","","","/mutual-fund/holding-history/6550/959/"
"Polycab India Ltd","POLYCAB","542652","Industrials","1867397461.5","1691367000","1.34","306407","26295","9.39","/mutual-fund/holding-history/6550/139599/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1544194048","1566652000","1.24","834880","","","/mutual-fund/holding-history/6550/61147/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1575875987.4","1526399000","1.21","4923074","","","/mutual-fund/holding-history/6550/215/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1554635312.5","1467157000","1.16","279485","","","/mutual-fund/holding-history/6550/1784/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","1530900259.2","1429934000","1.13","488232","143159","41.49","/mutual-fund/holding-history/6550/807/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1383039960.26","1367267000","1.08","5593238","","","/mutual-fund/holding-history/6550/974/"
"Cipla Ltd","CIPLA","500087","Healthcare","1293549757.6","1336843000","1.06","862424","","","/mutual-fund/holding-history/6550/268/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","1375319557","1323020000","1.05","1117510","","","/mutual-fund/holding-history/6550/346/"
"Wipro Ltd","WIPRO","507685","Technology","1363825874.88","1295128000","1.03","5362848","","","/mutual-fund/holding-history/6550/1526/"
"Havells India Ltd","HAVELLS","517354","Industrials","1268209093.8","1287183000","1.02","803987","460655","134.17","/mutual-fund/holding-history/6550/525/"
"Bharat Electronics Ltd","BEL","500049","Industrials","1440133886.1","1243050000","0.99","3957499","","","/mutual-fund/holding-history/6550/175/"
"Astral Ltd","ASTRAL","532830","Industrials","1213604314.1","1200573000","0.95","892553","41827","4.92","/mutual-fund/holding-history/6550/122/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","1241412651.6","1172308000","0.93","747884","","","/mutual-fund/holding-history/6550/531/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","1226597990","1128766000","0.9","661025","","","/mutual-fund/holding-history/6550/2710663/"
"Vedanta Ltd","VEDL","500295","Basic Materials","1145462411.6","1088345000","0.86","2596243","-312454","-10.74","/mutual-fund/holding-history/6550/1289/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","1223489788.6","1075881000","0.85","1845106","","","/mutual-fund/holding-history/6550/696/"
"Coal India Ltd","COALINDIA","533278","Energy","1008603323.2","960017000","0.76","2491609","","","/mutual-fund/holding-history/6550/275/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","999228847.04","905653000","0.72","6795626","","","/mutual-fund/holding-history/6550/878/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","814544285.5","864192000","0.69","1207985","","","/mutual-fund/holding-history/6550/701/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","900478648.32","851967000","0.68","3664057","300000","8.92","/mutual-fund/holding-history/6550/589490/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","802931855","828545000","0.66","486950","","","/mutual-fund/holding-history/6550/139598/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","775669068.2","794402000","0.63","2583841","","","/mutual-fund/holding-history/6550/1057/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","833603483.3","775334000","0.61","229409","","","/mutual-fund/holding-history/6550/1403/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","760574735","743709000","0.59","63887","-31000","-32.67","/mutual-fund/holding-history/6550/1443/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","781502757","724041000","0.57","139979","-6584","-4.49","/mutual-fund/holding-history/6550/1412/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","787245219.5","694105000","0.55","1077385","","","/mutual-fund/holding-history/6550/1362/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","763007092","693054000","0.55","647714","3376","0.52","/mutual-fund/holding-history/6550/750564/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","144282538.5","675724000","0.54","95583","-13992","-12.77","/mutual-fund/holding-history/6550/913/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","593775000","562100000","0.45","70000","","","/mutual-fund/holding-history/6550/144/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","503785524.05","524574000","0.42","1004257","","","/mutual-fund/holding-history/6550/4813/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","529036408.6","522281000","0.41","195238","","","/mutual-fund/holding-history/6550/153/"
"Tech Mahindra Ltd","TECHM","532755","Technology","499462194","464250000","0.37","308882","","","/mutual-fund/holding-history/6550/1374/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","517992355.65","459118000","0.36","954209","","","/mutual-fund/holding-history/6550/547977/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","335910836.6","353832000","0.28","163811","-167243","-50.52","/mutual-fund/holding-history/6550/1437/"
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","500490","Financial Services","246971907","225535000","0.18","18837","-6","-0.03","/mutual-fund/holding-history/6550/149/"
