"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","12822328243.5","12786553000","9.78","6388485","","","/mutual-fund/holding-history/6550/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","10728210292.8","10525819000","8.05","7280273","","","/mutual-fund/holding-history/6550/584/"
"Infosys Ltd","INFY","500209","Technology","6839477103.1","6974011000","5.33","4353859","","","/mutual-fund/holding-history/6550/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","5630784213.6","5934353000","4.54","2953002","","","/mutual-fund/holding-history/6550/187/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","5375068191","5284501000","4.04","5642820","4514256","400","/mutual-fund/holding-history/6550/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","5222086921.8","5230064000","4","2417409","","","/mutual-fund/holding-history/6550/758/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","4385278024.4","4753862000","3.64","1087268","","","/mutual-fund/holding-history/6550/53208/"
"Larsen & Toubro Ltd","LT","500510","Industrials","4344431705.4","4601742000","3.52","1253949","188402","17.68","/mutual-fund/holding-history/6550/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3950943282","4315092000","3.3","3598309","","","/mutual-fund/holding-history/6550/140/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","4050274377.6","4301983000","3.29","2866842","-1274273","-30.77","/mutual-fund/holding-history/6550/1127/"
"ITC Ltd","ITC","500875","Consumer Defensive","3761703296","3765772000","2.88","9042556","","","/mutual-fund/holding-history/6550/647/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","3180388248","3156966000","2.41","254594","","","/mutual-fund/holding-history/6550/842/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2226247840.8","2439318000","1.87","704598","125000","21.57","/mutual-fund/holding-history/6550/1372/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","2266665911.3","2418114000","1.85","2969561","","","/mutual-fund/holding-history/6550/65394/"
"LTIMindtree Ltd","LTIM","540005","Technology","2294242219.5","2356968000","1.8","443289","","","/mutual-fund/holding-history/6550/4596/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2321727784","2318545000","1.77","1383628","","","/mutual-fund/holding-history/6550/1316/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","2170895216","2059065000","1.57","1747340","","","/mutual-fund/holding-history/6550/476/"
"State Bank of India","SBIN","500112","Financial Services","2026114450","2039415000","1.56","2486030","2486030","New","/mutual-fund/holding-history/6550/1193/"
"Polycab India Ltd","POLYCAB","542652","Industrials","2132745923.5","2007272000","1.54","306407","","","/mutual-fund/holding-history/6550/139599/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","1802810678.4","1826243000","1.4","1661883","88718","5.64","/mutual-fund/holding-history/6550/1359/"
"NTPC Ltd","NTPC","532555","Utilities","1792975981.8","1761677000","1.35","5260308","","","/mutual-fund/holding-history/6550/959/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","1632864848.4","1735283000","1.33","470241","","","/mutual-fund/holding-history/6550/1403/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1638285024","1703322000","1.3","834880","","","/mutual-fund/holding-history/6550/61147/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1675568235.9","1634214000","1.25","4923074","","","/mutual-fund/holding-history/6550/215/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","1385712400","1434101000","1.1","1117510","","","/mutual-fund/holding-history/6550/346/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","1621124129.6","1428352000","1.09","5407352","1743295","47.58","/mutual-fund/holding-history/6550/589490/"
"Wipro Ltd","WIPRO","507685","Technology","1392731625.6","1426410000","1.09","5362848","","","/mutual-fund/holding-history/6550/1526/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1361086788","1367608000","1.05","228831","-72000","-23.93","/mutual-fund/holding-history/6550/1784/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1378229775.58","1365925000","1.04","5593238","","","/mutual-fund/holding-history/6550/974/"
"Astral Ltd","ASTRAL","532830","Industrials","1316515675","1344899000","1.03","892553","","","/mutual-fund/holding-history/6550/122/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","1271093523.4","1300984000","1","1845106","","","/mutual-fund/holding-history/6550/696/"
"Cipla Ltd","CIPLA","500087","Healthcare","1262933705.6","1298724000","0.99","862424","","","/mutual-fund/holding-history/6550/268/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","1136858468.4","1292792000","0.99","747884","","","/mutual-fund/holding-history/6550/531/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1177379325","1247976000","0.95","1778250","430265","31.92","/mutual-fund/holding-history/6550/701/"
"Havells India Ltd","HAVELLS","517354","Industrials","1269173878.2","1247064000","0.95","803987","","","/mutual-fund/holding-history/6550/525/"
"Vedanta Ltd","VEDL","500295","Basic Materials","1169867095.8","1196479000","0.92","2596243","","","/mutual-fund/holding-history/6550/1289/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","1278529387.5","1186923000","0.91","228615","","","/mutual-fund/holding-history/6550/94155/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","1028746160","1064006000","0.81","1220050","-320000","-20.78","/mutual-fund/holding-history/6550/625/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","1069117270.4","1044828000","0.8","328232","-160000","-32.77","/mutual-fund/holding-history/6550/807/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","954572010","963893000","0.74","115078","35923","45.38","/mutual-fund/holding-history/6550/144/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","750357429.5","870319000","0.67","139979","","","/mutual-fund/holding-history/6550/1412/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","964940120","830834000","0.64","486950","","","/mutual-fund/holding-history/6550/139598/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","769467849.8","774894000","0.59","2583841","","","/mutual-fund/holding-history/6550/1057/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","795520924","772585000","0.59","63887","","","/mutual-fund/holding-history/6550/1443/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","794990715.2","748219000","0.57","650512","2798","0.43","/mutual-fund/holding-history/6550/750564/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","725511059","741241000","0.57","1077385","","","/mutual-fund/holding-history/6550/1362/"
