"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","5832172750.25","12368508000","9.72","6128485","-260000","-4.07","https://trendlyne.com/mutual-fund/holding-history/6550/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","10229511592.3","10784996000","8.48","7280273","","","https://trendlyne.com/mutual-fund/holding-history/6550/584/"
"Infosys Ltd","INFY","500209","Technology","6552557795","6569973000","5.17","4353859","","","https://trendlyne.com/mutual-fund/holding-history/6550/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","5598596491.8","5652932000","4.44","2953002","","","https://trendlyne.com/mutual-fund/holding-history/6550/187/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","5032831158","4972453000","3.91","5642820","","","https://trendlyne.com/mutual-fund/holding-history/6550/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","4878926648.6","4911694000","3.86","2482409","65000","2.69","https://trendlyne.com/mutual-fund/holding-history/6550/758/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","5088522966.8","4639807000","3.65","1087268","","","https://trendlyne.com/mutual-fund/holding-history/6550/53208/"
"Larsen & Toubro Ltd","LT","500510","Industrials","4521740094","4559986000","3.58","1253949","","","https://trendlyne.com/mutual-fund/holding-history/6550/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3965783522.4","4003253000","3.15","3746961","148652","4.13","https://trendlyne.com/mutual-fund/holding-history/6550/140/"
"ITC Ltd","ITC","500875","Consumer Defensive","3673086247.2","3725081000","2.93","9042556","","","https://trendlyne.com/mutual-fund/holding-history/6550/647/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","3329441539.2","3359894000","2.64","2416842","-450000","-15.7","https://trendlyne.com/mutual-fund/holding-history/6550/1127/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","3799306262","3209921000","2.52","254594","","","https://trendlyne.com/mutual-fund/holding-history/6550/842/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","2527814020.4","2404392000","1.89","7811539","2404187","44.46","https://trendlyne.com/mutual-fund/holding-history/6550/589490/"
"LTIMindtree Ltd","LTIM","540005","Technology","2319288048","2263434000","1.78","443289","","","https://trendlyne.com/mutual-fund/holding-history/6550/4596/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","2338826243.6","2243503000","1.76","2969561","","","https://trendlyne.com/mutual-fund/holding-history/6550/65394/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","2231178446","2199901000","1.73","1747340","","","https://trendlyne.com/mutual-fund/holding-history/6550/476/"
"State Bank of India","SBIN","500112","Financial Services","2203193846.4","2169825000","1.71","2724028","237998","9.57","https://trendlyne.com/mutual-fund/holding-history/6550/1193/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","2219131401","2139723000","1.68","704598","","","https://trendlyne.com/mutual-fund/holding-history/6550/1372/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","1944094153.6","2122288000","1.67","1243504","-140124","-10.13","https://trendlyne.com/mutual-fund/holding-history/6550/1316/"
"Polycab India Ltd","POLYCAB","542652","Industrials","2194333730.5","2090002000","1.64","306407","","","https://trendlyne.com/mutual-fund/holding-history/6550/139599/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","1957145736","1923451000","1.51","1792258","130375","7.85","https://trendlyne.com/mutual-fund/holding-history/6550/1359/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","1912449367.3","1759197000","1.38","525557","55316","11.76","https://trendlyne.com/mutual-fund/holding-history/6550/1403/"
"NTPC Ltd","NTPC","532555","Utilities","1770356657.4","1758258000","1.38","5260308","","","https://trendlyne.com/mutual-fund/holding-history/6550/959/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1560614458","1621168000","1.27","4923074","","","https://trendlyne.com/mutual-fund/holding-history/6550/215/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1526995520","1608814000","1.26","834880","","","https://trendlyne.com/mutual-fund/holding-history/6550/61147/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","1416667427","1419573000","1.12","1117510","","","https://trendlyne.com/mutual-fund/holding-history/6550/346/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","1297014108","1352506000","1.06","228831","","","https://trendlyne.com/mutual-fund/holding-history/6550/1784/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","1353731393.14","1347970000","1.06","5593238","","","https://trendlyne.com/mutual-fund/holding-history/6550/974/"
"Cipla Ltd","CIPLA","500087","Healthcare","1367631979.2","1340724000","1.05","862424","","","https://trendlyne.com/mutual-fund/holding-history/6550/268/"
"Wipro Ltd","WIPRO","507685","Technology","1353368321.28","1331595000","1.05","5362848","","","https://trendlyne.com/mutual-fund/holding-history/6550/1526/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","1271785245","1291675000","1.02","228615","","","https://trendlyne.com/mutual-fund/holding-history/6550/94155/"
"Jindal Stainless Ltd","JSL","532508","Basic Materials","1404033410.7","1280688000","1.01","1845106","","","https://trendlyne.com/mutual-fund/holding-history/6550/696/"
"Astral Ltd","ASTRAL","532830","Industrials","1272423556.8","1250645000","0.98","892553","","","https://trendlyne.com/mutual-fund/holding-history/6550/122/"
"Havells India Ltd","HAVELLS","517354","Industrials","1275444976.8","1206463000","0.95","803987","","","https://trendlyne.com/mutual-fund/holding-history/6550/525/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","1134701325","1165643000","0.92","1778250","","","https://trendlyne.com/mutual-fund/holding-history/6550/701/"
