"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","438857674.5","436657000","9.88","226835","","","/mutual-fund/holding-history/134712/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","363281900","356536000","8.06","249850","-29750","-10.64","/mutual-fund/holding-history/134712/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","319446776","308173000","6.97","219340","36000","19.64","/mutual-fund/holding-history/134712/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","212274280","218184000","4.93","117020","4100","3.63","/mutual-fund/holding-history/134712/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","204224278.5","189284000","4.28","56655","","","/mutual-fund/holding-history/134712/800/"
"Infosys Ltd","INFY","500209","Technology","199293965","188038000","4.25","125350","-11000","-8.07","/mutual-fund/holding-history/134712/630/"
"State Bank of India","SBIN","500112","Financial Services","160144401.7","159447000","3.61","202177","30000","17.42","/mutual-fund/holding-history/134712/1193/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","146029084","143154000","3.24","120805","7200","6.34","/mutual-fund/holding-history/134712/140/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","130637970","137972000","3.12","75300","17000","29.16","/mutual-fund/holding-history/134712/1316/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","119113300","124758000","2.82","56500","","","/mutual-fund/holding-history/134712/758/"
"NTPC Ltd","NTPC","532555","Utilities","117683300","121611000","2.75","343000","","","/mutual-fund/holding-history/134712/959/"
"ITC Ltd","ITC","500875","Consumer Defensive","122343688.6","119564000","2.7","280798","76000","37.11","/mutual-fund/holding-history/134712/647/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","112696250","106355000","2.41","20260","","","/mutual-fund/holding-history/134712/1784/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","106689425.4","103466000","2.34","29958","9000","42.94","/mutual-fund/holding-history/134712/1372/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","109087300","102751000","2.32","11900","","","/mutual-fund/holding-history/134712/150/"
"Bharat Electronics Ltd","BEL","500049","Industrials","108442200","93602000","2.12","298000","","","/mutual-fund/holding-history/134712/175/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","91089180","85082000","1.92","29050","","","/mutual-fund/holding-history/134712/807/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","82261425","77354000","1.75","28950","","","/mutual-fund/holding-history/134712/1430/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","76192000","74502000","1.68","6400","","","/mutual-fund/holding-history/134712/1443/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","74346800","69897000","1.58","268400","268400","New","/mutual-fund/holding-history/134712/1564869/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","73330785","69166000","1.56","5643","-2800","-33.16","/mutual-fund/holding-history/134712/842/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","70759320","63683000","1.44","101600","25000","32.64","/mutual-fund/holding-history/134712/293/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","67614800","62149000","1.41","101600","-36500","-26.43","/mutual-fund/holding-history/134712/1288/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","59096690.1","60002000","1.36","38367","6000","18.54","/mutual-fund/holding-history/134712/851/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","60835335","57449000","1.3","36650","9850","36.75","/mutual-fund/holding-history/134712/531/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","57731520","55593000","1.26","42600","","","/mutual-fund/holding-history/134712/845/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","54090450","52661000","1.19","10300","","","/mutual-fund/holding-history/134712/683/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","52932775","50284000","1.14","80500","","","/mutual-fund/holding-history/134712/549/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","53889840","49171000","1.11","54900","","","/mutual-fund/holding-history/134712/677/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","49459200","48542000","1.1","16000","4000","33.33","/mutual-fund/holding-history/134712/1037/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","9872130","46235000","1.05","6540","","","/mutual-fund/holding-history/134712/913/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","47096250","45653000","1.03","7500","","","/mutual-fund/holding-history/134712/336/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","41132300","43639000","0.99","61000","","","/mutual-fund/holding-history/134712/701/"
"SRF Ltd","SRF","503806","Industrials","42266050","43629000","0.99","14500","3500","31.82","/mutual-fund/holding-history/134712/1283/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","44014060","43512000","0.98","178000","","","/mutual-fund/holding-history/134712/974/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","43572510.72","41225000","0.93","177297","","","/mutual-fund/holding-history/134712/589490/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","43331100","41211000","0.93","86000","-34000","-28.33","/mutual-fund/holding-history/134712/697/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","40731790","38327000","0.87","34900","","","/mutual-fund/holding-history/134712/276825/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","36401625","37416000","0.85","47500","","","/mutual-fund/holding-history/134712/606/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","36197280","35600000","0.81","15200","5900","63.44","/mutual-fund/holding-history/134712/560/"
"BSE Ltd","BSE","","Financial Services","38578700","33703000","0.76","5300","1300","32.5","/mutual-fund/holding-history/134712/52884/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","33553240","32880000","0.74","26600","","","/mutual-fund/holding-history/134712/1500/"
"Coforge Ltd","COFORGE","532541","Technology","33704000","29220000","0.66","4000","","","/mutual-fund/holding-history/134712/942/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","22913867.05","23859000","0.54","45677","","","/mutual-fund/holding-history/134712/4813/"
