"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","207397842.75","439836000","9.71","217935","","","https://trendlyne.com/mutual-fund/holding-history/134712/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","332095385","350129000","7.73","236350","","","https://trendlyne.com/mutual-fund/holding-history/134712/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","302162784","304926000","6.74","219340","","","https://trendlyne.com/mutual-fund/holding-history/134712/1127/"
"Infosys Ltd","INFY","500209","Technology","188651750","189153000","4.18","125350","","","https://trendlyne.com/mutual-fund/holding-history/134712/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","167825068","169454000","3.74","88520","-12500","-12.37","https://trendlyne.com/mutual-fund/holding-history/134712/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","159691710","161042000","3.56","44285","","","https://trendlyne.com/mutual-fund/holding-history/134712/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","143736012","145094000","3.2","135805","","","https://trendlyne.com/mutual-fund/holding-history/134712/140/"
"State Bank of India","SBIN","500112","Financial Services","137496000","135414000","2.99","170000","-19177","-10.14","https://trendlyne.com/mutual-fund/holding-history/134712/1193/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","121998240","118675000","2.62","37050","8000","27.54","https://trendlyne.com/mutual-fund/holding-history/134712/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","114060147.6","115675000","2.55","280798","","","https://trendlyne.com/mutual-fund/holding-history/134712/647/"
"NTPC Ltd","NTPC","532555","Utilities","115436650","114648000","2.53","343000","","","https://trendlyne.com/mutual-fund/holding-history/134712/959/"
"Bharat Electronics Ltd","BEL","500049","Industrials","109459650","111482000","2.46","291000","","","https://trendlyne.com/mutual-fund/holding-history/134712/175/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","97087140","105986000","2.34","62100","","","https://trendlyne.com/mutual-fund/holding-history/134712/1316/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","96163640","100882000","2.23","306400","","","https://trendlyne.com/mutual-fund/holding-history/134712/1564869/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","96795950","97446000","2.15","49250","","","https://trendlyne.com/mutual-fund/holding-history/134712/758/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","98109000","96932000","2.14","110000","-9000","-7.56","https://trendlyne.com/mutual-fund/holding-history/134712/150/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","94352721","90976000","2.01","29958","","","https://trendlyne.com/mutual-fund/holding-history/134712/1372/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","92297450","82448000","1.82","124600","","","https://trendlyne.com/mutual-fund/holding-history/134712/293/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","94656589","79973000","1.77","6343","","","https://trendlyne.com/mutual-fund/holding-history/134712/842/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","84396960","77472000","1.71","51600","","","https://trendlyne.com/mutual-fund/holding-history/134712/845/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","71800000","74838000","1.65","20000","12000","150","https://trendlyne.com/mutual-fund/holding-history/134712/1409/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","78630000","74064000","1.64","12000","12000","New","https://trendlyne.com/mutual-fund/holding-history/134712/1124672/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","69881600","68685000","1.52","64000","64000","New","https://trendlyne.com/mutual-fund/holding-history/134712/1359/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","76033660","62900000","1.39","22450","","","https://trendlyne.com/mutual-fund/holding-history/134712/1430/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","56680000","59105000","1.31","10000","-4560","-31.32","https://trendlyne.com/mutual-fund/holding-history/134712/1784/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","58991309.2","56111000","1.24","182297","","","https://trendlyne.com/mutual-fund/holding-history/134712/589490/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","54848780","55831000","1.23","40100","","","https://trendlyne.com/mutual-fund/holding-history/134712/913/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","55916000","53272000","1.18","8000","-2300","-22.33","https://trendlyne.com/mutual-fund/holding-history/134712/683/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","50118400","45917000","1.01","16000","","","https://trendlyne.com/mutual-fund/holding-history/134712/1037/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","47574000","45471000","1","2700","700","35","https://trendlyne.com/mutual-fund/holding-history/134712/60393/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","44440000","45339000","1","10000","","","https://trendlyne.com/mutual-fund/holding-history/134712/80502/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","43851400","44294000","0.98","86000","","","https://trendlyne.com/mutual-fund/holding-history/134712/697/"
"SRF Ltd","SRF","503806","Industrials","42048550","44092000","0.97","14500","","","https://trendlyne.com/mutual-fund/holding-history/134712/1283/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","43959900","43749000","0.97","277000","","","https://trendlyne.com/mutual-fund/holding-history/134712/1366/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","55209000","43739000","0.97","42000","42000","New","https://trendlyne.com/mutual-fund/holding-history/134712/864/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","40532860","43485000","0.96","34900","","","https://trendlyne.com/mutual-fund/holding-history/134712/276825/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","39091200","42211000","0.93","6400","-1100","-14.67","https://trendlyne.com/mutual-fund/holding-history/134712/336/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","45122360","41507000","0.92","12400","","","https://trendlyne.com/mutual-fund/holding-history/134712/1403/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","40834800","38322000","0.85","15200","","","https://trendlyne.com/mutual-fund/holding-history/134712/560/"
"Coforge Ltd","COFORGE","532541","Technology","36731650","36275000","0.8","20750","","","https://trendlyne.com/mutual-fund/holding-history/134712/942/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","35767200","34297000","0.76","2800","","","https://trendlyne.com/mutual-fund/holding-history/134712/1443/"
