"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","24463496685.6","24680493000","8.27","12689852","","","/mutual-fund/holding-history/8177/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","23534634978.8","23896605000","8","16528292","","","/mutual-fund/holding-history/8177/584/"
"Infosys Ltd","INFY","500209","Technology","16422096232.1","15679605000","5.25","10033663","","","/mutual-fund/holding-history/8177/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","15428296802","15327973000","5.13","10787510","","","/mutual-fund/holding-history/8177/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","13339414519","13517808000","4.53","3678215","","","/mutual-fund/holding-history/8177/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","11018283699.5","11021252000","3.69","5937535","","","/mutual-fund/holding-history/8177/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","11073734501.5","10881156000","3.64","9126955","","","/mutual-fund/holding-history/8177/140/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","9777375934.7","9491004000","3.18","4574639","","","/mutual-fund/holding-history/8177/758/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","8105988969","8039283000","2.69","2700646","","","/mutual-fund/holding-history/8177/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","7251481972.8","7267127000","2.43","17383392","912248","5.54","/mutual-fund/holding-history/8177/647/"
"NTPC Ltd","NTPC","532555","Utilities","6763600037.65","6734355000","2.26","20168779","-700000","-3.35","/mutual-fund/holding-history/8177/959/"
"State Bank of India","SBIN","500112","Financial Services","6552225924","6717624000","2.25","8269880","-450000","-5.16","/mutual-fund/holding-history/8177/1193/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","621099925","6174345000","2.07","672550","-30000","-4.27","/mutual-fund/holding-history/8177/150/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","5700794288","5789136000","1.94","3450844","","","/mutual-fund/holding-history/8177/1316/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","4978314000","5012056000","1.68","2765730","","","/mutual-fund/holding-history/8177/60957/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","4865444073","4759581000","1.59","386361","","","/mutual-fund/holding-history/8177/842/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","4924916247.3","4749724000","1.59","19930863","1294222","6.94","/mutual-fund/holding-history/8177/589490/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","4856538903.3","4597797000","1.54","2809359","","","/mutual-fund/holding-history/8177/531/"
"Cipla Ltd","CIPLA","500087","Healthcare","4445652360.2","4333018000","1.45","2956279","","","/mutual-fund/holding-history/8177/268/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","4205842500","4219697000","1.41","791688","191322","31.87","/mutual-fund/holding-history/8177/1784/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","3581398491.3","3690798000","1.24","2997237","","","/mutual-fund/holding-history/8177/476/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","3498804650","3653474000","1.22","1027700","","","/mutual-fund/holding-history/8177/1403/"
