"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1725616195.2","1739299000","9.34","894287","-13680","-1.51","/mutual-fund/holding-history/9713/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1474990248","1498413000","8.05","1036390","-172338","-14.26","/mutual-fund/holding-history/9713/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1446957512","1436544000","7.71","1011010","-43063","-4.09","/mutual-fund/holding-history/9713/1127/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","868510951.5","852143000","4.58","714765","176795","32.86","/mutual-fund/holding-history/9713/140/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","737309567.9","726424000","3.9","209743","-21331","-9.23","/mutual-fund/holding-history/9713/1372/"
"NTPC Ltd","NTPC","532555","Utilities","601014270.4","598683000","3.21","1793002","-27429","-1.51","/mutual-fund/holding-history/9713/959/"
"Infosys Ltd","INFY","500209","Technology","595077072.6","567063000","3.05","362874","35305","10.78","/mutual-fund/holding-history/9713/630/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","506358350.4","501240000","2.69","168382","-20955","-11.07","/mutual-fund/holding-history/9713/807/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","494698138.1","500588000","2.69","1051766","-107879","-9.3","/mutual-fund/holding-history/9713/4813/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","482074576.2","490079000","2.63","292131","16945","6.16","/mutual-fund/holding-history/9713/1316/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","507103816","488768000","2.62","2050976","119318","6.18","/mutual-fund/holding-history/9713/589490/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","484384729.6","484750000","2.6","261152","-70287","-21.21","/mutual-fund/holding-history/9713/187/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","451940473.4","455121000","2.44","225598","-10770","-4.56","/mutual-fund/holding-history/9713/147/"
"ITC Ltd","ITC","500875","Consumer Defensive","440225936.4","440911000","2.37","1054686","-318657","-23.2","/mutual-fund/holding-history/9713/647/"
"Larsen & Toubro Ltd","LT","500510","Industrials","422135597.4","428289000","2.3","116538","8634","8","/mutual-fund/holding-history/9713/800/"
"State Bank of India","SBIN","500112","Financial Services","410721189.3","421089000","2.26","518391","-7930","-1.51","/mutual-fund/holding-history/9713/1193/"
"One97 Communications Ltd","PAYTM","543396","Technology","388230006.45","399583000","2.15","448743","-6864","-1.51","/mutual-fund/holding-history/9713/712312/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","316330500","308271000","1.66","137535","6520","4.98","/mutual-fund/holding-history/9713/67/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","292932806.4","301560000","1.62","188357","-30510","-13.94","/mutual-fund/holding-history/9713/262/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","293970859.8","295930000","1.59","163299","-2498","-1.51","/mutual-fund/holding-history/9713/60957/"
