"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","168783228","167937000","8.88","87240","","","/mutual-fund/holding-history/541121/533/"
"State Bank of India","SBIN","500112","Financial Services","96942742.7","96521000","5.1","122387","","","/mutual-fund/holding-history/541121/1193/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","96254800","94467000","5","66200","","","/mutual-fund/holding-history/541121/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","80102000","77275000","4.09","55000","","","/mutual-fund/holding-history/541121/1127/"
"NTPC Ltd","NTPC","532555","Utilities","63130400","65237000","3.45","184000","","","/mutual-fund/holding-history/541121/959/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","66595560","63950000","3.38","636000","","","/mutual-fund/holding-history/541121/2789016/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","69212000","63617000","3.36","104000","","","/mutual-fund/holding-history/541121/1288/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","66660100","58343000","3.09","13000","","","/mutual-fund/holding-history/541121/80502/"
"Coforge Ltd","COFORGE","532541","Technology","66472714","57629000","3.05","7889","","","/mutual-fund/holding-history/541121/942/"
"Vedanta Ltd","VEDL","500295","Basic Materials","59562000","56592000","2.99","135000","","","/mutual-fund/holding-history/541121/1289/"
"REC Ltd","RECLTD","532955","Financial Services","52228825","53983000","2.85","128500","","","/mutual-fund/holding-history/541121/1119/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","55381500","53276000","2.82","45000","","","/mutual-fund/holding-history/541121/346/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","47002800","47371000","2.5","46000","","","/mutual-fund/holding-history/541121/699/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","44638000","42284000","2.24","110000","20000","22.22","/mutual-fund/holding-history/541121/1364/"
"Baazar Style Retail Ltd","STYLEBAAZA","544243","Consumer Cyclical","36670028.5","40863000","2.16","128554","","","/mutual-fund/holding-history/541121/2586584/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","39176100","40122000","2.12","130500","","","/mutual-fund/holding-history/541121/1057/"
"Tech Mahindra Ltd","TECHM","532755","Technology","42344379","39359000","2.08","26187","","","/mutual-fund/holding-history/541121/1374/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","42538500","37822000","2","270000","","","/mutual-fund/holding-history/541121/1366/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","38599750","36969000","1.95","68500","8500","14.17","/mutual-fund/holding-history/541121/71/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","39755100","35922000","1.9","33000","","","/mutual-fund/holding-history/541121/100478/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","38056500.4","35021000","1.85","20509","","","/mutual-fund/holding-history/541121/2710663/"
"CarTrade Tech Ltd","CARTRADE","543333","Consumer Cyclical","33210000","34086000","1.8","20000","","","/mutual-fund/holding-history/541121/621767/"
"Infosys Ltd","INFY","500209","Technology","34977800","33002000","1.75","22000","","","/mutual-fund/holding-history/541121/630/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","31339440","30393000","1.61","8800","","","/mutual-fund/holding-history/541121/1372/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","31976560","29741000","1.57","8800","","","/mutual-fund/holding-history/541121/1403/"
"Larsen & Toubro Ltd","LT","500510","Industrials","31901595","29568000","1.56","8850","-650","-6.84","/mutual-fund/holding-history/541121/800/"
"Bharat Electronics Ltd","BEL","500049","Industrials","33296850","28740000","1.52","91500","15000","19.61","/mutual-fund/holding-history/541121/175/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","28999680","27437000","1.45","118000","","","/mutual-fund/holding-history/541121/589490/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","28368750","26772000","1.42","5100","5100","New","/mutual-fund/holding-history/541121/1784/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","26013528.4","26453000","1.4","7963","","","/mutual-fund/holding-history/541121/1409/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","29723650","26160000","1.38","60500","","","/mutual-fund/holding-history/541121/1373/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","25138200","25199000","1.33","6000","","","/mutual-fund/holding-history/541121/53208/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","27241875","25000000","1.32","4350","","","/mutual-fund/holding-history/541121/1124672/"
"ITC Ltd","ITC","500875","Consumer Defensive","23963500","23419000","1.24","55000","","","/mutual-fund/holding-history/541121/647/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","23231540","23132000","1.22","13100","","","/mutual-fund/holding-history/541121/60957/"
"Polycab India Ltd","POLYCAB","542652","Industrials","24378000","22080000","1.17","4000","","","/mutual-fund/holding-history/541121/139599/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","23032200","20869000","1.1","92000","","","/mutual-fund/holding-history/541121/189/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","18563430","19606000","1.04","10700","","","/mutual-fund/holding-history/541121/1316/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","17769000","18745000","0.99","75000","75000","New","/mutual-fund/holding-history/541121/162/"
"Siemens Ltd","SIEMENS","500550","Industrials","18417000","17409000","0.92","6000","","","/mutual-fund/holding-history/541121/1237/"
"Deepak Nitrite Ltd","DEEPAKNTR","506401","Basic Materials","16887200","15485000","0.82","8000","-2000","-20","/mutual-fund/holding-history/541121/318/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","17381200","15310000","0.81","4000","","","/mutual-fund/holding-history/541121/540/"
"Siemens Engy Ind","","","","","14869000","0.79","6000","6000","New",""
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","13910400","13653000","0.72","4500","","","/mutual-fund/holding-history/541121/1037/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","16632127","13612000","0.72","18220","","","/mutual-fund/holding-history/541121/1434/"
"BSE Ltd","BSE","","Financial Services","12738250","11128000","0.59","1750","1750","New","/mutual-fund/holding-history/541121/52884/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","9977000","10255000","0.54","5500","","","/mutual-fund/holding-history/541121/187/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","13171914","9634000","0.51","29960","","","/mutual-fund/holding-history/541121/1690561/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","10049400","9311000","0.49","1800","","","/mutual-fund/holding-history/541121/1412/"
"DLF Ltd","DLF","532868","Real Estate","8590800","8092000","0.43","12000","","","/mutual-fund/holding-history/541121/337/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","1385000","1302000","0.07","5000","-110000","-95.65","/mutual-fund/holding-history/541121/1564869/"
