"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2141712900","2130975000","8.38","1107000","","","/mutual-fund/holding-history/11078/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1962900000","1926450000","7.58","1350000","","","/mutual-fund/holding-history/11078/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1572912000","1517400000","5.97","1080000","","","/mutual-fund/holding-history/11078/1127/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","1043559000","1093010000","4.3","495000","36000","7.84","/mutual-fund/holding-history/11078/758/"
"Larsen & Toubro Ltd","LT","500510","Industrials","973269000","902070000","3.55","270000","","","/mutual-fund/holding-history/11078/800/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","833344200","808166000","3.18","234000","-20700","-8.13","/mutual-fund/holding-history/11078/1372/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","734670000","755123000","2.97","405000","","","/mutual-fund/holding-history/11078/187/"
"Infosys Ltd","INFY","500209","Technology","772691400","729049000","2.87","486000","29700","6.51","/mutual-fund/holding-history/11078/630/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","782248500","719186000","2.83","49500","","","/mutual-fund/holding-history/11078/202203/"
"ITC Ltd","ITC","500875","Consumer Defensive","627408000","613152000","2.41","1440000","-135000","-8.57","/mutual-fund/holding-history/11078/647/"
"NTPC Ltd","NTPC","532555","Utilities","586701000","606281000","2.38","1710000","","","/mutual-fund/holding-history/11078/959/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","589297500","576230000","2.27","49500","","","/mutual-fund/holding-history/11078/1443/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","488767500","476658000","1.87","1170000","558000","91.18","/mutual-fund/holding-history/11078/1026/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","452124000","438264000","1.72","72000","","","/mutual-fund/holding-history/11078/336/"
"State Bank of India","SBIN","500112","Financial Services","427734000","425871000","1.67","540000","135000","33.33","/mutual-fund/holding-history/11078/1193/"
"Vedanta Ltd","VEDL","500295","Basic Materials","442744200","420667000","1.65","1003500","","","/mutual-fund/holding-history/11078/1289/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","390352500","412268000","1.62","225000","","","/mutual-fund/holding-history/11078/1316/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","402018300","408178000","1.61","261000","36000","16","/mutual-fund/holding-history/11078/851/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","427342500","397643000","1.56","13500","-1325","-8.94","/mutual-fund/holding-history/11078/214/"
"Nestle India Ltd","NESTLEIND","500790","Consumer Defensive","390225600","386888000","1.52","162000","54000","50","/mutual-fund/holding-history/11078/930/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","401976000","372420000","1.46","72000","-9000","-11.11","/mutual-fund/holding-history/11078/1412/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","400809600","368842000","1.45","216000","","","/mutual-fund/holding-history/11078/2710663/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","379513800","357468000","1.41","41400","5400","15","/mutual-fund/holding-history/11078/150/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","371523150","327243000","1.29","85500","18000","26.67","/mutual-fund/holding-history/11078/540/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","329443200","316159000","1.24","162000","","","/mutual-fund/holding-history/11078/147/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","355120200","313106000","1.23","486000","","","/mutual-fund/holding-history/11078/1362/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","328660200","310365000","1.22","198000","-18000","-8.33","/mutual-fund/holding-history/11078/531/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","310136400","298343000","1.17","252000","","","/mutual-fund/holding-history/11078/346/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","315778500","297845000","1.17","24300","","","/mutual-fund/holding-history/11078/842/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","309657600","292975000","1.15","1260000","","","/mutual-fund/holding-history/11078/589490/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","270891000","282069000","1.11","540000","","","/mutual-fund/holding-history/11078/4813/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","270303750","275535000","1.08","675000","","","/mutual-fund/holding-history/11078/629/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","277615800","271013000","1.07","99000","","","/mutual-fund/holding-history/11078/490/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","266342400","270216000","1.06","144000","9000","6.67","/mutual-fund/holding-history/11078/61147/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","297415800","269486000","1.06","1188000","","","/mutual-fund/holding-history/11078/189/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","270198000","267732000","1.05","360000","360000","New","/mutual-fund/holding-history/11078/65394/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","271980000","266625000","1.05","225000","45000","25","/mutual-fund/holding-history/11078/140/"
"Cipla Ltd","CIPLA","500087","Healthcare","256482900","265067000","1.04","171000","9000","5.56","/mutual-fund/holding-history/11078/268/"
"Oil India Ltd","OIL","533106","Energy","267057000","258773000","1.02","630000","","","/mutual-fund/holding-history/11078/965/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","257191200","252947000","0.99","108000","","","/mutual-fund/holding-history/11078/560/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","259281000","251141000","0.99","810000","","","/mutual-fund/holding-history/11078/215/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","271689750","249314000","0.98","76500","","","/mutual-fund/holding-history/11078/387/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","243162000","249035000","0.98","810000","","","/mutual-fund/holding-history/11078/1057/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","237393000","224874000","0.88","585000","","","/mutual-fund/holding-history/11078/1364/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","227097000","201942000","0.79","5850","","","/mutual-fund/holding-history/11078/569/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","215422200","201153000","0.79","37800","","","/mutual-fund/holding-history/11078/1023/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","194652000","192276000","0.76","720000","","","/mutual-fund/holding-history/11078/755501/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","201217950","182570000","0.72","261000","","","/mutual-fund/holding-history/11078/2974675/"
"Bharat Electronics Ltd","BEL","500049","Industrials","186680700","161133000","0.63","513000","","","/mutual-fund/holding-history/11078/175/"
"NHPC Ltd","NHPC","533098","Utilities","155018880","148245000","0.58","1728000","1728000","New","/mutual-fund/holding-history/11078/938/"
"GMR Airports Ltd","GMRAIRPORT","532754","Industrials","118541538.71","113491000","0.45","1301653","","","/mutual-fund/holding-history/11078/472/"
