"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2136067200","2153004000","8.24","1107000","","","/mutual-fund/holding-history/11078/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1921320000","1951830000","7.47","1350000","","","/mutual-fund/holding-history/11078/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1545696000","1534572000","5.87","1080000","","","/mutual-fund/holding-history/11078/1127/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","1057716000","1026977000","3.93","495000","","","/mutual-fund/holding-history/11078/758/"
"Larsen & Toubro Ltd","LT","500510","Industrials","978021000","992277000","3.8","270000","","","/mutual-fund/holding-history/11078/800/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","889795800","920515000","3.52","47700","-1800","-3.64","/mutual-fund/holding-history/11078/202203/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","822580200","810436000","3.1","234000","","","/mutual-fund/holding-history/11078/1372/"
"Infosys Ltd","INFY","500209","Technology","796991400","759472000","2.91","486000","","","/mutual-fund/holding-history/11078/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","751194000","751761000","2.88","405000","","","/mutual-fund/holding-history/11078/187/"
"ITC Ltd","ITC","500875","Consumer Defensive","601056000","601992000","2.3","1440000","","","/mutual-fund/holding-history/11078/647/"
"NTPC Ltd","NTPC","532555","Utilities","573192000","570969000","2.18","1710000","","","/mutual-fund/holding-history/11078/959/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","563458500","554895000","2.12","49500","","","/mutual-fund/holding-history/11078/1443/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","470736000","476064000","1.82","72000","","","/mutual-fund/holding-history/11078/336/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","471627000","474962000","1.82","1170000","","","/mutual-fund/holding-history/11078/1026/"
"State Bank of India","SBIN","500112","Financial Services","427842000","438642000","1.68","540000","","","/mutual-fund/holding-history/11078/1193/"
"Vedanta Ltd","VEDL","500295","Basic Materials","460556325","437074000","1.67","1003500","","","/mutual-fund/holding-history/11078/1289/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","434902500","424103000","1.62","13500","","","/mutual-fund/holding-history/11078/214/"
