"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1053476550","2234147000","8.43","1107000","","","https://trendlyne.com/mutual-fund/holding-history/11078/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1960114500","2066553000","7.8","1395000","45000","3.33","https://trendlyne.com/mutual-fund/holding-history/11078/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1537401600","1551463000","5.85","1116000","36000","3.33","https://trendlyne.com/mutual-fund/holding-history/11078/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","1074975300","1085408000","4.1","567000","162000","40","https://trendlyne.com/mutual-fund/holding-history/11078/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","973620000","981855000","3.7","270000","","","https://trendlyne.com/mutual-fund/holding-history/11078/800/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","972873000","979407000","3.7","495000","","","https://trendlyne.com/mutual-fund/holding-history/11078/758/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","893025000","949489000","3.58","47250","","","https://trendlyne.com/mutual-fund/holding-history/11078/202203/"
"Infosys Ltd","INFY","500209","Technology","785610000","787698000","2.97","522000","-18000","-3.33","https://trendlyne.com/mutual-fund/holding-history/11078/630/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","651946500","628618000","2.37","207000","","","https://trendlyne.com/mutual-fund/holding-history/11078/1372/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","632313000","606326000","2.29","49500","","","https://trendlyne.com/mutual-fund/holding-history/11078/1443/"
"ITC Ltd","ITC","500875","Consumer Defensive","584928000","593208000","2.24","1440000","","","https://trendlyne.com/mutual-fund/holding-history/11078/647/"
"NTPC Ltd","NTPC","532555","Utilities","575500500","571568000","2.16","1710000","","","https://trendlyne.com/mutual-fund/holding-history/11078/959/"
"Bosch Ltd","BOSCHLTD","500530","Consumer Cyclical","558090000","545198000","2.06","13500","","","https://trendlyne.com/mutual-fund/holding-history/11078/214/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","461799000","479642000","1.81","1170000","","","https://trendlyne.com/mutual-fund/holding-history/11078/1026/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","439776000","474876000","1.79","72000","","","https://trendlyne.com/mutual-fund/holding-history/11078/336/"
"State Bank of India","SBIN","500112","Financial Services","473148000","465982000","1.76","585000","45000","8.33","https://trendlyne.com/mutual-fund/holding-history/11078/1193/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","527601600","464789000","1.75","216000","","","https://trendlyne.com/mutual-fund/holding-history/11078/2710663/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","433553400","434443000","1.64","342000","","","https://trendlyne.com/mutual-fund/holding-history/11078/346/"
"Vedanta Ltd","VEDL","500295","Basic Materials","436020750","427140000","1.61","1003500","","","https://trendlyne.com/mutual-fund/holding-history/11078/1289/"
"Cipla Ltd","CIPLA","500087","Healthcare","428166000","419742000","1.58","270000","99000","57.89","https://trendlyne.com/mutual-fund/holding-history/11078/268/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","436860000","415530000","1.57","1350000","90000","7.14","https://trendlyne.com/mutual-fund/holding-history/11078/589490/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","337694400","368647000","1.39","216000","","","https://trendlyne.com/mutual-fund/holding-history/11078/1316/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","369246600","364817000","1.38","414000","","","https://trendlyne.com/mutual-fund/holding-history/11078/150/"
"Nestle India Ltd","NESTLEIND","500790","Consumer Defensive","194626800","364127000","1.37","162000","","","https://trendlyne.com/mutual-fund/holding-history/11078/930/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","374274000","359613000","1.36","540000","","","https://trendlyne.com/mutual-fund/holding-history/11078/1362/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","368617500","338715000","1.28","67500","-4500","-6.25","https://trendlyne.com/mutual-fund/holding-history/11078/1412/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","316386000","315576000","1.19","162000","","","https://trendlyne.com/mutual-fund/holding-history/11078/147/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","383580000","306770000","1.16","72000","-13500","-15.79","https://trendlyne.com/mutual-fund/holding-history/11078/540/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","362628900","306374000","1.16","24300","","","https://trendlyne.com/mutual-fund/holding-history/11078/842/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","292090500","305721000","1.15","585000","45000","8.33","https://trendlyne.com/mutual-fund/holding-history/11078/4813/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","301275000","301545000","1.14","225000","-27700","-10.96","https://trendlyne.com/mutual-fund/holding-history/11078/851/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","256037760","283279000","1.07","1188000","","","https://trendlyne.com/mutual-fund/holding-history/11078/189/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","263376000","277488000","1.05","144000","","","https://trendlyne.com/mutual-fund/holding-history/11078/61147/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","271073250","274995000","1.04","945000","45000","5","https://trendlyne.com/mutual-fund/holding-history/11078/1057/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","290142000","272290000","1.03","108000","","","https://trendlyne.com/mutual-fund/holding-history/11078/560/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","283536000","271980000","1.03","360000","","","https://trendlyne.com/mutual-fund/holding-history/11078/65394/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","277784100","271894000","1.03","99000","","","https://trendlyne.com/mutual-fund/holding-history/11078/490/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","256770000","266733000","1.01","810000","","","https://trendlyne.com/mutual-fund/holding-history/11078/215/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","265212000","264222000","1","180000","-18000","-9.09","https://trendlyne.com/mutual-fund/holding-history/11078/531/"
"Tech Mahindra Ltd","TECHM","532755","Technology","272646000","263466000","0.99","180000","180000","New","https://trendlyne.com/mutual-fund/holding-history/11078/1374/"
"Oil India Ltd","OIL","533106","Energy","238212000","257400000","0.97","585000","","","https://trendlyne.com/mutual-fund/holding-history/11078/965/"
"Escorts Kubota Ltd","ESCORTS","500495","Industrials","281940750","256979000","0.97","76500","","","https://trendlyne.com/mutual-fund/holding-history/11078/387/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","244269000","248495000","0.94","135000","135000","New","https://trendlyne.com/mutual-fund/holding-history/11078/60957/"
"Bharat Electronics Ltd","BEL","500049","Industrials","243745200","248249000","0.94","648000","135000","26.32","https://trendlyne.com/mutual-fund/holding-history/11078/175/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","238140000","240390000","0.91","225000","","","https://trendlyne.com/mutual-fund/holding-history/11078/140/"
"Honeywell Automation India Ltd","HONAUT","517174","Industrials","224413200","230294000","0.87","5940","","","https://trendlyne.com/mutual-fund/holding-history/11078/569/"
"HDB Financial Services Ltd","HDBFS","544429","Financial Services","210289500","204809000","0.77","270000","270000","New","https://trendlyne.com/mutual-fund/holding-history/11078/3147463/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","217324800","202752000","0.76","288000","","","https://trendlyne.com/mutual-fund/holding-history/11078/2974675/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","205461900","195067000","0.74","37800","","","https://trendlyne.com/mutual-fund/holding-history/11078/1023/"
"Aegis Vopak Terminals Ltd","AEGISVOPAK","544407","Energy","197149561.9","193644000","0.73","807659","","","https://trendlyne.com/mutual-fund/holding-history/11078/3113228/"
"NHPC Ltd","NHPC","533098","Utilities","179482500","187313000","0.71","2250000","","","https://trendlyne.com/mutual-fund/holding-history/11078/938/"
"Punjab National Bank","PNB","532461","Financial Services","130888800","132779000","0.5","1260000","1260000","New","https://trendlyne.com/mutual-fund/holding-history/11078/1048/"
"GMR Airports Ltd","GMRAIRPORT","532754","Industrials","114389265.64","117227000","0.44","1301653","","","https://trendlyne.com/mutual-fund/holding-history/11078/472/"
"Yes Bank Ltd","YESBANK","532648","Financial Services","71136000","68112000","0.26","3600000","-3600000","-50","https://trendlyne.com/mutual-fund/holding-history/11078/1535/"
