"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","15238192483.2","15161793000","9.71","7876256","270000","3.55","/mutual-fund/holding-history/10926/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","13283162400","13036501000","8.35","9135600","","","/mutual-fund/holding-history/10926/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","8543970600","8242433000","5.28","5866500","250000","4.45","/mutual-fund/holding-history/10926/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","6095613224","6265309000","4.01","3360316","-125000","-3.59","/mutual-fund/holding-history/10926/187/"
"Infosys Ltd","INFY","500209","Technology","6421831865.8","6059117000","3.88","4039142","120000","3.06","/mutual-fund/holding-history/10926/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","5572837362.4","5165159000","3.31","1545992","60000","4.04","/mutual-fund/holding-history/10926/800/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","5241202434","4895533000","3.13","1671515","40000","2.45","/mutual-fund/holding-history/10926/807/"
"State Bank of India","SBIN","500112","Financial Services","4515603680","4495936000","2.88","5700800","-100000","-1.72","/mutual-fund/holding-history/10926/1193/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","4400707060","4303119000","2.75","369652","-10000","-2.63","/mutual-fund/holding-history/10926/1443/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","4500391978","4238970000","2.71","490934","","","/mutual-fund/holding-history/10926/150/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4290272960","4205802000","2.69","3549200","50000","1.43","/mutual-fund/holding-history/10926/140/"
"ITC Ltd","ITC","500875","Consumer Defensive","4008440000","3917360000","2.51","9200000","","","/mutual-fund/holding-history/10926/647/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","3693003996.6","3581425000","2.29","1036982","","","/mutual-fund/holding-history/10926/1372/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","3708518400","3508727000","2.25","15090000","","","/mutual-fund/holding-history/10926/589490/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","3180746750","3331471000","2.13","1508750","115000","8.25","/mutual-fund/holding-history/10926/758/"
"NTPC Ltd","NTPC","532555","Utilities","3053590000","3155495000","2.02","8900000","","","/mutual-fund/holding-history/10926/959/"
"Bharat Electronics Ltd","BEL","500049","Industrials","3566220000","3078180000","1.97","9800000","-1100000","-10.09","/mutual-fund/holding-history/10926/175/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2722925550","2875795000","1.84","1569500","","","/mutual-fund/holding-history/10926/1316/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","2657973216","2652967000","1.7","2275662","","","/mutual-fund/holding-history/10926/1359/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2446543250","2308877000","1.48","439828","","","/mutual-fund/holding-history/10926/1784/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2320212649.3","2223353000","1.42","901859","","","/mutual-fund/holding-history/10926/1436676/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","2333562140","2170443000","1.39","642200","","","/mutual-fund/holding-history/10926/1403/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","2145195083.4","2136002000","1.37","1209651","-100000","-7.64","/mutual-fund/holding-history/10926/60957/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2261957677.1","2128423000","1.36","1938101","85000","4.59","/mutual-fund/holding-history/10926/276825/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","2254099605.3","2077174000","1.33","1392021","-100000","-6.7","/mutual-fund/holding-history/10926/262/"
"Tech Mahindra Ltd","TECHM","532755","Technology","2150610000","1998990000","1.28","1330000","","","/mutual-fund/holding-history/10926/1374/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","2113636750","1993601000","1.28","162650","","","/mutual-fund/holding-history/10926/842/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","1917673500","1947056000","1.25","1245000","","","/mutual-fund/holding-history/10926/851/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","1869500559.95","1946643000","1.25","3726703","","","/mutual-fund/holding-history/10926/4813/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","1920836677.5","1818369000","1.16","226447","-15000","-6.21","/mutual-fund/holding-history/10926/144/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","1854108300","1750898000","1.12","1117000","-100000","-8.22","/mutual-fund/holding-history/10926/531/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1740204351","1612253000","1.03","311697","","","/mutual-fund/holding-history/10926/1412/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","1533234117.5","1486232000","0.95","244165","35000","16.73","/mutual-fund/holding-history/10926/336/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","1562330000","1479940000","0.95","3850000","","","/mutual-fund/holding-history/10926/1364/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","1483135920","1458660000","0.93","622800","","","/mutual-fund/holding-history/10926/560/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","1430619732","1287547000","0.82","2054160","138470","7.23","/mutual-fund/holding-history/10926/293/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","1382407691.5","1249266000","0.8","1397077","30000","2.19","/mutual-fund/holding-history/10926/864/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","1190587500","1161090000","0.74","2850000","","","/mutual-fund/holding-history/10926/1026/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","1100512000","1116518000","0.71","595000","-75000","-11.19","/mutual-fund/holding-history/10926/61147/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","1064221440","1044198000","0.67","34824","","","/mutual-fund/holding-history/10926/18/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","1066040000","966208000","0.62","7250000","","","/mutual-fund/holding-history/10926/878/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","950450203.8","952764000","0.61","226854","","","/mutual-fund/holding-history/10926/53208/"
"Cipla Ltd","CIPLA","500087","Healthcare","892440500","922310000","0.59","595000","-100000","-14.39","/mutual-fund/holding-history/10926/268/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","954461332.2","883320000","0.57","543481","","","/mutual-fund/holding-history/10926/710819/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","904788800","859518000","0.55","1376000","","","/mutual-fund/holding-history/10926/549/"
"PI Industries Ltd","PIIND","523642","Basic Materials","886576894.5","856120000","0.55","235185","","","/mutual-fund/holding-history/10926/1038/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","794485760","807910000","0.52","243200","","","/mutual-fund/holding-history/10926/1409/"
"SRF Ltd","SRF","503806","Industrials","723303286","746628000","0.48","248140","","","/mutual-fund/holding-history/10926/1283/"
"Oberoi Realty Ltd","OBEROIRLTY","533273","Real Estate","720766000","705888000","0.45","430000","","","/mutual-fund/holding-history/10926/962/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","740485000","658376000","0.42","4700000","4700000","New","/mutual-fund/holding-history/10926/1366/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","639337500","601200000","0.38","225000","110000","95.65","/mutual-fund/holding-history/10926/1430/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","675837935.85","599023000","0.38","1244981","","","/mutual-fund/holding-history/10926/547977/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","565314170.85","581063000","0.37","737671","270000","57.73","/mutual-fund/holding-history/10926/606/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","509198180","485617000","0.31","10646","","","/mutual-fund/holding-history/10926/994/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","477759688.74","458779000","0.29","4562694","","","/mutual-fund/holding-history/10926/2789016/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","307675000","295975000","0.19","250000","-50000","-16.67","/mutual-fund/holding-history/10926/346/"
"Coal India Ltd","COALINDIA","533278","Energy","201590400","191879000","0.12","498000","","","/mutual-fund/holding-history/10926/275/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","146140000","128850000","0.08","200000","","","/mutual-fund/holding-history/10926/1362/"
"ABB India Ltd","ABB","500002","Industrials","102862680","97605000","0.06","17674","-35000","-66.45","/mutual-fund/holding-history/10926/17/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","101385000","97215000","0.06","500000","","","/mutual-fund/holding-history/10926/2956218/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","10326489.5","48362000","0.03","6841","6841","New","/mutual-fund/holding-history/10926/913/"
