"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","15243705862.4","15318530000","9.56","7876256","","","/mutual-fund/holding-history/10926/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","13035587640","13208250000","8.24","9135600","","","/mutual-fund/holding-history/10926/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","8434853700","8335710000","5.2","5866500","","","/mutual-fund/holding-history/10926/1127/"
"Infosys Ltd","INFY","500209","Technology","7086493779.6","6819845000","4.25","4364142","325000","8.05","/mutual-fund/holding-history/10926/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","6114958670.8","6098204000","3.8","3285316","-75000","-2.23","/mutual-fund/holding-history/10926/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","5925638070.4","6001409000","3.74","1632992","87000","5.63","/mutual-fund/holding-history/10926/800/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","5053992754","4975766000","3.1","1671515","","","/mutual-fund/holding-history/10926/807/"
"State Bank of India","SBIN","500112","Financial Services","4517884000","4630760000","2.89","5700800","","","/mutual-fund/holding-history/10926/1193/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","460496092","4507020000","2.81","490934","","","/mutual-fund/holding-history/10926/150/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4313697680","4231356000","2.64","3549200","","","/mutual-fund/holding-history/10926/140/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","4249149740","4143799000","2.59","369652","","","/mutual-fund/holding-history/10926/1443/"
"ITC Ltd","ITC","500875","Consumer Defensive","3847440000","3846060000","2.4","9200000","","","/mutual-fund/holding-history/10926/647/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","3804943500","3596098000","2.24","15090000","","","/mutual-fund/holding-history/10926/589490/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","3538192666.6","3504898000","2.19","1011982","-25000","-2.41","/mutual-fund/holding-history/10926/1372/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","3334166250","3233939000","2.02","1558750","50000","3.31","/mutual-fund/holding-history/10926/758/"
"Bharat Electronics Ltd","BEL","500049","Industrials","3220703750","3067185000","1.91","7975000","-1825000","-18.62","/mutual-fund/holding-history/10926/175/"
"NTPC Ltd","NTPC","532555","Utilities","2969930000","2971710000","1.85","8900000","","","/mutual-fund/holding-history/10926/959/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2645078350","2632993000","1.64","1569500","","","/mutual-fund/holding-history/10926/1316/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","2465452210.8","2517565000","1.57","2275662","","","/mutual-fund/holding-history/10926/1359/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2367374210","2344283000","1.46","439828","","","/mutual-fund/holding-history/10926/1784/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","2207947820","2283021000","1.42","642200","","","/mutual-fund/holding-history/10926/1403/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","2180740098.6","2228626000","1.39","1392021","","","/mutual-fund/holding-history/10926/262/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","2137405830","2225517000","1.39","901859","","","/mutual-fund/holding-history/10926/1436676/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","2174710567.8","2192130000","1.37","1209651","","","/mutual-fund/holding-history/10926/60957/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","2416424326.8","2180751000","1.36","1938101","","","/mutual-fund/holding-history/10926/276825/"
"Tech Mahindra Ltd","TECHM","532755","Technology","2252887000","2093287000","1.31","1330000","","","/mutual-fund/holding-history/10926/1374/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","2038004500","2003685000","1.25","162650","","","/mutual-fund/holding-history/10926/842/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","1849323000","1892525000","1.18","1245000","","","/mutual-fund/holding-history/10926/851/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","1824297989.5","1840874000","1.15","213881","-12566","-5.55","/mutual-fund/holding-history/10926/144/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","1924591000","1828082000","1.14","1117000","","","/mutual-fund/holding-history/10926/531/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","1763289524.45","1773724000","1.11","3726703","","","/mutual-fund/holding-history/10926/4813/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1770283111.5","1759062000","1.1","311697","","","/mutual-fund/holding-history/10926/1412/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","1683009687.5","1664009000","1.04","251665","7500","3.07","/mutual-fund/holding-history/10926/336/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","1537690000","1512280000","0.94","3850000","","","/mutual-fund/holding-history/10926/1364/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","1449504720","1462521000","0.91","622800","","","/mutual-fund/holding-history/10926/560/"
