"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","16159675917.6","16114589000","9.7","8051256","175000","2.22","/mutual-fund/holding-history/10926/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","14162180160","13895005000","8.36","9610600","475000","5.2","/mutual-fund/holding-history/10926/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","8288191200","8803270000","5.3","5866500","","","/mutual-fund/holding-history/10926/1127/"
"Infosys Ltd","INFY","500209","Technology","7067702167.8","7206726000","4.34","4499142","135000","3.09","/mutual-fund/holding-history/10926/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","6264440548.8","6602171000","3.97","3285316","","","/mutual-fund/holding-history/10926/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","5744279083.2","6084499000","3.66","1657992","25000","1.53","/mutual-fund/holding-history/10926/800/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","5444458658","5320767000","3.2","1671515","","","/mutual-fund/holding-history/10926/807/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","4676391817","4597597000","2.77","4909340","3927472","400","/mutual-fund/holding-history/10926/150/"
"State Bank of India","SBIN","500112","Financial Services","4442402000","4471564000","2.69","5450800","-250000","-4.39","/mutual-fund/holding-history/10926/1193/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","4434804704","4306946000","2.59","356152","-13500","-3.65","/mutual-fund/holding-history/10926/1443/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","3897021600","4256201000","2.56","3549200","","","/mutual-fund/holding-history/10926/140/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","4523982000","3986024000","2.4","15090000","","","/mutual-fund/holding-history/10926/589490/"
"ITC Ltd","ITC","500875","Consumer Defensive","3827200000","3831340000","2.31","9200000","","","/mutual-fund/holding-history/10926/647/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","3197458327.2","3503482000","2.11","1011982","","","/mutual-fund/holding-history/10926/1372/"
