"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","983867526.6","996899000","7.84","689514","","","/mutual-fund/holding-history/10206/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","915159696.2","919652000","7.24","472853","20794","4.6","/mutual-fund/holding-history/10206/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","740448308.6","731745000","5.76","514987","27186","5.57","/mutual-fund/holding-history/10206/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","458827342.8","464694000","3.66","126444","","","/mutual-fund/holding-history/10206/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","441780884.4","433348000","3.41","363486","60067","19.8","/mutual-fund/holding-history/10206/140/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","37633498","368331000","2.9","40121","-10308","-20.44","/mutual-fund/holding-history/10206/150/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","366819420.1","365814000","2.88","197077","29555","17.64","/mutual-fund/holding-history/10206/187/"
"Nifty 26-Jun-2025","","","","","348819000","2.74","14025","14025","New",""
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","356323176","345612000","2.72","166584","8625","5.46","/mutual-fund/holding-history/10206/758/"
"ITC Ltd","ITC","500875","Consumer Defensive","333943155","333823000","2.63","798525","","","/mutual-fund/holding-history/10206/647/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","308891112.4","305984000","2.41","88348","-24529","-21.73","/mutual-fund/holding-history/10206/1372/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","289322192.2","288000000","2.27","171674","","","/mutual-fund/holding-history/10206/1316/"
"State Bank of India","SBIN","500112","Financial Services","265802915","272444000","2.14","335398","","","/mutual-fund/holding-history/10206/1193/"
"Infosys Ltd","INFY","500209","Technology","268506696.6","258403000","2.03","165357","-81301","-32.96","/mutual-fund/holding-history/10206/630/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","252664110.4","248753000","1.96","83564","","","/mutual-fund/holding-history/10206/807/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","254645630","246287000","1.94","35795","","","/mutual-fund/holding-history/10206/93/"
"Bharat Electronics Ltd","BEL","500049","Industrials","236293038.85","225030000","1.77","585101","154962","36.03","/mutual-fund/holding-history/10206/175/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","219087050","215398000","1.69","17485","","","/mutual-fund/holding-history/10206/842/"
"NTPC Ltd","NTPC","532555","Utilities","206402459.9","206526000","1.62","618527","-276700","-30.91","/mutual-fund/holding-history/10206/959/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","195661344.2","200232000","1.58","131723","","","/mutual-fund/holding-history/10206/851/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","198016709.55","199636000","1.57","256981","","","/mutual-fund/holding-history/10206/65394/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","204070735","199011000","1.57","17753","","","/mutual-fund/holding-history/10206/1443/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","183031758","189648000","1.49","61035","","","/mutual-fund/holding-history/10206/1037/"
"Lupin Ltd","LUPIN","500257","Healthcare","164256344.7","159911000","1.26","81683","","","/mutual-fund/holding-history/10206/804/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","160657689","152601000","1.2","93243","-49897","-34.86","/mutual-fund/holding-history/10206/531/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","152084819.7","149401000","1.18","388914","","","/mutual-fund/holding-history/10206/629/"
