"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","118548742.5","117954375","9.53","61275","","","/mutual-fund/holding-history/12890/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","120136750","117905875","9.52","82625","","","/mutual-fund/holding-history/12890/584/"
"State Bank of India","SBIN","500112","Financial Services","69688165.9","69384638","5.6","87979","","","/mutual-fund/holding-history/12890/1193/"
"Larsen & Toubro Ltd","LT","500510","Industrials","58435791.7","54160951","4.37","16211","3404","26.58","/mutual-fund/holding-history/12890/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","52005566","53453350","4.32","28669","","","/mutual-fund/holding-history/12890/187/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","44803521","41671701","3.37","12330","","","/mutual-fund/holding-history/12890/1403/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","43066566","40564881","3.28","4698","","","/mutual-fund/holding-history/12890/150/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","42697465.2","39881470","3.22","13617","-2188","-13.84","/mutual-fund/holding-history/12890/807/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","40469545.6","37293062","3.01","24992","","","/mutual-fund/holding-history/12890/262/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","34930659.8","34780963","2.81","19697","15814","407.26","/mutual-fund/holding-history/12890/60957/"
"Bharat Electronics Ltd","BEL","500049","Industrials","40117427.7","34627326","2.8","110243","25259","29.72","/mutual-fund/holding-history/12890/175/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","34968599.25","34102232","2.75","83707","","","/mutual-fund/holding-history/12890/1026/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","29309729.6","29804984","2.41","8972","1706","23.48","/mutual-fund/holding-history/12890/1409/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","28197621","28491906","2.3","5118","","","/mutual-fund/holding-history/12890/360/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","26634998.8","27897135","2.25","12634","","","/mutual-fund/holding-history/12890/758/"
"Coforge Ltd","COFORGE","532541","Technology","31580648","27379140","2.21","3748","2304","159.56","/mutual-fund/holding-history/12890/942/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","30145748.3","26384364","2.13","5879","4346","283.5","/mutual-fund/holding-history/12890/80502/"
"Mphasis Ltd","MPHASIS","526299","Technology","27254792.4","25877589","2.09","10481","10481","New","/mutual-fund/holding-history/12890/881/"
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","500490","Financial Services","27598655","25203165","2.04","2105","","","/mutual-fund/holding-history/12890/149/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","25054406","25115402","2.03","5980","3005","101.01","/mutual-fund/holding-history/12890/53208/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","25699317.3","24532780","1.98","50719","29451","138.48","/mutual-fund/holding-history/12890/1565404/"
"NTPC Ltd","NTPC","532555","Utilities","23019265.2","23787469","1.92","67092","30227","81.99","/mutual-fund/holding-history/12890/959/"
"Bank of Baroda","BANKBARODA","532134","Financial Services","22400075.24","23630132","1.91","94547","","","/mutual-fund/holding-history/12890/162/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","21031403.52","19898364","1.61","85577","36460","74.23","/mutual-fund/holding-history/12890/589490/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","18038198.5","17276337","1.4","32011","8271","34.84","/mutual-fund/holding-history/12890/71/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","17491270","16497922","1.33","1346","-848","-38.65","/mutual-fund/holding-history/12890/842/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","14905060","14574532","1.18","1252","","","/mutual-fund/holding-history/12890/1443/"
"Lupin Ltd","LUPIN","500257","Healthcare","12778575.2","12946617","1.05","6178","6178","New","/mutual-fund/holding-history/12890/804/"
"BSE Ltd","BSE","","Financial Services","14295956","12489076","1.01","1964","","","/mutual-fund/holding-history/12890/52884/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","14035341.75","12479027","1.01","89085","89085","New","/mutual-fund/holding-history/12890/1366/"
"Infosys Ltd","INFY","500209","Technology","13045129.5","12308320","0.99","8205","-17567","-68.16","/mutual-fund/holding-history/12890/630/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","12360963.2","11790069","0.95","4072","2087","105.14","/mutual-fund/holding-history/12890/297/"
"Cipla Ltd","CIPLA","500087","Healthcare","11117258.8","11489341","0.93","7412","","","/mutual-fund/holding-history/12890/268/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","13351822.2","11233635","0.91","7173","","","/mutual-fund/holding-history/12890/67/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","10916645.76","10482941","0.85","104256","","","/mutual-fund/holding-history/12890/2789016/"
