"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","117591900","119459225","9.35","82625","","","/mutual-fund/holding-history/12890/584/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","118236240","119173748","9.33","61275","","","/mutual-fund/holding-history/12890/533/"
"Larsen & Toubro Ltd","LT","500510","Industrials","58721105.3","59577046","4.67","16211","","","/mutual-fund/holding-history/12890/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","53175261.2","53215398","4.17","28669","","","/mutual-fund/holding-history/12890/187/"
"Infosys Ltd","INFY","500209","Technology","46253379.5","44075954","3.45","28205","20000","243.75","/mutual-fund/holding-history/12890/630/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","4336254","43129989","3.38","4698","","","/mutual-fund/holding-history/12890/150/"
"Bharat Electronics Ltd","BEL","500049","Industrials","44290125.25","42399458","3.32","110243","","","/mutual-fund/holding-history/12890/175/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","40949042.4","40535086","3.17","13617","","","/mutual-fund/holding-history/12890/807/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","38867558.4","40012192","3.13","24992","","","/mutual-fund/holding-history/12890/262/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","35180881","36723150","2.88","10330","-2000","-16.22","/mutual-fund/holding-history/12890/1403/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","35458539.4","35694903","2.8","19697","","","/mutual-fund/holding-history/12890/60957/"
"State Bank of India","SBIN","500112","Financial Services","31977228","32784428","2.57","40360","-47619","-54.13","/mutual-fund/holding-history/12890/1193/"
"Coforge Ltd","COFORGE","532541","Technology","6898194","32047274","2.51","3748","","","/mutual-fund/holding-history/12890/942/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","32324090.2","31714904","2.48","26602","26602","New","/mutual-fund/holding-history/12890/140/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","29673076.7","29242734","2.29","5879","","","/mutual-fund/holding-history/12890/80502/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","29207448.8","28483408","2.23","8972","","","/mutual-fund/holding-history/12890/1409/"
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","500490","Financial Services","29025845","28236470","2.21","2105","","","/mutual-fund/holding-history/12890/149/"
"Mphasis Ltd","MPHASIS","526299","Technology","28229525.4","26818783","2.1","10481","","","/mutual-fund/holding-history/12890/881/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","26790687","26399712","2.07","8078","4006","98.38","/mutual-fund/holding-history/12890/297/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","26996331.2","26211760","2.05","12634","","","/mutual-fund/holding-history/12890/758/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","26381487.85","25651134","2.01","50719","","","/mutual-fund/holding-history/12890/1565404/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","24273418","23932558","1.87","5980","","","/mutual-fund/holding-history/12890/53208/"
"NTPC Ltd","NTPC","532555","Utilities","22489238.4","22402019","1.75","67092","","","/mutual-fund/holding-history/12890/959/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","17634859.9","17718088","1.39","32011","","","/mutual-fund/holding-history/12890/71/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","16952870","16581374","1.3","1346","","","/mutual-fund/holding-history/12890/842/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","16497900","16077562","1.26","7173","","","/mutual-fund/holding-history/12890/67/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","13594371","14344467","1.12","89085","","","/mutual-fund/holding-history/12890/1366/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","14251516","14034920","1.1","1252","","","/mutual-fund/holding-history/12890/1443/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","14475823.25","13552138","1.06","40691","40691","New","/mutual-fund/holding-history/12890/2755533/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","13448638","13429753","1.05","2518","-2600","-50.8","/mutual-fund/holding-history/12890/360/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","13270356","13083035","1.02","3036","3036","New","/mutual-fund/holding-history/12890/540/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","13537579.2","12809668","1","7827","7827","New","/mutual-fund/holding-history/12890/531/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","12581258.7","12395509","0.97","3579","3579","New","/mutual-fund/holding-history/12890/1372/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","12422524.5","12199126","0.96","1773","1773","New","/mutual-fund/holding-history/12890/93/"
"Lupin Ltd","LUPIN","500257","Healthcare","12010032","12094671","0.95","6178","","","/mutual-fund/holding-history/12890/804/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","11178328.32","11599523","0.91","104256","","","/mutual-fund/holding-history/12890/2789016/"
"Cipla Ltd","CIPLA","500087","Healthcare","11143942","10863768","0.85","7412","","","/mutual-fund/holding-history/12890/268/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","9973145.6","9468747","0.74","5126","5126","New","/mutual-fund/holding-history/12890/2710663/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","9282754","9316840","0.73","1748","1748","New","/mutual-fund/holding-history/12890/1784/"
"REC Ltd","RECLTD","532955","Financial Services","9235931.85","9308820","0.73","23139","23139","New","/mutual-fund/holding-history/12890/1119/"
"Siemens Ltd","SIEMENS","500550","Industrials","7171334.4","7050430","0.55","2159","2159","New","/mutual-fund/holding-history/12890/1237/"
"ABB India Ltd","ABB","500002","Industrials","6975882","6902476","0.54","1156","1156","New","/mutual-fund/holding-history/12890/17/"
