"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","122985052.5","122641912","9.41","61275","","","/mutual-fund/holding-history/12890/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","121756200","119459225","9.17","82625","","","/mutual-fund/holding-history/12890/584/"
"Larsen & Toubro Ltd","LT","500510","Industrials","56164630.6","59491128","4.57","16211","","","/mutual-fund/holding-history/12890/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","54666049.2","57613222","4.42","28669","","","/mutual-fund/holding-history/12890/187/"
"Infosys Ltd","INFY","500209","Technology","44307234.5","45178769","3.47","28205","","","/mutual-fund/holding-history/12890/630/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","44750799","43996770","3.38","46980","37584","400","/mutual-fund/holding-history/12890/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","40752173","40814428","3.13","18865","6231","49.32","/mutual-fund/holding-history/12890/758/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","39122476.8","40686976","3.12","24992","","","/mutual-fund/holding-history/12890/262/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","35869892","38119766","2.93","10330","","","/mutual-fund/holding-history/12890/1403/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","35594448.7","36208995","2.78","19697","","","/mutual-fund/holding-history/12890/60957/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","34213628.8","33436333","2.57","10504","-3113","-22.86","/mutual-fund/holding-history/12890/807/"
"State Bank of India","SBIN","500112","Financial Services","32893400","33109326","2.54","40360","","","/mutual-fund/holding-history/12890/1193/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","29208996","31901118","2.45","26602","","","/mutual-fund/holding-history/12890/140/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","31433402","30578370","2.35","8972","","","/mutual-fund/holding-history/12890/1409/"
"Mphasis Ltd","MPHASIS","526299","Technology","29032370","29822637","2.29","10481","","","/mutual-fund/holding-history/12890/881/"
"Coforge Ltd","COFORGE","532541","Technology","26876180.8","27832119","2.14","14462","-4278","-22.83","/mutual-fund/holding-history/12890/942/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","28962861.2","27460353","2.11","8078","","","/mutual-fund/holding-history/12890/297/"
"Yatharth Hospital and Trauma Care Services Ltd","YATHARTH","543950","Healthcare","32556526.1","27147345","2.08","50719","","","/mutual-fund/holding-history/12890/1565404/"
"Bharat Electronics Ltd","BEL","500049","Industrials","25887888.2","27069573","2.08","64222","-46021","-41.75","/mutual-fund/holding-history/12890/175/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","25430400","27010800","2.07","18000","18000","New","/mutual-fund/holding-history/12890/1127/"
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","500490","Financial Services","25773156","26327949","2.02","1831","-274","-13.02","/mutual-fund/holding-history/12890/149/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","24119134","26146354","2.01","5980","","","/mutual-fund/holding-history/12890/53208/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","24400772.1","23420998","1.8","58494","17803","43.75","/mutual-fund/holding-history/12890/2755533/"
"NTPC Ltd","NTPC","532555","Utilities","22868308.2","22469111","1.72","67092","","","/mutual-fund/holding-history/12890/959/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","19864426.05","18484752","1.42","32011","","","/mutual-fund/holding-history/12890/71/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","16814232","16690400","1.28","1346","","","/mutual-fund/holding-history/12890/842/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","15211965.4","15568751","1.19","3197","-2682","-45.62","/mutual-fund/holding-history/12890/80502/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","15631220","15140436","1.16","1252","","","/mutual-fund/holding-history/12890/1443/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","13700438","14243067","1.09","2518","","","/mutual-fund/holding-history/12890/360/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","14524418.4","14232220","1.09","89085","","","/mutual-fund/holding-history/12890/1366/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","14013488","14080634","1.08","2356","608","34.78","/mutual-fund/holding-history/12890/1784/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","11897822.7","13529752","1.04","7827","","","/mutual-fund/holding-history/12890/531/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","13183526.4","12863836","0.99","3036","","","/mutual-fund/holding-history/12890/540/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","12848044.5","12840066","0.99","1773","","","/mutual-fund/holding-history/12890/93/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","11308208.4","12390498","0.95","3579","","","/mutual-fund/holding-history/12890/1372/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","10846616","11378182","0.87","5126","","","/mutual-fund/holding-history/12890/2710663/"
"Cipla Ltd","CIPLA","500087","Healthcare","10854132.8","11161731","0.86","7412","","","/mutual-fund/holding-history/12890/268/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","11304478.08","10914561","0.84","104256","","","/mutual-fund/holding-history/12890/2789016/"
"REC Ltd","RECLTD","532955","Financial Services","9105196.5","9311134","0.71","23139","","","/mutual-fund/holding-history/12890/1119/"
"ABB India Ltd","ABB","500002","Industrials","6652780","7029058","0.54","1156","","","/mutual-fund/holding-history/12890/17/"
"Siemens Ltd","SIEMENS","500550","Industrials","6783146.2","7019988","0.54","2159","","","/mutual-fund/holding-history/12890/1237/"
