"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","58312353.75","123665205","9.67","61275","","","https://trendlyne.com/mutual-fund/holding-history/12890/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","116096387.5","122400675","9.57","82625","","","https://trendlyne.com/mutual-fund/holding-history/12890/584/"
"Larsen & Toubro Ltd","LT","500510","Industrials","77680452","78337483","6.13","21542","5331","32.89","https://trendlyne.com/mutual-fund/holding-history/12890/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","54353557.1","54881067","4.29","28669","","","https://trendlyne.com/mutual-fund/holding-history/12890/187/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","48784948.8","49231153","3.85","35413","17413","96.74","https://trendlyne.com/mutual-fund/holding-history/12890/1127/"
"Infosys Ltd","INFY","500209","Technology","42448525","42561345","3.33","28205","","","https://trendlyne.com/mutual-fund/holding-history/12890/630/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","41901462","41398776","3.24","46980","","","https://trendlyne.com/mutual-fund/holding-history/12890/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","37077271","37326289","2.92","18865","","","https://trendlyne.com/mutual-fund/holding-history/12890/758/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","35639751.8","36256268","2.84","19697","","","https://trendlyne.com/mutual-fund/holding-history/12890/60957/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","37589837","34577609","2.7","10330","","","https://trendlyne.com/mutual-fund/holding-history/12890/1403/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","34587571.2","33645362","2.63","10504","","","https://trendlyne.com/mutual-fund/holding-history/12890/807/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","32178078","33572327","2.63","8972","","","https://trendlyne.com/mutual-fund/holding-history/12890/1409/"
"State Bank of India","SBIN","500112","Financial Services","32643168","32148758","2.51","40360","","","https://trendlyne.com/mutual-fund/holding-history/12890/1193/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","29373640.4","29343142","2.3","20332","-4660","-18.65","https://trendlyne.com/mutual-fund/holding-history/12890/262/"
"Mphasis Ltd","MPHASIS","526299","Technology","30824621","29244086","2.29","10481","","","https://trendlyne.com/mutual-fund/holding-history/12890/881/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","31094645.4","28721329","2.25","8078","","","https://trendlyne.com/mutual-fund/holding-history/12890/297/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","28155556.8","28421577","2.22","26602","","","https://trendlyne.com/mutual-fund/holding-history/12890/140/"
"Bajaj Holdings and Investment Ltd","BAJAJHLDNG","500490","Financial Services","23134685","25566253","2","1831","","","https://trendlyne.com/mutual-fund/holding-history/12890/149/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","27986998","25519052","2","5980","","","https://trendlyne.com/mutual-fund/holding-history/12890/53208/"
"Coforge Ltd","COFORGE","532541","Technology","25600632.4","25282468","1.98","14462","","","https://trendlyne.com/mutual-fund/holding-history/12890/942/"
