"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","67091728694.8","67421052000","9.66","34665562","","","/mutual-fund/holding-history/9508/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","61877071880.3","62696664000","8.99","43364687","600000","1.4","/mutual-fund/holding-history/9508/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","45148042921.8","44617370000","6.4","31400781","","","/mutual-fund/holding-history/9508/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","43095341117.6","43646399000","6.26","11876248","650","0.01","/mutual-fund/holding-history/9508/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","31096577166.9","31011372000","4.45","16706913","380718","2.33","/mutual-fund/holding-history/9508/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","30624469046.6","30039898000","4.31","25197029","892821","3.67","/mutual-fund/holding-history/9508/140/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","29552618970","29054965000","4.16","2358549","","","/mutual-fund/holding-history/9508/842/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","27248644610","26573058000","3.81","2370478","-26405","-1.1","/mutual-fund/holding-history/9508/1443/"
"Infosys Ltd","INFY","500209","Technology","25054647808.2","24111897000","3.46","15429639","300000","1.98","/mutual-fund/holding-history/9508/630/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","19036528609.6","18949552000","2.72","11295632","477472","4.41","/mutual-fund/holding-history/9508/1316/"
"NTPC Ltd","NTPC","532555","Utilities","16029233449.4","16038840000","2.3","48034862","9563773","24.86","/mutual-fund/holding-history/9508/959/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","13773921185.5","13599716000","1.95","3155899","","","/mutual-fund/holding-history/9508/540/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","12272040792.5","12152341000","1.74","2279989","","","/mutual-fund/holding-history/9508/1784/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","10759604502.5","11157984000","1.6","16844782","","","/mutual-fund/holding-history/9508/4714/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","10512056388.4","10349348000","1.48","3476669","1983","0.06","/mutual-fund/holding-history/9508/807/"
"ITC Ltd","ITC","500875","Consumer Defensive","9705499869","9702019000","1.39","23207795","1311737","5.99","/mutual-fund/holding-history/9508/647/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","9120947733.2","9194005000","1.32","5073394","","","/mutual-fund/holding-history/9508/60957/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","9383050876.57","8747624000","1.25","36539783","","","/mutual-fund/holding-history/9508/974/"
"DLF Ltd","DLF","532868","Real Estate","9330718277","8666488000","1.24","10862303","","","/mutual-fund/holding-history/9508/337/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","8411797617.6","8465383000","1.21","3747237","676272","22.02","/mutual-fund/holding-history/9508/117/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","8194292228.1","8261289000","1.18","10634342","","","/mutual-fund/holding-history/9508/65394/"
