"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","70291271301","70095152000","9.69","35021310","355748","1.03","/mutual-fund/holding-history/9508/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","64491642763.2","63274984000","8.75","43764687","400000","0.92","/mutual-fund/holding-history/9508/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","42926912196.8","45594652000","6.3","30384281","-1016500","-3.24","/mutual-fund/holding-history/9508/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","41593853406.4","44057358000","6.09","12005384","129136","1.09","/mutual-fund/holding-history/9508/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","32333441708.4","34076612000","4.71","16956913","250000","1.5","/mutual-fund/holding-history/9508/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","27666337842","30216277000","4.18","25197029","","","/mutual-fund/holding-history/9508/140/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","29462994108","29246008000","4.04","2358549","","","/mutual-fund/holding-history/9508/842/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","29143632056","28303400000","3.91","2340478","-30000","-1.27","/mutual-fund/holding-history/9508/1443/"
"Infosys Ltd","INFY","500209","Technology","24238419905.1","24715196000","3.42","15429639","","","/mutual-fund/holding-history/9508/630/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","19254573448","19228182000","2.66","11474716","179084","1.59","/mutual-fund/holding-history/9508/1316/"
"NTPC Ltd","NTPC","532555","Utilities","17048001659.85","16750406000","2.32","50016141","1981279","4.12","/mutual-fund/holding-history/9508/959/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","13947994572","14014827000","1.94","2344989","65000","2.85","/mutual-fund/holding-history/9508/1784/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","13704175817.6","13371860000","1.85","3155899","","","/mutual-fund/holding-history/9508/540/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","12875340279.2","12582827000","1.74","3952886","476217","13.7","/mutual-fund/holding-history/9508/807/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","12086891020.8","11963733000","1.65","5110304","1363067","36.38","/mutual-fund/holding-history/9508/117/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","10529673228.2","11082182000","1.53","16844782","","","/mutual-fund/holding-history/9508/4714/"
"ITC Ltd","ITC","500875","Consumer Defensive","9654442720","9664886000","1.34","23207795","","","/mutual-fund/holding-history/9508/647/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","9177769746","9326420000","1.29","5073394","","","/mutual-fund/holding-history/9508/60957/"
"DLF Ltd","DLF","532868","Real Estate","9184077186.5","9100437000","1.26","10862303","","","/mutual-fund/holding-history/9508/337/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","9003767929.03","8923380000","1.23","36539783","","","/mutual-fund/holding-history/9508/974/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","8117193248.6","8659545000","1.2","10634342","","","/mutual-fund/holding-history/9508/65394/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","8626319400","8008248000","1.11","1542480","","","/mutual-fund/holding-history/9508/94155/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","8440797047.4","7998452000","1.11","2352901","","","/mutual-fund/holding-history/9508/297/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","6804668602.5","6636726000","0.92","19993150","","","/mutual-fund/holding-history/9508/215/"
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","500459","Consumer Defensive","6239282778","6345629000","0.88","474759","31519","7.11","/mutual-fund/holding-history/9508/1032/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","6202228782.8","6245965000","0.86","20826826","408100","2","/mutual-fund/holding-history/9508/1057/"
"HCL Technologies Ltd","HCLTECH","532281","Technology","4949924431.5","5628866000","0.78","3256315","","","/mutual-fund/holding-history/9508/531/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","5451074010.2","5569259000","0.77","8094853","-262995","-3.15","/mutual-fund/holding-history/9508/1362/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","4897076080.75","5067009000","0.7","5118449","","","/mutual-fund/holding-history/9508/229/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","4533002280","4691292000","0.65","3655647","","","/mutual-fund/holding-history/9508/346/"
"Tech Mahindra Ltd","TECHM","532755","Technology","4279344780.8","4666013000","0.65","2765864","","","/mutual-fund/holding-history/9508/1374/"
"United Breweries Ltd","UBL","532478","Consumer Defensive","4763149045.2","4564977000","0.63","2339694","","","/mutual-fund/holding-history/9508/1437/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","4723210970","4531187000","0.63","146026","","","/mutual-fund/holding-history/9508/1226/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","4168570151.5","4431064000","0.61","3102769","","","/mutual-fund/holding-history/9508/851/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","4086204796.1","4429651000","0.61","1013117","-85000","-7.74","/mutual-fund/holding-history/9508/53208/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","3972081661.2","4352243000","0.6","1257147","","","/mutual-fund/holding-history/9508/1372/"
"Union Bank of India","UNIONBANK","532477","Financial Services","3954129578.14","4249313000","0.59","27664798","-132154","-0.48","/mutual-fund/holding-history/9508/1447/"
"Coal India Ltd","COALINDIA","533278","Energy","4001242924.8","4030550000","0.56","10283328","-5131543","-33.29","/mutual-fund/holding-history/9508/275/"
