"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","33536158042.5","71113921000","9.91","35236310","215000","0.61","https://trendlyne.com/mutual-fund/holding-history/9508/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","61555032265.5","64833007000","9.03","43764687","","","https://trendlyne.com/mutual-fund/holding-history/9508/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","47821788181.9","48178745000","6.71","34655981","4271700","14.06","https://trendlyne.com/mutual-fund/holding-history/9508/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","44579410371.6","44859435000","6.25","12335882","330498","2.75","https://trendlyne.com/mutual-fund/holding-history/9508/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","31958916013.2","32260574000","4.49","16852413","-104500","-0.62","https://trendlyne.com/mutual-fund/holding-history/9508/187/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","34920676494","29736586000","4.14","2358549","","","https://trendlyne.com/mutual-fund/holding-history/9508/842/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","29932373142","28668515000","3.99","2340478","","","https://trendlyne.com/mutual-fund/holding-history/9508/1443/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","26945859008.1","27187606000","3.79","25447029","250000","0.99","https://trendlyne.com/mutual-fund/holding-history/9508/140/"
"Infosys Ltd","INFY","500209","Technology","24519341151.8","24623776000","3.43","16317943","888304","5.76","https://trendlyne.com/mutual-fund/holding-history/9508/630/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","18084796221","19747487000","2.75","11570567","95851","0.84","https://trendlyne.com/mutual-fund/holding-history/9508/1316/"
"NTPC Ltd","NTPC","532555","Utilities","16852938709.95","16717895000","2.33","50016141","","","https://trendlyne.com/mutual-fund/holding-history/9508/959/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","16448150898","15994254000","2.23","4993367","1040481","26.32","https://trendlyne.com/mutual-fund/holding-history/9508/807/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","16800428326.5","13446339000","1.87","3155899","","","https://trendlyne.com/mutual-fund/holding-history/9508/540/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","12251767131","12768063000","1.78","2160234","-184755","-7.88","https://trendlyne.com/mutual-fund/holding-history/9508/1784/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","13070624540.8","12244799000","1.71","5110304","","","https://trendlyne.com/mutual-fund/holding-history/9508/117/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","10258472238","10375543000","1.45","16844782","","","https://trendlyne.com/mutual-fund/holding-history/9508/4714/"
"ITC Ltd","ITC","500875","Consumer Defensive","9444412175.25","9560451000","1.33","23207795","","","https://trendlyne.com/mutual-fund/holding-history/9508/647/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","9182843140","9338596000","1.3","5073394","","","https://trendlyne.com/mutual-fund/holding-history/9508/60957/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","8842627486","8806088000","1.23","36539783","","","https://trendlyne.com/mutual-fund/holding-history/9508/974/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","8565391440","8715012000","1.21","1542480","","","https://trendlyne.com/mutual-fund/holding-history/9508/94155/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","8548866622.4","8658963000","1.21","29755888","8929062","42.87","https://trendlyne.com/mutual-fund/holding-history/9508/1057/"
"DLF Ltd","DLF","532868","Real Estate","8294997685.95","8518761000","1.19","10862303","","","https://trendlyne.com/mutual-fund/holding-history/9508/337/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","9056315949","8365740000","1.17","2352901","","","https://trendlyne.com/mutual-fund/holding-history/9508/297/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","8380393213.1","8034245000","1.12","10634342","","","https://trendlyne.com/mutual-fund/holding-history/9508/65394/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","6327831975","6583744000","0.92","19993150","","","https://trendlyne.com/mutual-fund/holding-history/9508/215/"
