"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","413679488.7","411605000","7.94","213821","25128","13.32","/mutual-fund/holding-history/358532/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","355635403.2","343084000","6.62","244188","","","/mutual-fund/holding-history/358532/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","265965680","261027000","5.04","182920","","","/mutual-fund/holding-history/358532/584/"
"Infosys Ltd","INFY","500209","Technology","226727689.5","213922000","4.13","142605","","","/mutual-fund/holding-history/358532/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","167586823.2","164287000","3.17","138639","21920","18.78","/mutual-fund/holding-history/358532/140/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","151467186","155684000","3","83499","","","/mutual-fund/holding-history/358532/187/"
"State Bank of India","SBIN","500112","Financial Services","153524822","152856000","2.95","193820","","","/mutual-fund/holding-history/358532/1193/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","149018752","140362000","2.71","16256","7892","94.36","/mutual-fund/holding-history/358532/150/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","143634351.6","139295000","2.69","40332","","","/mutual-fund/holding-history/358532/1372/"
"Larsen & Toubro Ltd","LT","500510","Industrials","141289821.2","130954000","2.53","39196","","","/mutual-fund/holding-history/358532/800/"
"ITC Ltd","ITC","500875","Consumer Defensive","124898633.4","122061000","2.35","286662","","","/mutual-fund/holding-history/358532/647/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","115048690.4","120500000","2.32","54572","11748","27.43","/mutual-fund/holding-history/358532/758/"
"NTPC Ltd","NTPC","532555","Utilities","114556286.6","118379000","2.28","333886","","","/mutual-fund/holding-history/358532/959/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","89896458.4","87619000","1.69","67571","","","/mutual-fund/holding-history/358532/1527/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","88875446.4","83014000","1.6","28344","","","/mutual-fund/holding-history/358532/807/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","85120419","80956000","1.56","168940","","","/mutual-fund/holding-history/358532/697/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","75126374.7","79344000","1.53","43303","","","/mutual-fund/holding-history/358532/1316/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","78343748","74212000","1.43","193060","","","/mutual-fund/holding-history/358532/1364/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","76265634.5","70100000","1.35","114599","31568","38.02","/mutual-fund/holding-history/358532/1288/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","71464460.6","68481000","1.32","27778","","","/mutual-fund/holding-history/358532/1436676/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","68612513.25","66913000","1.29","164243","","","/mutual-fund/holding-history/358532/1026/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","67856106.5","64990000","1.25","120419","","","/mutual-fund/holding-history/358532/71/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","71748163.7","63260000","1.22","98191","","","/mutual-fund/holding-history/358532/1362/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","71895481.7","62925000","1.21","14021","5944","73.59","/mutual-fund/holding-history/358532/80502/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","63429840","62023000","1.2","5328","","","/mutual-fund/holding-history/358532/1443/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","65641564.1","60489000","1.17","40537","","","/mutual-fund/holding-history/358532/262/"
"PG Electroplast Ltd","PGEL","533581","Technology","57261224.8","60128000","1.16","71216","-21774","-23.42","/mutual-fund/holding-history/358532/1031/"
"Dabur India Ltd","DABUR","500096","Consumer Defensive","58603640.85","59968000","1.16","122949","","","/mutual-fund/holding-history/358532/303/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","63684226.2","59233000","1.14","17526","","","/mutual-fund/holding-history/358532/1403/"
"Bharat Electronics Ltd","BEL","500049","Industrials","65992901.1","56962000","1.1","181349","","","/mutual-fund/holding-history/358532/175/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","59860064.25","56865000","1.1","91035","","","/mutual-fund/holding-history/358532/549/"
"Sanghvi Movers Ltd","SANGHVIMOV","530073","Industrials","70550924.5","55631000","1.07","211547","","","/mutual-fund/holding-history/358532/1181/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","55480819","55243000","1.07","31285","","","/mutual-fund/holding-history/358532/60957/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","58272750","54994000","1.06","10476","","","/mutual-fund/holding-history/358532/1784/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","55816219.2","53566000","1.03","27447","12756","86.83","/mutual-fund/holding-history/358532/147/"
