"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","490842326.3","489473000","8.78","244553","5634","2.36","/mutual-fund/holding-history/358532/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","344988806.4","366429000","6.57","244188","","","/mutual-fund/holding-history/358532/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","269550912","264466000","4.74","182920","","","/mutual-fund/holding-history/358532/584/"
"Infosys Ltd","INFY","500209","Technology","224018194.5","228425000","4.1","142605","","","/mutual-fund/holding-history/358532/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","159215893.2","167800000","3.01","83499","","","/mutual-fund/holding-history/358532/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","152225622","166256000","2.98","138639","","","/mutual-fund/holding-history/358532/140/"
"State Bank of India","SBIN","500112","Financial Services","157963300","159000000","2.85","193820","","","/mutual-fund/holding-history/358532/1193/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","154846528","152237000","2.73","162560","130048","400","/mutual-fund/holding-history/358532/150/"
"Larsen & Toubro Ltd","LT","500510","Industrials","135798461.6","143841000","2.58","39196","","","/mutual-fund/holding-history/358532/800/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","127432987.2","139629000","2.5","40332","","","/mutual-fund/holding-history/358532/1372/"
"ITC Ltd","ITC","500875","Consumer Defensive","119251392","119380000","2.14","286662","","","/mutual-fund/holding-history/358532/647/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","117886434.4","118067000","2.12","54572","","","/mutual-fund/holding-history/358532/758/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","115634252.3","115817000","2.08","67571","","","/mutual-fund/holding-history/358532/1527/"
"NTPC Ltd","NTPC","532555","Utilities","113805043.1","111818000","2.01","333886","","","/mutual-fund/holding-history/358532/959/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","92251253.4","94187000","1.69","84899","","","/mutual-fund/holding-history/358532/4826/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","92322076.8","90225000","1.62","28344","","","/mutual-fund/holding-history/358532/807/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","89800057","88204000","1.58","168940","","","/mutual-fund/holding-history/358532/697/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","80150000","84231000","1.51","62500","","","/mutual-fund/holding-history/358532/1253626/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","73360549.85","81004000","1.45","114599","","","/mutual-fund/holding-history/358532/1288/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","77059899","78276000","1.4","193060","","","/mutual-fund/holding-history/358532/1364/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","72662434","72563000","1.3","43303","","","/mutual-fund/holding-history/358532/1316/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","68111572.1","70197000","1.26","164243","","","/mutual-fund/holding-history/358532/1026/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","74726010.45","69536000","1.25","120419","","","/mutual-fund/holding-history/358532/71/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","66714722.2","68279000","1.22","14021","","","/mutual-fund/holding-history/358532/80502/"
"Bharat Electronics Ltd","BEL","500049","Industrials","64147721.6","67076000","1.2","159136","","","/mutual-fund/holding-history/358532/175/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","63456619.8","65994000","1.18","40537","","","/mutual-fund/holding-history/358532/262/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","60857282.4","64674000","1.16","17526","","","/mutual-fund/holding-history/358532/1403/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","66520080","64432000","1.16","5328","","","/mutual-fund/holding-history/358532/1443/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","62818701.75","63074000","1.13","91035","","","/mutual-fund/holding-history/358532/549/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","62311248","62610000","1.12","10476","","","/mutual-fund/holding-history/358532/1784/"
"Titagarh Rail Systems Ltd","TITAGARH","532966","Industrials","60883814.7","62039000","1.11","65799","","","/mutual-fund/holding-history/358532/1434/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","58301593.5","59497000","1.07","135822","","","/mutual-fund/holding-history/358532/556/"
"Sanghvi Movers Ltd","SANGHVIMOV","530073","Industrials","56673441.3","59127000","1.06","211547","","","/mutual-fund/holding-history/358532/1181/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","56535123.5","57511000","1.03","31285","","","/mutual-fund/holding-history/358532/60957/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","60365585.25","56920000","1.02","124401","","","/mutual-fund/holding-history/358532/4813/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","55980901.2","56431000","1.01","27447","","","/mutual-fund/holding-history/358532/147/"
"Life Insurance Corporation of India","LICI","543526","Financial Services","47136236.4","49893000","0.9","51288","","","/mutual-fund/holding-history/358532/829878/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","49531392.2","49567000","0.89","120047","","","/mutual-fund/holding-history/358532/1690561/"
"Coal India Ltd","COALINDIA","533278","Energy","48452288.4","48807000","0.88","124524","","","/mutual-fund/holding-history/358532/275/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","47892118.5","47862000","0.86","6609","","","/mutual-fund/holding-history/358532/93/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","44595262.5","47408000","0.85","178025","","","/mutual-fund/holding-history/358532/189/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","45572730","46018000","0.83","5494","","","/mutual-fund/holding-history/358532/144/"
"Engineers India Ltd","ENGINERSIN","532178","Industrials","45415702.7","45149000","0.81","187490","-105453","-36","/mutual-fund/holding-history/358532/380/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","44244146","44556000","0.8","148570","37520","33.79","/mutual-fund/holding-history/358532/1057/"
"PG Electroplast Ltd","PGEL","533581","Technology","46168005.8","44164000","0.79","58522","","","/mutual-fund/holding-history/358532/1031/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","45170144.1","43565000","0.78","75021","","","/mutual-fund/holding-history/358532/2618334/"
"REC Ltd","RECLTD","532955","Financial Services","41630018.4","42593000","0.76","105848","","","/mutual-fund/holding-history/358532/1119/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","44466730","40177000","0.72","37367","","","/mutual-fund/holding-history/358532/1103/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","39806664.7","39413000","0.71","38621","","","/mutual-fund/holding-history/358532/699/"
"Vedanta Ltd","VEDL","500295","Basic Materials","38301000","39172000","0.7","85000","","","/mutual-fund/holding-history/358532/1289/"
