"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","232728862.45","493557000","9.45","244553","","","https://trendlyne.com/mutual-fund/holding-history/358532/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","336393388.8","339470000","6.5","244188","","","https://trendlyne.com/mutual-fund/holding-history/358532/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","257020892","270978000","5.19","182920","","","https://trendlyne.com/mutual-fund/holding-history/358532/584/"
"State Bank of India","SBIN","500112","Financial Services","186460752","183637000","3.51","230540","36720","18.95","https://trendlyne.com/mutual-fund/holding-history/358532/1193/"
"Infosys Ltd","INFY","500209","Technology","161028980","161457000","3.09","106996","-35609","-24.97","https://trendlyne.com/mutual-fund/holding-history/358532/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","158305754.1","159842000","3.06","83499","","","https://trendlyne.com/mutual-fund/holding-history/358532/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","146735517.6","148122000","2.83","138639","","","https://trendlyne.com/mutual-fund/holding-history/358532/140/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","144987264","143248000","2.74","162560","","","https://trendlyne.com/mutual-fund/holding-history/358532/150/"
"Larsen & Toubro Ltd","LT","500510","Industrials","141340776","142536000","2.73","39196","","","https://trendlyne.com/mutual-fund/holding-history/358532/800/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","132576057","133466000","2.55","67455","12883","23.61","https://trendlyne.com/mutual-fund/holding-history/358532/758/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","127025634","122480000","2.34","40332","","","https://trendlyne.com/mutual-fund/holding-history/358532/1372/"
"ITC Ltd","ITC","500875","Consumer Defensive","116442104.4","118090000","2.26","286662","","","https://trendlyne.com/mutual-fund/holding-history/358532/647/"
"NTPC Ltd","NTPC","532555","Utilities","112369333.3","111601000","2.14","333886","","","https://trendlyne.com/mutual-fund/holding-history/358532/959/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","94494522.2","98904000","1.89","189254","64853","52.13","https://trendlyne.com/mutual-fund/holding-history/358532/4813/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","93331123.2","90789000","1.74","28344","","","https://trendlyne.com/mutual-fund/holding-history/358532/807/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","86142506","87013000","1.67","168940","","","https://trendlyne.com/mutual-fund/holding-history/358532/697/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","73729725.9","86198000","1.65","51693","-15878","-23.5","https://trendlyne.com/mutual-fund/holding-history/358532/1527/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","67146619.1","83727000","1.6","84899","","","https://trendlyne.com/mutual-fund/holding-history/358532/4826/"
"Shakti Pumps (India) Ltd","SHAKTIPUMP","531431","Industrials","71189567.4","77691000","1.49","87146","87146","New","https://trendlyne.com/mutual-fund/holding-history/358532/1211/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","74859015","76790000","1.47","193060","","","https://trendlyne.com/mutual-fund/holding-history/358532/1364/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","67699910.2","73905000","1.41","43303","","","https://trendlyne.com/mutual-fund/holding-history/358532/1316/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","67733738.95","72295000","1.38","114599","","","https://trendlyne.com/mutual-fund/holding-history/358532/1288/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","69128895","69057000","1.32","47850","7313","18.04","https://trendlyne.com/mutual-fund/holding-history/358532/262/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","66731250","67681000","1.3","62500","","","https://trendlyne.com/mutual-fund/holding-history/358532/1253626/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","64826712.1","67331000","1.29","164243","","","https://trendlyne.com/mutual-fund/holding-history/358532/1026/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","68059872","65263000","1.25","5328","","","https://trendlyne.com/mutual-fund/holding-history/358532/1443/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","62309324","63570000","1.22","14021","","","https://trendlyne.com/mutual-fund/holding-history/358532/80502/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","66004926.75","62181000","1.19","91035","","","https://trendlyne.com/mutual-fund/holding-history/358532/549/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","59377968","61918000","1.18","10476","","","https://trendlyne.com/mutual-fund/holding-history/358532/1784/"
"Bharat Electronics Ltd","BEL","500049","Industrials","59859006.4","60965000","1.17","159136","","","https://trendlyne.com/mutual-fund/holding-history/358532/175/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","63775361.4","58665000","1.12","17526","","","https://trendlyne.com/mutual-fund/holding-history/358532/1403/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","56607079","57586000","1.1","31285","","","https://trendlyne.com/mutual-fund/holding-history/358532/60957/"
"Sanghvi Movers Ltd","SANGHVIMOV","530073","Industrials","71100946.7","57372000","1.1","211547","","","https://trendlyne.com/mutual-fund/holding-history/358532/1181/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","53649067.35","55820000","1.07","94179","-26240","-21.79","https://trendlyne.com/mutual-fund/holding-history/358532/71/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","60345209.4","55024000","1.05","12894","12894","New","https://trendlyne.com/mutual-fund/holding-history/358532/53208/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","53603991","53467000","1.02","27447","","","https://trendlyne.com/mutual-fund/holding-history/358532/147/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","50793469.5","49554000","0.95","6609","","","https://trendlyne.com/mutual-fund/holding-history/358532/93/"
"Coal India Ltd","COALINDIA","533278","Energy","47854573.2","46865000","0.9","124524","","","https://trendlyne.com/mutual-fund/holding-history/358532/275/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","49849809","43996000","0.84","5494","","","https://trendlyne.com/mutual-fund/holding-history/358532/144/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","43733491.95","43812000","0.84","75021","","","https://trendlyne.com/mutual-fund/holding-history/358532/2618334/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","42617304.5","43234000","0.83","148570","","","https://trendlyne.com/mutual-fund/holding-history/358532/1057/"
"REC Ltd","RECLTD","532955","Financial Services","39084374","41831000","0.8","105848","","","https://trendlyne.com/mutual-fund/holding-history/358532/1119/"
