"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","1303117703.4","1299482000","8.34","649254","-12213","-1.85","/mutual-fund/holding-history/10368/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1058164161.6","1038202000","6.66","718081","-29020","-3.88","/mutual-fund/holding-history/10368/584/"
"Infosys Ltd","INFY","500209","Technology","921647030","939776000","6.03","586700","140112","31.37","/mutual-fund/holding-history/10368/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","610946347.2","643884000","4.13","320404","","","/mutual-fund/holding-history/10368/187/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","600286004.8","637591000","4.09","424891","","","/mutual-fund/holding-history/10368/1127/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","595238969.5","585209000","3.76","624890","495374","382.48","/mutual-fund/holding-history/10368/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","473101081.6","473824000","3.04","219008","","","/mutual-fund/holding-history/10368/758/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","408552624","446208000","2.86","372088","","","/mutual-fund/holding-history/10368/140/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","405008851.5","421166000","2.7","74457","","","/mutual-fund/holding-history/10368/360/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","396114030","420960000","2.7","114075","","","/mutual-fund/holding-history/10368/1403/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","326126605","334268000","2.15","57130","","","/mutual-fund/holding-history/10368/220/"
"Tech Mahindra Ltd","TECHM","532755","Technology","306393563.2","334078000","2.14","198031","32143","19.38","/mutual-fund/holding-history/10368/1374/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","318140938.2","330863000","2.12","203233","35496","21.16","/mutual-fund/holding-history/10368/262/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","372870853.6","328532000","2.11","1243732","","","/mutual-fund/holding-history/10368/589490/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","339104198.86","327408000","2.1","3127402","","","/mutual-fund/holding-history/10368/2789016/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","333620599.8","325387000","2.09","980228","-125323","-11.34","/mutual-fund/holding-history/10368/215/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","324231407.5","315412000","2.02","92545","-10331","-10.04","/mutual-fund/holding-history/10368/1409/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","303326640","307780000","1.98","280080","","","/mutual-fund/holding-history/10368/1359/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","326074410.08","307571000","1.97","2295652","2295652","New","/mutual-fund/holding-history/10368/2839786/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","189851667.72","302291000","1.94","1952403","-514820","-20.87","/mutual-fund/holding-history/10368/878/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","289702304","298311000","1.91","43808","","","/mutual-fund/holding-history/10368/336/"
"ABB India Ltd","ABB","500002","Industrials","253409915","267743000","1.72","44033","","","/mutual-fund/holding-history/10368/17/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","252864116","265256000","1.7","119501","7449","6.65","/mutual-fund/holding-history/10368/2710663/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","254478521.6","248697000","1.6","78128","","","/mutual-fund/holding-history/10368/807/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","224776912","242746000","1.56","109168","15559","16.62","/mutual-fund/holding-history/10368/1053/"
"SRF Ltd","SRF","503806","Industrials","227885544","235558000","1.51","72656","-19443","-21.11","/mutual-fund/holding-history/10368/1283/"
"Bharat Electronics Ltd","BEL","500049","Industrials","214024735.7","223794000","1.44","530947","","","/mutual-fund/holding-history/10368/175/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","193989961.2","212556000","1.36","61397","","","/mutual-fund/holding-history/10368/1372/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","207948556","205636000","1.32","149174","-20000","-11.82","/mutual-fund/holding-history/10368/407835/"
"PTC Industries Ltd","PTCIL","539006","Industrials","189729474","203129000","1.3","13047","","","/mutual-fund/holding-history/10368/4156/"
"DLF Ltd","DLF","532868","Real Estate","202914081.5","201066000","1.29","239993","141602","143.92","/mutual-fund/holding-history/10368/337/"
"Coforge Ltd","COFORGE","532541","Technology","184539120","191103000","1.23","99300","-9260","-8.53","/mutual-fund/holding-history/10368/942/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","188828042.2","189594000","1.22","273644","","","/mutual-fund/holding-history/10368/549/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","181343662.5","181231000","1.16","25025","","","/mutual-fund/holding-history/10368/93/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","162427806.5","172656000","1.11","120899","-70113","-36.71","/mutual-fund/holding-history/10368/851/"
"Ather Energy Ltd","ATHERENERG","544397","Consumer Cyclical","172877967","170467000","1.09","512991","42426","9.02","/mutual-fund/holding-history/10368/3080909/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","155381249.5","170446000","1.09","19057","","","/mutual-fund/holding-history/10368/853/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","165199543.2","168134000","1.08","349296","","","/mutual-fund/holding-history/10368/547977/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","173816256","161637000","1.04","10788","","","/mutual-fund/holding-history/10368/60393/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","158541107.5","158229000","1.02","86753","","","/mutual-fund/holding-history/10368/710819/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","145821168","146520000","0.94","24516","","","/mutual-fund/holding-history/10368/1784/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","145015438.88","142098000","0.91","889447","229382","34.75","/mutual-fund/holding-history/10368/1366/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","115025609","133415000","0.86","21458","-4261","-16.57","/mutual-fund/holding-history/10368/1412/"
"Lodha Developers Ltd","LODHA","543287","Real Estate","134867479.5","129291000","0.83","93405","40096","75.21","/mutual-fund/holding-history/10368/460813/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","113007250","115658000","0.74","23750","-3829","-13.88","/mutual-fund/holding-history/10368/80502/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","109023780.8","95535000","0.61","249568","-177749","-41.6","/mutual-fund/holding-history/10368/888524/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","93969516.2","90508000","0.58","38333","-19376","-33.58","/mutual-fund/holding-history/10368/67/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","84356381.2","88258000","0.57","49196","","","/mutual-fund/holding-history/10368/53219/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","81634452.2","81758000","0.52","77203","-22756","-22.77","/mutual-fund/holding-history/10368/1873481/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","69314551.2","68608000","0.44","29306","","","/mutual-fund/holding-history/10368/117/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","1723447.5","1692000","0.01","2369","","","/mutual-fund/holding-history/10368/980/"
