"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","617862569.1","1310324000","8.58","649254","","","https://trendlyne.com/mutual-fund/holding-history/10368/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1008975613.1","1063765000","6.96","718081","","","https://trendlyne.com/mutual-fund/holding-history/10368/584/"
"Infosys Ltd","INFY","500209","Technology","882983500","885330000","5.79","586700","","","https://trendlyne.com/mutual-fund/holding-history/10368/630/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","607453943.6","613349000","4.01","320404","","","https://trendlyne.com/mutual-fund/holding-history/10368/187/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","598585306.5","591404000","3.87","671135","46245","7.4","https://trendlyne.com/mutual-fund/holding-history/10368/150/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","585329841.6","590683000","3.87","424891","","","https://trendlyne.com/mutual-fund/holding-history/10368/1127/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","528810524","532362000","3.48","269060","50052","22.85","https://trendlyne.com/mutual-fund/holding-history/10368/758/"
"Tech Mahindra Ltd","TECHM","532755","Technology","444241818.9","429284000","2.81","293287","95256","48.1","https://trendlyne.com/mutual-fund/holding-history/10368/1374/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","443935837.6","422260000","2.76","1371866","128134","10.3","https://trendlyne.com/mutual-fund/holding-history/10368/589490/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","473174235","407168000","2.66","74457","","","https://trendlyne.com/mutual-fund/holding-history/10368/360/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","331912642.5","346294000","2.27","92545","","","https://trendlyne.com/mutual-fund/holding-history/10368/1409/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","365465643.7","336179000","2.2","100433","-13642","-11.96","https://trendlyne.com/mutual-fund/holding-history/10368/1403/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","333537889","333192000","2.18","230870","27637","13.6","https://trendlyne.com/mutual-fund/holding-history/10368/262/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","334924625","329697000","2.16","57130","","","https://trendlyne.com/mutual-fund/holding-history/10368/220/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","310732276","322789000","2.11","980228","","","https://trendlyne.com/mutual-fund/holding-history/10368/215/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","296781710.4","299586000","1.96","280406","-91682","-24.64","https://trendlyne.com/mutual-fund/holding-history/10368/140/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","314943768","295565000","1.93","117232","117232","New","https://trendlyne.com/mutual-fund/holding-history/10368/560/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","267579264","288936000","1.89","43808","","","https://trendlyne.com/mutual-fund/holding-history/10368/336/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","268000044","279466000","1.83","47283","22767","92.87","https://trendlyne.com/mutual-fund/holding-history/10368/1784/"
"DLF Ltd","DLF","532868","Real Estate","258942793.2","265667000","1.74","338753","98760","41.15","https://trendlyne.com/mutual-fund/holding-history/10368/337/"
"Hyundai Motor India Ltd","HYUNDAI","544274","Consumer Cyclical","291893142.6","257142000","1.68","119501","","","https://trendlyne.com/mutual-fund/holding-history/10368/2710663/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","270818965.62","255736000","1.67","1832706","-462946","-20.17","https://trendlyne.com/mutual-fund/holding-history/10368/2839786/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","257259878.4","250252000","1.64","78128","","","https://trendlyne.com/mutual-fund/holding-history/10368/807/"
"ABB India Ltd","ABB","500002","Industrials","227170650.3","242622000","1.59","44033","","","https://trendlyne.com/mutual-fund/holding-history/10368/17/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","252170198","236210000","1.55","98581","69275","236.39","https://trendlyne.com/mutual-fund/holding-history/10368/117/"
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","229709144.4","227678000","1.49","2183547","-943855","-30.18","https://trendlyne.com/mutual-fund/holding-history/10368/2789016/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","223077383.1","223353000","1.46","2298582","-630022","-21.51","https://trendlyne.com/mutual-fund/holding-history/10368/878/"
"SRF Ltd","SRF","503806","Industrials","210695134.4","220932000","1.45","72656","","","https://trendlyne.com/mutual-fund/holding-history/10368/1283/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","230852745.9","217148000","1.42","112059","2891","2.65","https://trendlyne.com/mutual-fund/holding-history/10368/1053/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","214325302.2","213299000","1.4","1350506","461059","51.84","https://trendlyne.com/mutual-fund/holding-history/10368/1366/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","208045849.1","206416000","1.35","459161","109865","31.45","https://trendlyne.com/mutual-fund/holding-history/10368/547977/"
"Bharat Electronics Ltd","BEL","500049","Industrials","199715714.05","203406000","1.33","530947","","","https://trendlyne.com/mutual-fund/holding-history/10368/175/"
"PTC Industries Ltd","PTCIL","539006","Industrials","181027125","194726000","1.27","13047","","","https://trendlyne.com/mutual-fund/holding-history/10368/4156/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","198405582.2","186913000","1.22","273644","","","https://trendlyne.com/mutual-fund/holding-history/10368/549/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","190084560","181681000","1.19","10788","","","https://trendlyne.com/mutual-fund/holding-history/10368/60393/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","186152420.1","180335000","1.18","148791","-383","-0.26","https://trendlyne.com/mutual-fund/holding-history/10368/407835/"
