"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","400337971.2","403512293","7.68","207472","","","/mutual-fund/holding-history/6131/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","252030218.4","256032385","4.87","177087","","","/mutual-fund/holding-history/6131/584/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","246688400","246874600","4.7","133000","43000","47.78","/mutual-fund/holding-history/6131/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","219149150","222343550","4.23","60500","","","/mutual-fund/holding-history/6131/800/"
"Infosys Ltd","INFY","500209","Technology","218923370.2","208617325","3.97","133498","-500","-0.37","/mutual-fund/holding-history/6131/630/"
"State Bank of India","SBIN","500112","Financial Services","176997443.1","181465383","3.45","223397","-70000","-23.86","/mutual-fund/holding-history/6131/1193/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","143120000","142090000","2.7","100000","-40000","-28.57","/mutual-fund/holding-history/6131/1127/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","133661000","131142000","2.49","110000","","","/mutual-fund/holding-history/6131/140/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","125689480","126160440","2.4","162400","-33250","-16.99","/mutual-fund/holding-history/6131/65394/"
"Tech Mahindra Ltd","TECHM","532755","Technology","128895000","118042500","2.25","75000","","","/mutual-fund/holding-history/6131/1374/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","110428500","111891000","2.13","13000","","","/mutual-fund/holding-history/6131/144/"
"Coforge Ltd","COFORGE","532541","Technology","23926500","111156500","2.11","13000","13000","New","/mutual-fund/holding-history/6131/942/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","112417443.6","106360389","2.02","93401","-8026","-7.91","/mutual-fund/holding-history/6131/712/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","104652900","104969100","2","18600","","","/mutual-fund/holding-history/6131/1412/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","10383750","103280625","1.96","11250","","","/mutual-fund/holding-history/6131/150/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","103296785.4","102865371","1.96","89878","","","/mutual-fund/holding-history/6131/100478/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","103493115","101225223","1.93","8217","","","/mutual-fund/holding-history/6131/842/"
"GAIL (India) Ltd","GAIL","532155","Utilities","99996750","99645000","1.9","525000","250000","90.91","/mutual-fund/holding-history/6131/431/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","95260281.6","98186299","1.87","64592","-16000","-19.85","/mutual-fund/holding-history/6131/851/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","95628960","94662240","1.8","31800","","","/mutual-fund/holding-history/6131/807/"
"Torrent Pharmaceuticals Ltd","TORNTPHARM","500420","Healthcare","94406600","92066300","1.75","29000","8000","38.1","/mutual-fund/holding-history/6131/1409/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","87518626.8","90096371","1.71","28996","-8000","-21.62","/mutual-fund/holding-history/6131/1037/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","89838000","88690000","1.69","140000","","","/mutual-fund/holding-history/6131/549/"
"Bharat Electronics Ltd","BEL","500049","Industrials","92402500","88458000","1.68","230000","","","/mutual-fund/holding-history/6131/175/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","91770000","88230300","1.68","138000","","","/mutual-fund/holding-history/6131/1288/"
"Suzlon Energy Ltd","SUZLON","532667","Industrials","79037000","87563000","1.67","1225000","","","/mutual-fund/holding-history/6131/1337/"
"Cummins India Ltd","CUMMINSIND","500480","Industrials","86229000","84970600","1.62","26000","","","/mutual-fund/holding-history/6131/297/"
"LTIMindtree Ltd","LTIM","540005","Technology","90989250","83636850","1.59","16500","","","/mutual-fund/holding-history/6131/4596/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","82635000","83025000","1.58","150000","","","/mutual-fund/holding-history/6131/71/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","85472000","82988000","1.58","40000","","","/mutual-fund/holding-history/6131/758/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","82312750","82615000","1.57","15500","-4500","-22.5","/mutual-fund/holding-history/6131/1784/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","81976050","80501850","1.53","11700","","","/mutual-fund/holding-history/6131/93/"
"HDFC Asset Management Co Ltd","HDFCAMC","541729","Financial Services","79742400","76528000","1.46","16000","16000","New","/mutual-fund/holding-history/6131/94155/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","76266100","75107000","1.43","6700","","","/mutual-fund/holding-history/6131/1443/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","78726763.5","73703299","1.4","221298","","","/mutual-fund/holding-history/6131/2755533/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","69433000","73264100","1.39","455000","455000","New","/mutual-fund/holding-history/6131/1366/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","75502500","73192500","1.39","150000","","","/mutual-fund/holding-history/6131/697/"
"Power Finance Corp Ltd","PFC","532810","Financial Services","72154900","72665050","1.38","179000","","","/mutual-fund/holding-history/6131/1026/"
"Info Edge (India) Ltd","NAUKRI","532777","Communication Services","73851147","71453512","1.36","50055","","","/mutual-fund/holding-history/6131/913/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","69430000","69520000","1.32","25000","","","/mutual-fund/holding-history/6131/1430/"
"NTPC Ltd","NTPC","532555","Utilities","67040000","66780000","1.27","200000","","","/mutual-fund/holding-history/6131/959/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","65088600","63768900","1.21","166000","","","/mutual-fund/holding-history/6131/629/"
"Adani Ports & Special Economic Zone Ltd","ADANIPORTS","532921","Industrials","54299700","55879200","1.06","39000","39000","New","/mutual-fund/holding-history/6131/27/"
"Marico Ltd","MARICO","531642","Consumer Defensive","51513750","53733750","1.02","75000","","","/mutual-fund/holding-history/6131/840/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","53060000","52245000","0.99","50000","50000","New","/mutual-fund/holding-history/6131/4826/"
"Prestige Estates Projects Ltd","PRESTIGE","533274","Real Estate","59314500","51331000","0.98","35000","","","/mutual-fund/holding-history/6131/1071/"
"Coal India Ltd","COALINDIA","533278","Energy","48912500","49662500","0.94","125000","","","/mutual-fund/holding-history/6131/275/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","45577600","47014400","0.89","3200","","","/mutual-fund/holding-history/6131/60393/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","35959000","36366000","0.69","5500","5500","New","/mutual-fund/holding-history/6131/336/"
"Schloss Bangalore Ltd","THELEELA","544408","Consumer Cyclical","7677485.75","8150595","0.16","18737","18737","New","/mutual-fund/holding-history/6131/3110331/"
