"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","3915326012.5","8303379000","8.03","4114250","","","https://trendlyne.com/mutual-fund/holding-history/11302/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","7578680844.5","7990220000","7.73","5393695","32200","0.6","https://trendlyne.com/mutual-fund/holding-history/11302/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","6785651208","6847715000","6.62","4925705","236705","5.05","https://trendlyne.com/mutual-fund/holding-history/11302/1127/"
"Infosys Ltd","INFY","500209","Technology","4191726000","4202867000","4.06","2785200","","","https://trendlyne.com/mutual-fund/holding-history/11302/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3835428144","3867869000","3.74","1063624","","","https://trendlyne.com/mutual-fund/holding-history/11302/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","3759664495","3796153000","3.67","1983050","23750","1.21","https://trendlyne.com/mutual-fund/holding-history/11302/187/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","3260448240","3171630000","3.07","990175","","","https://trendlyne.com/mutual-fund/holding-history/11302/807/"
"State Bank of India","SBIN","500112","Financial Services","3110008274.4","3062904000","2.96","3845213","","","https://trendlyne.com/mutual-fund/holding-history/11302/1193/"
"ITC Ltd","ITC","500875","Consumer Defensive","2928417660","2969871000","2.87","7209300","500000","7.45","https://trendlyne.com/mutual-fund/holding-history/11302/647/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","2859664500","2886683000","2.79","2701875","","","https://trendlyne.com/mutual-fund/holding-history/11302/140/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2531926300","2764001000","2.67","1619500","70000","4.52","https://trendlyne.com/mutual-fund/holding-history/11302/1316/"
"NTPC Ltd","NTPC","532555","Utilities","2514533325","2497349000","2.41","7471500","","","https://trendlyne.com/mutual-fund/holding-history/11302/959/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2274001600","2371293000","2.29","401200","","","https://trendlyne.com/mutual-fund/holding-history/11302/1784/"
"UltraTech Cement Ltd","ULTRACEMCO","532538","Basic Materials","2388738000","2290563000","2.21","187000","","","https://trendlyne.com/mutual-fund/holding-history/11302/1443/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","2175058692","2148965000","2.08","2438680","168750","7.43","https://trendlyne.com/mutual-fund/holding-history/11302/150/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","2463787300","2081581000","2.01","165100","","","https://trendlyne.com/mutual-fund/holding-history/11302/842/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","1512639780","1776230000","1.72","659965","-22835","-3.34","https://trendlyne.com/mutual-fund/holding-history/11302/284/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","1803432045.5","1738899000","1.68","572609","","","https://trendlyne.com/mutual-fund/holding-history/11302/1372/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","1799804304.8","1711928000","1.66","5561818","43650","0.79","https://trendlyne.com/mutual-fund/holding-history/11302/589490/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","1611380000","1635300000","1.58","115000","","","https://trendlyne.com/mutual-fund/holding-history/11302/1263/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","1601801000","1612559000","1.56","815000","","","https://trendlyne.com/mutual-fund/holding-history/11302/758/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","1527225486.3","1519912000","1.47","9623349","","","https://trendlyne.com/mutual-fund/holding-history/11302/1366/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","1391866968.4","1372355000","1.33","1090036","","","https://trendlyne.com/mutual-fund/holding-history/11302/476/"
"Bharat Petroleum Corp Ltd","BPCL","500547","Energy","1315550000","1366595000","1.32","4150000","","","https://trendlyne.com/mutual-fund/holding-history/11302/215/"
