"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","605894400","610699000","9.05","314000","7000","2.28","/mutual-fund/holding-history/138541/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","572581824","581674000","8.62","402320","","","/mutual-fund/holding-history/138541/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","521672400","517918000","7.68","364500","","","/mutual-fund/holding-history/138541/1127/"
"Infosys Ltd","INFY","500209","Technology","345712238.7","329437000","4.88","210813","5000","2.43","/mutual-fund/holding-history/138541/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","303193754.6","307613000","4.56","83702","","","/mutual-fund/holding-history/138541/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","303775000","298050000","4.42","250000","","","/mutual-fund/holding-history/138541/140/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","281929600","282142000","4.18","152000","7000","4.83","/mutual-fund/holding-history/138541/187/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","242488909.3","238909000","3.54","68981","","","/mutual-fund/holding-history/138541/1372/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","231180820","232808000","3.45","115400","","","/mutual-fund/holding-history/138541/147/"
"State Bank of India","SBIN","500112","Financial Services","218674800","224195000","3.32","276000","","","/mutual-fund/holding-history/138541/1193/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","193273800","194909000","2.89","83000","","","/mutual-fund/holding-history/138541/560/"
"Havells India Ltd","HAVELLS","517354","Industrials","169980320","169802000","2.52","111200","","","/mutual-fund/holding-history/138541/525/"
"ITC Ltd","ITC","500875","Consumer Defensive","164873000","165130000","2.45","395000","","","/mutual-fund/holding-history/138541/647/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","169366760","161404000","2.39","63400","","","/mutual-fund/holding-history/138541/490/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","139936924.7","144767000","2.15","218549","","","/mutual-fund/holding-history/138541/4714/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","144305000","138739000","2.06","217000","","","/mutual-fund/holding-history/138541/1288/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","119199500","124425000","1.84","35000","-4000","-10.26","/mutual-fund/holding-history/138541/1403/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","127708800","122307000","1.81","4016","","","/mutual-fund/holding-history/138541/18/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","118594050","119087000","1.76","411000","","","/mutual-fund/holding-history/138541/1057/"
"Cipla Ltd","CIPLA","500087","Healthcare","107166473","104472000","1.55","71278","","","/mutual-fund/holding-history/138541/268/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","89753549.6","89870000","1.33","32318","","","/mutual-fund/holding-history/138541/1430/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","87080973.3","89646000","1.33","28851","","","/mutual-fund/holding-history/138541/1037/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","98716000","88676000","1.31","400000","","","/mutual-fund/holding-history/138541/721/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","88539150","87617000","1.3","15900","2000","14.39","/mutual-fund/holding-history/138541/220/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","84785500","85803000","1.27","1850","","","/mutual-fund/holding-history/138541/994/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","73787427","72985000","1.08","254615","","","/mutual-fund/holding-history/138541/1564869/"
