"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","650300400","648486000","8.89","324000","10000","3.18","/mutual-fund/holding-history/138541/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","614962752","603361000","8.27","417320","15000","3.73","/mutual-fund/holding-history/138541/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","514965600","546969000","7.49","364500","","","/mutual-fund/holding-history/138541/1127/"
"Infosys Ltd","INFY","500209","Technology","399008600","406857000","5.57","254000","43187","20.49","/mutual-fund/holding-history/138541/630/"
"Larsen & Toubro Ltd","LT","500510","Industrials","289993949.2","307170000","4.21","83702","","","/mutual-fund/holding-history/138541/800/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","289833600","305459000","4.19","152000","","","/mutual-fund/holding-history/138541/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","262422000","286609000","3.93","239000","-11000","-4.4","/mutual-fund/holding-history/138541/140/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","252707967.6","276894000","3.79","79981","11000","15.95","/mutual-fund/holding-history/138541/1372/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","259029200","261112000","3.58","127000","11600","10.05","/mutual-fund/holding-history/138541/147/"
"State Bank of India","SBIN","500112","Financial Services","224940000","226417000","3.1","276000","","","/mutual-fund/holding-history/138541/1193/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","205815100","190452000","2.61","83000","","","/mutual-fund/holding-history/138541/560/"
"Grasim Industries Ltd","GRASIM","500300","Basic Materials","172619180","180341000","2.47","63400","","","/mutual-fund/holding-history/138541/490/"
"ITC Ltd","ITC","500875","Consumer Defensive","176800000","176991000","2.43","425000","30000","7.59","/mutual-fund/holding-history/138541/647/"
"Havells India Ltd","HAVELLS","517354","Industrials","175540320","172482000","2.36","111200","","","/mutual-fund/holding-history/138541/525/"
"Shriram Finance Ltd","SHRIRAMFIN","511218","Financial Services","138912550","153386000","2.1","217000","","","/mutual-fund/holding-history/138541/1288/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","130724650","133988000","1.84","22900","7000","44.03","/mutual-fund/holding-history/138541/220/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","122862779.9","129310000","1.77","196549","-22000","-10.07","/mutual-fund/holding-history/138541/4714/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","121534000","129157000","1.77","35000","","","/mutual-fund/holding-history/138541/1403/"
"Power Grid Corp Of India Ltd","POWERGRID","532898","Utilities","122395800","123259000","1.69","411000","","","/mutual-fund/holding-history/138541/1057/"
"Tech Mahindra Ltd","TECHM","532755","Technology","100568000","109655000","1.5","65000","24000","58.54","/mutual-fund/holding-history/138541/1374/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","100832500","109308000","1.5","25000","6895","38.08","/mutual-fund/holding-history/138541/53208/"
"Cipla Ltd","CIPLA","500087","Healthcare","93721600","96378000","1.32","64000","-7278","-10.21","/mutual-fund/holding-history/138541/268/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","92205000","96309000","1.32","2700","-1316","-32.77","/mutual-fund/holding-history/138541/18/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","90341737.2","94304000","1.29","32318","","","/mutual-fund/holding-history/138541/1430/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","84657489.3","88122000","1.21","28851","","","/mutual-fund/holding-history/138541/1037/"
