"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","38352743107.2","38656846000","9.78","19876007","","","/mutual-fund/holding-history/9386/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","30165465487.2","30644484000","7.75","21195521","-421093","-1.95","/mutual-fund/holding-history/9386/584/"
"Infosys Ltd","INFY","500209","Technology","23528860465.9","22421215000","5.67","14347741","764962","5.63","/mutual-fund/holding-history/9386/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","20383891761.6","20237194000","5.12","14242518","","","/mutual-fund/holding-history/9386/1127/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","16523092623.4","16211695000","4.1","13598134","","","/mutual-fund/holding-history/9386/140/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","15979435934.6","15743515000","3.98","4545682","-23488","-0.51","/mutual-fund/holding-history/9386/1372/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","15565331361.2","15577080000","3.94","8391919","-214254","-2.49","/mutual-fund/holding-history/9386/187/"
"Larsen & Toubro Ltd","LT","500510","Industrials","13970225834.4","14173861000","3.59","3856728","","","/mutual-fund/holding-history/9386/800/"
"ITC Ltd","ITC","500875","Consumer Defensive","13463989572.2","13484956000","3.41","32256803","6199014","23.79","/mutual-fund/holding-history/9386/647/"
"State Bank of India","SBIN","500112","Financial Services","9355525145.7","9591686000","2.43","11808059","-180982","-1.51","/mutual-fund/holding-history/9386/1193/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","8753475988","8499081000","2.15","4096535","-217658","-5.05","/mutual-fund/holding-history/9386/758/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","7438163656","7473268000","1.89","13501840","930248","7.4","/mutual-fund/holding-history/9386/71/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","7747254605.25","7467131000","1.89","31333689","-148902","-0.47","/mutual-fund/holding-history/9386/589490/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","7139374990","6982927000","1.77","566842","32779","6.14","/mutual-fund/holding-history/9386/842/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","6039913365.6","6091011000","1.54","2593796","","","/mutual-fund/holding-history/9386/560/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","5379211823.8","5415069000","1.37","2988119","","","/mutual-fund/holding-history/9386/60957/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","5317688896.8","5263932000","1.33","1768319","-262088","-12.91","/mutual-fund/holding-history/9386/807/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","5071430817","4980230000","1.26","723818","","","/mutual-fund/holding-history/9386/93/"
"One97 Communications Ltd","PAYTM","543396","Technology","4768132340.4","4907569000","1.24","5511336","-79343","-1.42","/mutual-fund/holding-history/9386/712312/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","4787880056.8","4775830000","1.21","2114041","","","/mutual-fund/holding-history/9386/117/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4952049847.25","4699565000","1.19","10789955","","","/mutual-fund/holding-history/9386/1289/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","4178548539","4450084000","1.13","4689729","-80000","-1.68","/mutual-fund/holding-history/9386/677/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","4047151432.8","4168336000","1.05","3385038","-76527","-2.21","/mutual-fund/holding-history/9386/476/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","4092423748","4086677000","1.03","766228","222446","40.91","/mutual-fund/holding-history/9386/360/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","3995014617.1","4042579000","1.02","8493706","2532442","42.48","/mutual-fund/holding-history/9386/4813/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","3823729576.2","3887219000","0.98","2317131","-242782","-9.48","/mutual-fund/holding-history/9386/1316/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","3668009118.2","3870399000","0.98","24036757","2710337","12.71","/mutual-fund/holding-history/9386/1366/"
