"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","39893133649.7","39781828000","9.77","19876007","","","/mutual-fund/holding-history/9386/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","30368181628.8","29795275000","7.32","20608158","-587363","-2.77","/mutual-fund/holding-history/9386/584/"
"Infosys Ltd","INFY","500209","Technology","22955055870.2","23406588000","5.75","14612678","264937","1.85","/mutual-fund/holding-history/9386/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","19119624430.4","20307834000","4.99","13533143","-709375","-4.98","/mutual-fund/holding-history/9386/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","15919936124.4","16778217000","4.12","8349033","-42886","-0.51","/mutual-fund/holding-history/9386/187/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","14930751132","16306882000","4","13598134","","","/mutual-fund/holding-history/9386/140/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","14362536847.2","15737151000","3.86","4545682","","","/mutual-fund/holding-history/9386/1372/"
"ITC Ltd","ITC","500875","Consumer Defensive","14421570176","14437170000","3.55","34667236","2410433","7.47","/mutual-fund/holding-history/9386/647/"
"Larsen & Toubro Ltd","LT","500510","Industrials","13244223428.8","14028647000","3.44","3822728","-34000","-0.88","/mutual-fund/holding-history/9386/800/"
"State Bank of India","SBIN","500112","Financial Services","9623568085","9686741000","2.38","11808059","","","/mutual-fund/holding-history/9386/1193/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","8548827324.8","8561887000","2.1","3957424","-139111","-3.4","/mutual-fund/holding-history/9386/758/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","8917025150.8","7856678000","1.93","29743246","-1590443","-5.08","/mutual-fund/holding-history/9386/589490/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","8276418076.5","7701583000","1.89","13337230","-164610","-1.22","/mutual-fund/holding-history/9386/71/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","7080990264","7028841000","1.73","566842","","","/mutual-fund/holding-history/9386/842/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","7094257950","6689289000","1.64","14619800","6126094","72.13","/mutual-fund/holding-history/9386/4813/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","6431835941.2","5951724000","1.46","2593796","","","/mutual-fund/holding-history/9386/560/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","5840173791","5934766000","1.46","3228399","240280","8.04","/mutual-fund/holding-history/9386/60957/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","5368373723.2","5246410000","1.29","1648156","-120163","-6.8","/mutual-fund/holding-history/9386/807/"
