"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","18915002061.55","40113757000","10.03","19876007","","","https://trendlyne.com/mutual-fund/holding-history/9386/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","28956522805.8","30528925000","7.64","20608158","","","https://trendlyne.com/mutual-fund/holding-history/9386/584/"
"Infosys Ltd","INFY","500209","Technology","23973745495","24037463000","6.01","15929399","1316721","9.01","https://trendlyne.com/mutual-fund/holding-history/9386/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","18643257796.8","18813775000","4.71","13533143","","","https://trendlyne.com/mutual-fund/holding-history/9386/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","15828931664.7","15982554000","4","8349033","","","https://trendlyne.com/mutual-fund/holding-history/9386/187/"
"ITC Ltd","ITC","500875","Consumer Defensive","15553235113.8","15773400000","3.95","38289599","3622363","10.45","https://trendlyne.com/mutual-fund/holding-history/9386/647/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","16309027504.5","15725434000","3.93","5178291","632609","13.92","https://trendlyne.com/mutual-fund/holding-history/9386/1372/"
"Larsen & Toubro Ltd","LT","500510","Industrials","13784757168","13901350000","3.48","3822728","","","https://trendlyne.com/mutual-fund/holding-history/9386/800/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","13245691838.4","13370840000","3.34","12514826","-1083308","-7.97","https://trendlyne.com/mutual-fund/holding-history/9386/140/"
"State Bank of India","SBIN","500112","Financial Services","9550358119.2","9405709000","2.35","11808059","","","https://trendlyne.com/mutual-fund/holding-history/9386/1193/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","8526663898.4","8110343000","2.03","26349394","-3393852","-11.41","https://trendlyne.com/mutual-fund/holding-history/9386/589490/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","7419137359.6","7468966000","1.87","3774874","-182550","-4.61","https://trendlyne.com/mutual-fund/holding-history/9386/758/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","8725090102","7371570000","1.84","584674","17832","3.15","https://trendlyne.com/mutual-fund/holding-history/9386/842/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","6517286007.8","6821417000","1.71","13052846","-1566954","-10.72","https://trendlyne.com/mutual-fund/holding-history/9386/4813/"
"Ambuja Cements Ltd","AMBUJACEM","500425","Basic Materials","6499270717.75","6762254000","1.69","11409235","-1927995","-14.46","https://trendlyne.com/mutual-fund/holding-history/9386/71/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","6833042901","6412607000","1.6","2543474","-50322","-1.94","https://trendlyne.com/mutual-fund/holding-history/9386/560/"
"SBI Life Insurance Co Ltd","SBILIFE","540719","Financial Services","5841465150.6","5942514000","1.49","3228399","","","https://trendlyne.com/mutual-fund/holding-history/9386/60957/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","5853148710.6","5771097000","1.44","4583874","507610","12.45","https://trendlyne.com/mutual-fund/holding-history/9386/476/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","6495407370","5589321000","1.4","1022094","112345","12.35","https://trendlyne.com/mutual-fund/holding-history/9386/360/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","5427048076.8","5279208000","1.32","1648156","","","https://trendlyne.com/mutual-fund/holding-history/9386/807/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","5358661076.5","5227928000","1.31","697243","-26575","-3.67","https://trendlyne.com/mutual-fund/holding-history/9386/93/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","5522215516","5172705000","1.29","2158802","44761","2.12","https://trendlyne.com/mutual-fund/holding-history/9386/117/"
"One97 Communications Ltd","PAYTM","543396","Technology","5593965275","4896574000","1.22","4494950","-777918","-14.75","https://trendlyne.com/mutual-fund/holding-history/9386/712312/"
"Vedanta Ltd","VEDL","500295","Basic Materials","4637833447.5","4543369000","1.14","10673955","","","https://trendlyne.com/mutual-fund/holding-history/9386/1289/"
