"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","51582470000","51438550000","9.53","25700000","","","/mutual-fund/holding-history/8349/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","40971200000","43517400000","8.06","29000000","","","/mutual-fund/holding-history/8349/1127/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","42734400000","41928200000","7.77","29000000","","","/mutual-fund/holding-history/8349/584/"
"Larsen & Toubro Ltd","LT","500510","Industrials","25638040000","27156520000","5.03","7400000","","","/mutual-fund/holding-history/8349/800/"
"Infosys Ltd","INFY","500209","Technology","21521330000","21944660000","4.07","13700000","","","/mutual-fund/holding-history/8349/630/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","19873840000","19904200000","3.69","9200000","-1780000","-16.21","/mutual-fund/holding-history/8349/758/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","18064798230","18601579000","3.45","2731710","","","/mutual-fund/holding-history/8349/336/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","17545605640.5","17983593000","3.33","3073593","","","/mutual-fund/holding-history/8349/220/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","16753660000","17422020000","3.23","3080000","","","/mutual-fund/holding-history/8349/360/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","17200680480","17025416000","3.16","7272400","5602400","335.47","/mutual-fund/holding-history/8349/117/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","15097500000","16489000000","3.06","13750000","","","/mutual-fund/holding-history/8349/140/"
"State Bank of India","SBIN","500112","Financial Services","15571390000","15673607000","2.9","19106000","","","/mutual-fund/holding-history/8349/1193/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","14675515000","15662970000","2.9","317000","","","/mutual-fund/holding-history/8349/994/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","13919640000","14670080000","2.72","7300000","-900000","-10.98","/mutual-fund/holding-history/8349/187/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","12298440733.4","13120163000","2.43","16112198","","","/mutual-fund/holding-history/8349/65394/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","12018153432.6","12498757000","2.32","7677369","-1322631","-14.7","/mutual-fund/holding-history/8349/262/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","12291100000","11791400000","2.19","380000","","","/mutual-fund/holding-history/8349/1226/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","12299557924.6","10836985000","2.01","41025877","","","/mutual-fund/holding-history/8349/589490/"
"ITC Ltd","ITC","500875","Consumer Defensive","10566400000","10577830000","1.96","25400000","-5600000","-18.06","/mutual-fund/holding-history/8349/647/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","11381823000","10532214000","1.95","4590000","","","/mutual-fund/holding-history/8349/560/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","6314765600","10054660000","1.86","64940000","","","/mutual-fund/holding-history/8349/878/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","7591657530.25","7622462000","1.41","11001605","","","/mutual-fund/holding-history/8349/549/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","7355650596","7345568000","1.36","4383582","-316418","-6.73","/mutual-fund/holding-history/8349/1316/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","7496240377.5","6511806000","1.21","2807055","","","/mutual-fund/holding-history/8349/1436676/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","5928951000","6427281000","1.19","1470000","","","/mutual-fund/holding-history/8349/53208/"
"Tech Mahindra Ltd","TECHM","532755","Technology","5879360000","6410600000","1.19","3800000","","","/mutual-fund/holding-history/8349/1374/"
"Vedanta Ltd","VEDL","500295","Basic Materials","6144545618.4","6284318000","1.16","13636364","","","/mutual-fund/holding-history/8349/1289/"
"Thermax Ltd","THERMAX","500411","Industrials","6821357963","5913112000","1.1","1729334","","","/mutual-fund/holding-history/8349/1387/"
"GAIL (India) Ltd","GAIL","532155","Utilities","5336870000","5534360000","1.03","29000000","","","/mutual-fund/holding-history/8349/431/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","5629221444","5321673000","0.99","1314870","","","/mutual-fund/holding-history/8349/406/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","5011904543.1","5210869000","0.97","2554097","487882","23.61","/mutual-fund/holding-history/8349/61147/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","4585961761.5","4826595000","0.89","7336365","","","/mutual-fund/holding-history/8349/4714/"
"PI Industries Ltd","PIIND","523642","Basic Materials","4612440000","4640363000","0.86","1130500","","","/mutual-fund/holding-history/8349/1038/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","4181752957.5","4256024000","0.79","8841850","-1158150","-11.58","/mutual-fund/holding-history/8349/547977/"
"SKF India Ltd","SKFINDIA","500472","Industrials","3924202462","3811653000","0.71","791489","","","/mutual-fund/holding-history/8349/1251/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","3224508430.5","3398880000","0.63","1093239","-142142","-11.51","/mutual-fund/holding-history/8349/67548/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","3260800000","3195200000","0.59","20000000","","","/mutual-fund/holding-history/8349/1366/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","1887711527.52","2631516000","0.49","44064228","","","/mutual-fund/holding-history/8349/856676/"
"Brainbees Solutions Ltd","FIRSTCRY","544226","Consumer Cyclical","2264120801.6","2385236000","0.44","6179369","","","/mutual-fund/holding-history/8349/2487439/"
"DLF Ltd","DLF","532868","Real Estate","452342500","448223000","0.08","535000","-6865000","-92.77","/mutual-fund/holding-history/8349/337/"
