"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","24457405000","51867740000","9.78","25700000","","","https://trendlyne.com/mutual-fund/holding-history/8349/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","40747900000","42960600000","8.1","29000000","","","https://trendlyne.com/mutual-fund/holding-history/8349/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","39950400000","40315800000","7.6","29000000","","","https://trendlyne.com/mutual-fund/holding-history/8349/1127/"
"Larsen & Toubro Ltd","LT","500510","Industrials","26684400000","26910100000","5.07","7400000","","","https://trendlyne.com/mutual-fund/holding-history/8349/800/"
"Infosys Ltd","INFY","500209","Technology","20618500000","20673300000","3.9","13700000","","","https://trendlyne.com/mutual-fund/holding-history/8349/630/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","21231400000","19887630000","3.75","8300000","1027600","14.13","https://trendlyne.com/mutual-fund/holding-history/8349/117/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","18081680000","18203120000","3.43","9200000","","","https://trendlyne.com/mutual-fund/holding-history/8349/758/"
"Divi's Laboratories Ltd","DIVISLAB","532488","Healthcare","16685284680","18016993000","3.4","2731710","","","https://trendlyne.com/mutual-fund/holding-history/8349/336/"
"Britannia Industries Ltd","BRITANNIA","500825","Consumer Defensive","18018938962.5","17737705000","3.34","3073593","","","https://trendlyne.com/mutual-fund/holding-history/8349/220/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","19573400000","16842980000","3.18","3080000","","","https://trendlyne.com/mutual-fund/holding-history/8349/360/"
"State Bank of India","SBIN","500112","Financial Services","15452932800","15218884000","2.87","19106000","","","https://trendlyne.com/mutual-fund/holding-history/8349/1193/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","14553000000","14690500000","2.77","13750000","","","https://trendlyne.com/mutual-fund/holding-history/8349/140/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","13840070000","13974390000","2.64","7300000","","","https://trendlyne.com/mutual-fund/holding-history/8349/187/"
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","12689146000","13885511000","2.62","284510","-32490","-10.25","https://trendlyne.com/mutual-fund/holding-history/8349/994/"
"Eternal Ltd","ETERNAL","543320","Consumer Cyclical","13275973797.2","12627765000","2.38","41025877","","","https://trendlyne.com/mutual-fund/holding-history/8349/589490/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","13592648435","12394023000","2.34","2904350","1434350","97.57","https://trendlyne.com/mutual-fund/holding-history/8349/53208/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","12689967144.8","12172766000","2.3","16112198","","","https://trendlyne.com/mutual-fund/holding-history/8349/65394/"
"Shree Cement Ltd","SHREECEM","500387","Basic Materials","11436100000","11707800000","2.21","380000","","","https://trendlyne.com/mutual-fund/holding-history/8349/1226/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","12331035000","11572308000","2.18","4590000","","","https://trendlyne.com/mutual-fund/holding-history/8349/560/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","11091494994.3","11079979000","2.09","7677369","","","https://trendlyne.com/mutual-fund/holding-history/8349/262/"
"ITC Ltd","ITC","500875","Consumer Defensive","10317480000","10463530000","1.97","25400000","","","https://trendlyne.com/mutual-fund/holding-history/8349/647/"
"Mankind Pharma Ltd","MANKIND","543904","Healthcare","10407150736","10456026000","1.97","4072930","1265875","45.1","https://trendlyne.com/mutual-fund/holding-history/8349/1436676/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","9453640500","9465330000","1.78","97410000","","","https://trendlyne.com/mutual-fund/holding-history/8349/878/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","8855460000","8813052000","1.66","55800000","35800000","179","https://trendlyne.com/mutual-fund/holding-history/8349/1366/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","7976713705.25","7514646000","1.42","11001605","","","https://trendlyne.com/mutual-fund/holding-history/8349/549/"
"Thermax Ltd","THERMAX","500411","Industrials","5658899648.2","6814268000","1.28","1729334","","","https://trendlyne.com/mutual-fund/holding-history/8349/1387/"
"Vedanta Ltd","VEDL","500295","Basic Materials","5925000158","5804318000","1.09","13636364","","","https://trendlyne.com/mutual-fund/holding-history/8349/1289/"
"Tech Mahindra Ltd","TECHM","532755","Technology","5755860000","5562060000","1.05","3800000","","","https://trendlyne.com/mutual-fund/holding-history/8349/1374/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","5133120993","5419500000","1.02","1314870","","","https://trendlyne.com/mutual-fund/holding-history/8349/406/"
"GAIL (India) Ltd","GAIL","532155","Utilities","5223770000","5152720000","0.97","29000000","","","https://trendlyne.com/mutual-fund/holding-history/8349/431/"
"ICICI Lombard General Insurance Co Ltd","ICICIGI","540716","Financial Services","4671443413","4921745000","0.93","2554097","","","https://trendlyne.com/mutual-fund/holding-history/8349/61147/"
"PI Industries Ltd","PIIND","523642","Basic Materials","4250566950","4805642000","0.91","1130500","","","https://trendlyne.com/mutual-fund/holding-history/8349/1038/"
"ICICI Prudential Life Insurance Co Ltd","ICICIPRULI","540133","Financial Services","4463811284.25","4518834000","0.85","7336365","","","https://trendlyne.com/mutual-fund/holding-history/8349/4714/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","4531000000","4495500000","0.85","10000000","1158150","13.1","https://trendlyne.com/mutual-fund/holding-history/8349/547977/"
"SKF India Ltd","SKFINDIA","500472","Industrials","3613147285","3878771000","0.73","791489","","","https://trendlyne.com/mutual-fund/holding-history/8349/1251/"
"Motherson Sumi Wiring India Ltd","MSUMI","543498","Consumer Cyclical","2778029254.26","2452174000","0.46","66096342","","","https://trendlyne.com/mutual-fund/holding-history/8349/856676/"
"Brainbees Solutions Ltd","FIRSTCRY","544226","Consumer Cyclical","2219629344.8","2121686000","0.4","6179369","","","https://trendlyne.com/mutual-fund/holding-history/8349/2487439/"
