"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","2581030245","2573829000","9.53","1285950","","","/mutual-fund/holding-history/14412/533/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","1483440000","1575630000","5.83","1050000","150000","16.67","/mutual-fund/holding-history/14412/1127/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","1509979800","1512287000","5.6","699000","","","/mutual-fund/holding-history/14412/758/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1275106080","1251051000","4.63","865300","","","/mutual-fund/holding-history/14412/584/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","1010160000","1103264000","4.08","920000","","","/mutual-fund/holding-history/14412/140/"
"Larsen & Toubro Ltd","LT","500510","Industrials","938158246.4","993723000","3.68","270784","","","/mutual-fund/holding-history/14412/800/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","951102400","929494000","3.44","292000","","","/mutual-fund/holding-history/14412/807/"
"Infosys Ltd","INFY","500209","Technology","876562200","893804000","3.31","558000","","","/mutual-fund/holding-history/14412/630/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","857295000","842850000","3.12","900000","720000","400","/mutual-fund/holding-history/14412/150/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","811980000","806000000","2.98","65000","25000","62.5","/mutual-fund/holding-history/14412/842/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","780644275.8","722372000","2.67","314814","69814","28.5","/mutual-fund/holding-history/14412/560/"
"State Bank of India","SBIN","500112","Financial Services","669115000","673507000","2.49","821000","","","/mutual-fund/holding-history/14412/1193/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","619710000","653120000","2.42","325000","","","/mutual-fund/holding-history/14412/187/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","558847930.8","612334000","2.27","176873","55000","45.13","/mutual-fund/holding-history/14412/1372/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","572475000","610725000","2.26","750000","","","/mutual-fund/holding-history/14412/65394/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","557552500","592662000","2.19","415000","175000","72.92","/mutual-fund/holding-history/14412/851/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","340340000","541905000","2.01","3500000","","","/mutual-fund/holding-history/14412/878/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","546271000","540865000","2","530000","","","/mutual-fund/holding-history/14412/699/"
