"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","12364273869","12424964000","9.77","6388485","-100000","-1.54","/mutual-fund/holding-history/6550/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","10388221543.7","10525819000","8.28","7280273","-137461","-1.85","/mutual-fund/holding-history/6550/584/"
"Infosys Ltd","INFY","500209","Technology","7069796244.2","6803775000","5.35","4353859","","","/mutual-fund/holding-history/6550/630/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5954095147","5884110000","4.63","4141115","","","/mutual-fund/holding-history/6550/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","5496422622.6","5481362000","4.31","2953002","","","/mutual-fund/holding-history/6550/187/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","529296516","5180391000","4.07","564282","","","/mutual-fund/holding-history/6550/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","5170837851","5015398000","3.94","2417409","","","/mutual-fund/holding-history/6550/758/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","4443664316","4351355000","3.42","1087268","","","/mutual-fund/holding-history/6550/53208/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4373384758.6","4289904000","3.37","3598309","","","/mutual-fund/holding-history/6550/140/"
"Larsen & Toubro Ltd","LT","500510","Industrials","3866550398.9","3915992000","3.08","1065547","","","/mutual-fund/holding-history/6550/800/"
"ITC Ltd","ITC","500875","Consumer Defensive","3781596919.2","3780241000","2.97","9042556","160158","1.8","/mutual-fund/holding-history/6550/647/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","3190062820","3136343000","2.47","254594","-15999","-5.91","/mutual-fund/holding-history/6550/842/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","2331828268.4","2321174000","1.82","1383628","","","/mutual-fund/holding-history/6550/1316/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","2288195228.55","2306903000","1.81","2969561","-617208","-17.21","/mutual-fund/holding-history/6550/65394/"
"LTIMindtree Ltd","LTIM","540005","Technology","2415703405.5","2246988000","1.77","443289","","","/mutual-fund/holding-history/6550/4596/"
"Godrej Consumer Products Ltd","GODREJCP","532424","Consumer Defensive","2075839920","2151674000","1.69","1747340","-23672","-1.34","/mutual-fund/holding-history/6550/476/"
