"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","437417338.5","436197000","9.37","217935","-5400","-2.42","/mutual-fund/holding-history/134712/533/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","348285360","341715000","7.34","236350","-13500","-5.4","/mutual-fund/holding-history/134712/584/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","309883552","329142000","7.07","219340","","","/mutual-fund/holding-history/134712/1127/"
"Bharti Airtel Ltd","BHARTIARTL","532454","Communication Services","192624936","203010000","4.36","101020","","","/mutual-fund/holding-history/134712/187/"
"Infosys Ltd","INFY","500209","Technology","196912315","200786000","4.32","125350","","","/mutual-fund/holding-history/134712/630/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","149113890","162857000","3.5","135805","","","/mutual-fund/holding-history/134712/140/"
"Larsen & Toubro Ltd","LT","500510","Industrials","153429811","162517000","3.49","44285","","","/mutual-fund/holding-history/134712/800/"
"State Bank of India","SBIN","500112","Financial Services","154179255","155191000","3.34","189177","","","/mutual-fund/holding-history/134712/1193/"
"Bharat Electronics Ltd","BEL","500049","Industrials","117302100","122657000","2.64","291000","-47000","-13.91","/mutual-fund/holding-history/134712/175/"
"ITC Ltd","ITC","500875","Consumer Defensive","116811968","116938000","2.51","280798","","","/mutual-fund/holding-history/134712/647/"
"NTPC Ltd","NTPC","532555","Utilities","116911550","114871000","2.47","343000","","","/mutual-fund/holding-history/134712/959/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","113353450","111444000","2.4","119000","95200","400","/mutual-fund/holding-history/134712/150/"
"Kotak Mahindra Bank Ltd","KOTAKBANK","500247","Financial Services","106389850","106552000","2.29","49250","","","/mutual-fund/holding-history/134712/758/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","104203800","104061000","2.24","62100","","","/mutual-fund/holding-history/134712/1316/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","94655296.8","103715000","2.23","29958","","","/mutual-fund/holding-history/134712/1372/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","95229120","100116000","2.15","306400","","","/mutual-fund/holding-history/134712/1564869/"
"Mahindra & Mahindra Ltd","M&M","500520","Consumer Cyclical","94621660","92472000","1.99","29050","","","/mutual-fund/holding-history/134712/807/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","86602880","87018000","1.87","14560","-3100","-17.55","/mutual-fund/holding-history/134712/1784/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","85201480","84996000","1.83","124600","","","/mutual-fund/holding-history/134712/293/"
"Max Financial Services Ltd","MFSL","500271","Financial Services","80619840","84990000","1.83","51600","","","/mutual-fund/holding-history/134712/845/"
"Maruti Suzuki India Ltd","MARUTI","532500","Consumer Cyclical","79236756","78653000","1.69","6343","","","/mutual-fund/holding-history/134712/842/"
