"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","9376721523.55","9117383790","3.16","13299371","","","/mutual-fund/holding-history/11349/424/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","8741846684.9","8918472520","3.1","11322169","","","/mutual-fund/holding-history/11349/606/"
"Coromandel International Ltd","COROMANDEL","506395","Basic Materials","9402763860","8620952270","2.99","3893484","","","/mutual-fund/holding-history/11349/284/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","7916977467","7457991780","2.59","1401483","-61551","-4.21","/mutual-fund/holding-history/11349/1023/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","7109511994.4","6944241430","2.41","4111208","","","/mutual-fund/holding-history/11349/2170198/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","8034358284","6655047620","2.31","505242","2012","0.4","/mutual-fund/holding-history/11349/1263/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","6456877287","6233986690","2.16","1219314","","","/mutual-fund/holding-history/11349/683/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","6399145476.48","6213388290","2.16","31591358","","","/mutual-fund/holding-history/11349/412/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","5323043950","5805417240","2.02","352870","11428","3.35","/mutual-fund/holding-history/11349/60393/"
"Lupin Ltd","LUPIN","500257","Healthcare","5431846344.1","5771422810","2","2754067","-163179","-5.59","/mutual-fund/holding-history/11349/804/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","5992807860","5370851580","1.86","3599284","-59002","-1.61","/mutual-fund/holding-history/11349/262/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","5666167457","5351713420","1.86","5449810","232863","4.46","/mutual-fund/holding-history/11349/2571009/"
"Max Healthcare Institute Ltd Ordinary Shares","MAXHEALTH","543220","Healthcare","5308088080","5025295110","1.74","4575938","","","/mutual-fund/holding-history/11349/276825/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","5539704046.8","5022693850","1.74","3090318","","","/mutual-fund/holding-history/11349/710819/"
"Abbott India Ltd","ABBOTINDIA","500488","Healthcare","5047707200","4978799360","1.73","166043","1813","1.1","/mutual-fund/holding-history/11349/18/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","5211975225.6","4976557250","1.73","1862484","-90915","-4.65","/mutual-fund/holding-history/11349/1430/"
"PI Industries Ltd","PIIND","523642","Basic Materials","5037651271.2","4882207120","1.69","1341192","","","/mutual-fund/holding-history/11349/1038/"
